 	la	manière	dont	ils	ne	suivent	est	celle	des	policiers	</S>
a66	0.13157	0.0865879	0.0797723	0.130122	0.176079	0.201175	0.133104	0.0363192	0.0107433	0.00690334	0.00762335
a87	0.349117	0.186156	0.142606	0.0900498	0.0695797	0.0435969	0.0294841	0.0205439	0.0221172	0.0217502	0.0249996
a23	0.476001	0.24359	0.122227	0.0596001	0.0451014	0.0185714	0.009721	0.00604555	0.00488506	0.00559532	0.00866285
a87	0.36904	0.303881	0.17926	0.0500205	0.0307313	0.0117711	0.00997588	0.0104652	0.0105591	0.0112228	0.0130726
a23	0.324522	0.315133	0.213707	0.049085	0.0280748	0.0119619	0.0121643	0.0114629	0.0115873	0.0104299	0.0118722
a12	0.288928	0.29374	0.176379	0.0392013	0.0228967	0.0141996	0.0208219	0.0265672	0.0344849	0.0422974	0.0404834
a61	0.29554	0.252792	0.147468	0.0586017	0.0472537	0.0275232	0.0346791	0.026983	0.0280453	0.0458323	0.0352818
a37	0.25662	0.293948	0.179111	0.0750428	0.0510991	0.0259073	0.0250017	0.0244314	0.0181988	0.0264497	0.0241902
a92	0.214869	0.254933	0.176289	0.0939723	0.0698395	0.039359	0.0294485	0.0287959	0.0221222	0.0314326	0.0389395
a44	0.129231	0.131114	0.128484	0.117275	0.111854	0.0987836	0.0657409	0.0551065	0.0418538	0.0500054	0.0705515
a61	0.137958	0.149881	0.161949	0.152406	0.142399	0.0971566	0.0429021	0.0341149	0.0205733	0.0220951	0.0385642
a47	0.0952214	0.102343	0.15251	0.183433	0.187387	0.146063	0.0540976	0.0302208	0.0135815	0.0139102	0.0212327
a21	0.0601421	0.0663879	0.137626	0.190175	0.201204	0.17268	0.0734985	0.0434816	0.0191272	0.0145355	0.0211413
a5	0.0294752	0.0309714	0.0613228	0.148038	0.197125	0.2665	0.123901	0.0565982	0.0239677	0.0240557	0.0380438
a75	0.0209035	0.0263241	0.0481456	0.106371	0.165128	0.276436	0.15175	0.0687083	0.0380441	0.0408851	0.0573051
a92	0.0174365	0.0177379	0.0332601	0.0855665	0.133885	0.238734	0.157169	0.0878982	0.0605503	0.07125	0.096512
a37	0.0144016	0.0118831	0.0220119	0.0618642	0.0996754	0.207615	0.150629	0.103828	0.0866524	0.0999036	0.141536
a75	0.0177798	0.01477	0.0249408	0.0696683	0.108873	0.228008	0.149282	0.0737251	0.0570869	0.101298	0.154567
a25	0.00456874	0.00521864	0.0103602	0.028168	0.0460915	0.146102	0.149424	0.108496	0.141259	0.168778	0.191533
a69	0.00541998	0.00488112	0.00929898	0.0250085	0.0434378	0.126058	0.102837	0.0737566	0.105091	0.193887	0.310324
a98	0.00792665	0.00838265	0.0139039	0.0228444	0.0297196	0.0717571	0.0758816	0.0630847	0.0971633	0.241881	0.367455
a47	0.0062169	0.0055976	0.0113826	0.0226463	0.0306525	0.0738987	0.0994201	0.106742	0.119997	0.221146	0.3023
a37	0.0124486	0.00867143	0.0149551	0.0302547	0.0470339	0.138396	0.120968	0.088677	0.0775929	0.177284	0.283718
a85	0.00670379	0.00585655	0.00943966	0.0139534	0.018856	0.0502566	0.0491622	0.0367311	0.0719846	0.261012	0.476045
a5	0.00145342	0.00116443	0.0021704	0.0042248	0.00632354	0.0243002	0.0362876	0.0567793	0.157103	0.281388	0.428805
a12	0.00192558	0.00122708	0.00219817	0.00627179	0.0104675	0.0331908	0.035837	0.0491854	0.163615	0.264724	0.431358
