 	ta	qualité	de	fils	de	mon	arrière-petit-fils	est	vaine	pour	moi	car	tu	ne	me	respectes	pas	</S>
a66	0.0517627	0.0529622	0.0531779	0.0599373	0.0684651	0.0865044	0.095213	0.0920656	0.076723	0.0717407	0.0750902	0.0839202	0.0626974	0.0398168	0.0150035	0.00656197	0.00409435	0.00426397
a87	0.117283	0.0516571	0.0366108	0.0512726	0.0558726	0.0552221	0.042402	0.0467857	0.0354612	0.0443337	0.0497746	0.086004	0.120128	0.0982078	0.0493886	0.0259247	0.0140773	0.0195945
a23	0.14729	0.0791121	0.0726636	0.0883881	0.0890508	0.0902776	0.0671164	0.0666812	0.0397771	0.0501434	0.0423679	0.0455061	0.0405429	0.0283016	0.0177779	0.0148661	0.00918092	0.0109564
a58	0.0889558	0.0586146	0.0630114	0.0751508	0.0759253	0.0601821	0.036759	0.0352203	0.0272095	0.03866	0.0515963	0.0809281	0.0839387	0.0767188	0.0526947	0.0422937	0.0260428	0.0260982
a20	0.097265	0.0467994	0.0419828	0.0568504	0.0576198	0.0574957	0.0358157	0.0340988	0.0287998	0.0373658	0.0408454	0.0559419	0.0810132	0.0954669	0.0732809	0.0672327	0.0428576	0.0492682
a15	0.108822	0.060394	0.0434089	0.0471664	0.0470661	0.0483431	0.0454756	0.043803	0.0445935	0.0503639	0.0478515	0.0594566	0.0903935	0.100186	0.0780387	0.0367893	0.0218426	0.0260056
a7	0.0692166	0.0428507	0.0390284	0.0411662	0.0407363	0.0393952	0.0405957	0.0438816	0.049432	0.0577728	0.0559226	0.0572747	0.0725423	0.0741108	0.0802189	0.0740241	0.0524218	0.0694092
a92	0.0615096	0.0473261	0.0456219	0.0508516	0.0455999	0.0406831	0.0413276	0.0435826	0.0494072	0.049603	0.0468145	0.0453048	0.0565567	0.0596042	0.0678939	0.0831243	0.0752182	0.0899706
a6	0.0647211	0.0623334	0.0623747	0.0679524	0.0616072	0.0561441	0.0545177	0.0556665	0.0622165	0.0590609	0.057322	0.0536391	0.0536888	0.0455699	0.0415684	0.0484121	0.0431687	0.0500364
a36	0.0515862	0.0606017	0.0571161	0.0571316	0.0550948	0.0513307	0.0580987	0.0578942	0.0676	0.0643773	0.0626876	0.053208	0.0476669	0.0374271	0.0360808	0.0531454	0.0554247	0.0735283
a20	0.0473584	0.0555541	0.0588695	0.0696184	0.0653667	0.0638402	0.0738389	0.0747259	0.0778801	0.0715812	0.0608118	0.0463348	0.0344222	0.0238741	0.0236661	0.0427995	0.0474945	0.0619638
a44	0.0393926	0.0468993	0.0465041	0.0451201	0.0472606	0.0482941	0.0643159	0.063718	0.0683855	0.0693569	0.0633303	0.0496462	0.0391165	0.0287905	0.031631	0.0617467	0.0754571	0.111035
a66	0.0370511	0.0464065	0.0492928	0.0589709	0.0568047	0.0611455	0.0793807	0.0883164	0.0917217	0.0900118	0.0732514	0.052743	0.0352386	0.023421	0.0225532	0.0381918	0.0432213	0.0522776
a71	0.0291625	0.0439594	0.0620485	0.0736874	0.0762946	0.0808512	0.0856677	0.095001	0.102469	0.106794	0.083095	0.0464382	0.022069	0.0115698	0.00960963	0.0156753	0.022376	0.0332326
a25	0.0298345	0.0437453	0.0696148	0.0759909	0.0844844	0.0895156	0.0874802	0.0892287	0.0959653	0.100388	0.0871475	0.0482287	0.0222561	0.0117549	0.00870126	0.0122196	0.0172152	0.0262291
a9	0.0324891	0.0411682	0.0632721	0.0627382	0.080593	0.0934806	0.0962579	0.0887587	0.0874199	0.0982337	0.0881083	0.0468187	0.0215154	0.0117511	0.00882306	0.0169653	0.0243835	0.0372232
a10	0.0503664	0.0549863	0.0826435	0.0763947	0.0947587	0.101535	0.084695	0.062425	0.0560766	0.0606339	0.0716067	0.0490639	0.0250266	0.0164112	0.0138264	0.0267193	0.0295591	0.0432719
a11	0.0537877	0.0604482	0.0773787	0.0576165	0.0701269	0.0709183	0.0697012	0.0528889	0.0476245	0.0480244	0.0559134	0.0556952	0.0398307	0.0323297	0.0287467	0.0525033	0.0488913	0.0775746
a88	0.0461667	0.0457267	0.0588893	0.0425047	0.0563829	0.058447	0.0553755	0.0447935	0.0366862	0.0391297	0.0511285	0.0644383	0.0573346	0.0514251	0.0443487	0.0969396	0.0671613	0.0831218
a38	0.0270003	0.0353668	0.0410256	0.0327046	0.0413066	0.0449251	0.0482721	0.0444135	0.0481524	0.0533221	0.0545818	0.0443487	0.0392906	0.046815	0.0611058	0.112737	0.101108	0.123524
a54	0.020349	0.0270605	0.0337505	0.0270369	0.034977	0.0399146	0.0458365	0.0422257	0.0459226	0.0515186	0.055543	0.0486564	0.0429815	0.0502317	0.0637376	0.128588	0.111546	0.130125
a36	0.0152242	0.0229099	0.0312745	0.023493	0.0328095	0.0389505	0.0539139	0.0529326	0.0572639	0.0676519	0.0743896	0.0622756	0.050236	0.0511975	0.0545049	0.0960966	0.0924144	0.122462
a2	0.00892686	0.0123757	0.017851	0.0140059	0.019226	0.0226957	0.0322119	0.0340039	0.0409529	0.0524811	0.0592814	0.0471712	0.0411885	0.0516615	0.0737714	0.159498	0.136721	0.175976
a57	0.0359043	0.033821	0.0414353	0.042281	0.0461285	0.0477303	0.0429998	0.0363895	0.03256	0.034566	0.0413979	0.0422879	0.0412062	0.0467746	0.0642644	0.148703	0.0979249	0.123626
a10	0.0430961	0.0385317	0.0426853	0.0401292	0.0453863	0.0468259	0.0501004	0.0401907	0.0310495	0.0313372	0.0386927	0.0536769	0.0525359	0.0571613	0.0653941	0.130866	0.0887241	0.103617
a11	0.0475698	0.0387619	0.0381655	0.0275607	0.0353694	0.0373202	0.0435718	0.0327504	0.0271256	0.0301007	0.0394055	0.0551755	0.0586727	0.0771396	0.090129	0.138228	0.0836874	0.0992664
a56	0.025944	0.0205988	0.0182321	0.0131569	0.0168902	0.01816	0.0183933	0.0127838	0.00983137	0.0106126	0.0145923	0.0231165	0.0416416	0.0732712	0.115354	0.208244	0.165075	0.194102
a37	0.00900243	0.0126069	0.0130334	0.0108177	0.0146925	0.0163634	0.0211412	0.0175372	0.0171447	0.0198856	0.0263888	0.0312245	0.0362013	0.0578981	0.107634	0.19261	0.185197	0.210622
a7	0.00417809	0.00734702	0.00931572	0.00756389	0.0109475	0.0126751	0.0165801	0.0150721	0.0154129	0.0182822	0.0240582	0.0251665	0.0296381	0.0518036	0.108284	0.208531	0.199741	0.235403
a20	0.00518607	0.0083628	0.0108077	0.00839147	0.0118382	0.0128156	0.0156551	0.0132572	0.0130869	0.0164957	0.0206619	0.0193436	0.0203306	0.0304599	0.0718079	0.225179	0.215795	0.280526
a7	0.0125957	0.0200479	0.0274891	0.0216854	0.0295375	0.0329615	0.040503	0.0367219	0.0350332	0.0458786	0.045723	0.0319754	0.0240627	0.0284047	0.0527376	0.152659	0.156863	0.205121
a54	0.00494246	0.00810633	0.0117517	0.00913442	0.0136104	0.0143974	0.0170679	0.015191	0.0146764	0.0198142	0.0219894	0.0170647	0.015498	0.0204035	0.0538617	0.222862	0.215975	0.303653
a36	0.00934527	0.017153	0.0245998	0.0197795	0.0277132	0.0300881	0.0384231	0.0350181	0.0334429	0.045757	0.0463819	0.0304641	0.0213631	0.0233534	0.0483503	0.167122	0.164072	0.217573
a37	0.00271677	0.00426934	0.0062557	0.00518289	0.00787681	0.00847149	0.0105793	0.00941582	0.00959598	0.0126581	0.0134321	0.00965359	0.00928235	0.0137939	0.0463434	0.238535	0.24864	0.343298
a7	0.00378805	0.00590236	0.00868054	0.00707001	0.0105349	0.0108109	0.0128318	0.0115618	0.0121226	0.0161914	0.0169896	0.0120557	0.0123093	0.0174149	0.0517591	0.206751	0.243664	0.339562
a44	0.00493086	0.00721516	0.00980048	0.00856109	0.0115137	0.0112747	0.0123947	0.0120046	0.0134159	0.0171037	0.0165764	0.0107358	0.0107096	0.014512	0.044902	0.221811	0.250746	0.321793
a57	0.00389806	0.00674332	0.00978156	0.0080998	0.0115585	0.0106923	0.0110349	0.0106767	0.0130208	0.0176915	0.0187671	0.0128441	0.012936	0.0173038	0.0495957	0.189343	0.248395	0.347617
a58	0.00854925	0.0115055	0.0156123	0.0123099	0.0162222	0.0156737	0.0128872	0.012269	0.0136063	0.017519	0.0167939	0.00933153	0.00932602	0.0141774	0.045897	0.208768	0.234316	0.325236
a84	0.022383	0.0247317	0.0311256	0.0234665	0.0281905	0.0284	0.0244657	0.0238699	0.0205689	0.0248072	0.0212516	0.0126955	0.0148719	0.0230435	0.0575722	0.173147	0.187116	0.258294
a57	0.0346729	0.033707	0.0371061	0.0247779	0.0286978	0.0304608	0.0320605	0.032602	0.0298191	0.0373904	0.0341097	0.0251809	0.0323831	0.048649	0.0835797	0.157664	0.137553	0.159585
a87	0.043874	0.0440948	0.0502614	0.0313205	0.0386606	0.040487	0.0426901	0.0422078	0.0366431	0.0495496	0.0510053	0.0472627	0.0451895	0.0508695	0.070398	0.131851	0.0883468	0.0952878
