 	j'	ai	laissé	le	paquet	de	poissons	sur	la	table	</S>
a66	0.241257	0.146744	0.104612	0.10206	0.105978	0.0927613	0.0907746	0.0571201	0.0282077	0.0170648	0.0134212
a87	0.227149	0.147103	0.120279	0.104051	0.0975527	0.085259	0.0693291	0.0441686	0.0287379	0.0340658	0.0423055
a23	0.383829	0.267735	0.142081	0.0665663	0.0432101	0.0214771	0.0148766	0.0117855	0.0100217	0.0144353	0.0239821
a97	0.38018	0.279068	0.139722	0.0657012	0.0462792	0.0218119	0.0120206	0.00908753	0.0092861	0.0133492	0.0234942
a87	0.357587	0.267659	0.13991	0.0712825	0.0466862	0.0280898	0.0217638	0.0146716	0.012188	0.0154155	0.0247472
a23	0.37217	0.267508	0.133301	0.0642954	0.0414902	0.0247197	0.0204689	0.0147389	0.013333	0.0177692	0.0302061
a99	0.337708	0.232745	0.133077	0.073932	0.0599798	0.0323234	0.0222209	0.0190527	0.0193294	0.0262499	0.043381
a50	0.222415	0.213134	0.180153	0.117427	0.0945371	0.0416026	0.026007	0.0189749	0.0191663	0.0266655	0.0399181
a88	0.190131	0.176729	0.183388	0.141127	0.129081	0.0652256	0.037956	0.0199748	0.0155212	0.0164034	0.0244625
a71	0.160934	0.173454	0.180868	0.143053	0.136361	0.075775	0.0439778	0.0238149	0.0198907	0.019373	0.0224983
a25	0.102839	0.124885	0.159658	0.16166	0.1564	0.103454	0.0677701	0.0347874	0.0266808	0.0283491	0.0335165
a13	0.0695614	0.099153	0.129248	0.157744	0.155256	0.119627	0.0870607	0.0521399	0.0413705	0.0412861	0.0475541
a44	0.0433691	0.0648917	0.105213	0.145967	0.164752	0.140932	0.0949689	0.0584813	0.0550319	0.0602154	0.066178
a62	0.0597299	0.0709269	0.118467	0.16591	0.213782	0.182879	0.0815517	0.0295258	0.0228249	0.0237457	0.0306566
a88	0.0547281	0.061617	0.101217	0.153634	0.228073	0.207882	0.099033	0.0301587	0.0202798	0.0188983	0.0244797
a61	0.0325758	0.0367497	0.0760444	0.140648	0.225905	0.219402	0.137124	0.0458215	0.0262164	0.0257852	0.0337275
a21	0.024004	0.0244139	0.0495367	0.102187	0.181571	0.211438	0.183508	0.0862093	0.0479611	0.0403252	0.0488449
a85	0.0176721	0.0176593	0.0291377	0.0587434	0.107333	0.16095	0.193513	0.136188	0.0924562	0.0851098	0.101237
a5	0.00783024	0.00829121	0.0161818	0.0351918	0.0596585	0.11948	0.179104	0.160031	0.135908	0.136775	0.141549
a0	0.0156082	0.0119709	0.0195047	0.0375389	0.0614951	0.10705	0.160349	0.156643	0.112048	0.132285	0.185508
a75	0.0155649	0.00902634	0.014716	0.0261324	0.0362448	0.0620881	0.121106	0.166605	0.136848	0.162947	0.248722
a12	0.00235351	0.00135978	0.00205904	0.00385421	0.00609563	0.0201607	0.0689072	0.174158	0.187397	0.220847	0.312808
a43	0.00395803	0.00220753	0.00284593	0.00459283	0.00636979	0.015603	0.0486513	0.140861	0.194193	0.241661	0.339056
a75	0.00360054	0.00189618	0.00252892	0.00387363	0.00468169	0.00805677	0.0224752	0.0647005	0.137397	0.297578	0.453212
a47	0.000758428	0.000421905	0.000531586	0.00083054	0.0010903	0.00332649	0.0143253	0.0809637	0.19018	0.297556	0.410015
a37	0.000407094	0.000178599	0.000191674	0.000317479	0.0004478	0.00166636	0.0086525	0.0570939	0.157576	0.324011	0.449458
a56	0.000386043	0.000146933	0.000128295	0.000177981	0.000223126	0.000692696	0.00321072	0.0201507	0.0689709	0.264986	0.640926
a96	0.000549733	0.000203372	0.000203316	0.000301722	0.000346438	0.00102718	0.00476037	0.0299078	0.0980348	0.314522	0.550143
a34	0.0007343	0.000303444	0.000380687	0.000584762	0.000722295	0.00185048	0.00676027	0.0336924	0.106918	0.307241	0.540813
a61	0.000909953	0.000385487	0.000477822	0.000753082	0.000874146	0.00225728	0.00829057	0.0399674	0.123623	0.326885	0.495576
a0	0.000506742	0.000265669	0.000285363	0.000381066	0.000405512	0.00102149	0.00419252	0.0250311	0.098074	0.314725	0.555111
a54	0.0006549	0.000385759	0.000448564	0.000657236	0.00085508	0.00199668	0.00671079	0.0296349	0.107999	0.297188	0.55347
a36	0.000320967	0.000238083	0.000289636	0.000405769	0.000571309	0.00146332	0.0056851	0.0249911	0.0859501	0.29193	0.588155
a2	0.00718092	0.00439085	0.00485387	0.00591635	0.0071136	0.0140028	0.0302347	0.0748619	0.149193	0.278284	0.423968
a26	0.176656	0.0668201	0.0474843	0.0395335	0.0286395	0.0338582	0.0493071	0.0763231	0.106251	0.150263	0.224866
a57	0.33804	0.147566	0.0683789	0.0329338	0.0200077	0.0167523	0.0200765	0.0325237	0.0561479	0.101323	0.16625
a87	0.360979	0.169293	0.076792	0.0344141	0.0209132	0.0139127	0.0144614	0.0217282	0.0402973	0.087658	0.159551
a23	0.275797	0.152351	0.0799998	0.0409584	0.0275743	0.018214	0.0186302	0.0317724	0.0564679	0.113875	0.18436
a99	0.117347	0.0719946	0.0378153	0.0166712	0.0088836	0.00700924	0.00973415	0.0293425	0.0713582	0.218484	0.41136
a97	0.0740219	0.0389216	0.0219612	0.0162211	0.0158852	0.0252753	0.0387642	0.0691906	0.112114	0.222209	0.365435
</S>	0.0157056	0.00895795	0.00518299	0.00401144	0.00433817	0.00784421	0.0144389	0.0397374	0.0923293	0.274497	0.532957
