 	il	a	des	chiques	au	talon	</S>
a87	0.236875	0.221531	0.233915	0.186275	0.0583056	0.0343542	0.0287452
a23	0.192224	0.118835	0.118994	0.139421	0.107451	0.100945	0.222129
a53	0.334497	0.202757	0.141039	0.0915927	0.0599083	0.0664593	0.103746
a15	0.1799	0.105532	0.105744	0.143927	0.182782	0.157869	0.124245
a41	0.354528	0.225639	0.129717	0.0952861	0.0753347	0.0587575	0.0607377
a37	0.359987	0.290974	0.15071	0.0823098	0.0472507	0.0362611	0.0325074
a21	0.344609	0.348888	0.167246	0.0721469	0.0303396	0.0214209	0.0153491
a85	0.310391	0.344898	0.189486	0.0937383	0.0285691	0.0198606	0.0130565
a47	0.216048	0.261749	0.191133	0.133145	0.077688	0.0639003	0.0563364
a26	0.248927	0.275995	0.203157	0.102462	0.0565125	0.0576212	0.0553247
a57	0.166577	0.173697	0.184936	0.164721	0.103225	0.103948	0.102897
a40	0.0709845	0.0892445	0.129298	0.212212	0.186682	0.168131	0.143449
a41	0.167008	0.190247	0.187799	0.151771	0.126285	0.0990231	0.0778659
a37	0.103736	0.130161	0.137536	0.14027	0.15809	0.198105	0.132102
a66	0.139272	0.163485	0.194557	0.168078	0.130846	0.124763	0.0789992
a75	0.129328	0.15285	0.212375	0.215713	0.143038	0.0877105	0.0589862
a5	0.109593	0.106875	0.110502	0.125201	0.148342	0.202341	0.197147
a94	0.129337	0.13472	0.136814	0.179253	0.174244	0.150982	0.0946509
a12	0.0629252	0.0644555	0.090737	0.163604	0.264118	0.241014	0.113146
a96	0.0654014	0.0642205	0.0841712	0.148298	0.251706	0.246988	0.139214
a18	0.0334366	0.0308228	0.0401074	0.0933827	0.246616	0.357159	0.198475
a31	0.0134645	0.0122606	0.0184641	0.0588462	0.173793	0.36714	0.356032
a61	0.0102071	0.00935044	0.0130321	0.0427849	0.155335	0.383434	0.385856
a62	0.0046985	0.00457203	0.00689272	0.0241816	0.111405	0.364208	0.484042
a88	0.00296212	0.00318868	0.00512827	0.0192696	0.0915924	0.338062	0.539796
a9	0.0017007	0.00191808	0.00379497	0.0158367	0.0848338	0.350566	0.54135
a99	0.00430183	0.00464346	0.00800334	0.0344083	0.140663	0.370204	0.437776
a97	0.00773749	0.00713139	0.0103143	0.0324019	0.106828	0.298111	0.537476
a10	0.0324954	0.0243212	0.0276971	0.0586474	0.113383	0.229973	0.513483
a87	0.0813551	0.0594425	0.0742979	0.11576	0.121589	0.223529	0.324026
a23	0.0795908	0.0664236	0.0857475	0.138206	0.122677	0.206701	0.300655
a10	0.0288554	0.0170379	0.0217888	0.051058	0.0929392	0.245476	0.542845
a97	0.028648	0.0218278	0.0255118	0.0437716	0.0887674	0.20206	0.589414
</S>	0.0871595	0.0802529	0.0814482	0.090424	0.076997	0.137479	0.44624
