 	les	vieillards	perdent	leur	mémoire	</S>
a23	0.247488	0.0969582	0.094761	0.227465	0.228635	0.104693
a83	0.544062	0.247579	0.105134	0.0660889	0.0244123	0.0127235
a88	0.485019	0.325726	0.112218	0.0358591	0.0205416	0.0206369
a62	0.370156	0.384018	0.174644	0.0482383	0.0156776	0.0072653
a61	0.24894	0.450109	0.228056	0.0541463	0.0134651	0.00528332
a12	0.232184	0.370732	0.220936	0.102908	0.0463126	0.0269279
a11	0.22499	0.28322	0.209377	0.149859	0.0831446	0.0494091
a31	0.169555	0.179276	0.146841	0.189217	0.172129	0.142983
a75	0.106805	0.105584	0.124216	0.224044	0.243336	0.196015
a34	0.121306	0.114331	0.177785	0.257085	0.201828	0.127666
a75	0.0627199	0.0551573	0.0962822	0.245344	0.329846	0.21065
a34	0.0483504	0.0397206	0.0891012	0.261572	0.309734	0.251521
a75	0.0160569	0.014151	0.0329714	0.138756	0.343209	0.454857
a85	0.0162639	0.0116879	0.0255133	0.149839	0.39302	0.403676
a47	0.00983431	0.00630517	0.0125668	0.0948321	0.407943	0.468518
a2	0.00848244	0.00536962	0.0108988	0.0851598	0.403508	0.486581
a57	0.00377761	0.00308058	0.00617217	0.0363834	0.222232	0.728354
a87	0.00278538	0.00249417	0.00859779	0.0446777	0.190038	0.751407
a23	0.0462387	0.0161709	0.0194211	0.0736311	0.236075	0.608464
a87	0.0633039	0.0354021	0.0305294	0.0988931	0.3331	0.438772
</S>	0.0757392	0.0297327	0.0274186	0.115317	0.297817	0.453976
