 	sois	calme	</S>
a87	0.725534	0.219665	0.0548017
a23	0.645514	0.246376	0.108109
a99	0.628402	0.259724	0.111874
a62	0.437054	0.304341	0.258604
a47	0.519271	0.300064	0.180665
a75	0.446006	0.356715	0.197279
a85	0.431036	0.345785	0.223179
a37	0.295022	0.37269	0.332288
a26	0.20401	0.325575	0.470415
a38	0.186767	0.270282	0.542951
a24	0.151781	0.257803	0.590416
a9	0.0656022	0.235274	0.699124
a99	0.0588552	0.162398	0.778747
a87	0.233448	0.262513	0.50404
a10	0.228547	0.223899	0.547554
a87	0.320564	0.298132	0.381304
a23	0.3268	0.284177	0.389023
a87	0.190049	0.327596	0.482355
</S>	0.180815	0.32402	0.495165
