 	tes	dents	sont	bourrées	de	tartre	</S>
a66	0.454115	0.261215	0.10428	0.0588946	0.0490276	0.0446912	0.027777
a87	0.509042	0.220666	0.147246	0.0698637	0.0230426	0.0182736	0.0118655
a23	0.656601	0.201128	0.079358	0.0260175	0.0110131	0.0105477	0.0153344
a87	0.550467	0.21086	0.10916	0.0572657	0.0259149	0.0227398	0.0235929
a23	0.550319	0.217448	0.110806	0.053729	0.0235765	0.0223793	0.0217411
a83	0.480567	0.19171	0.121676	0.0784119	0.0393568	0.0417057	0.0465724
a61	0.405951	0.288405	0.189362	0.0698999	0.0218817	0.0144438	0.0100574
a12	0.269605	0.320041	0.249633	0.0923175	0.0328949	0.0215612	0.0139479
a21	0.205162	0.302368	0.314202	0.11507	0.0337397	0.017729	0.0117295
a85	0.153744	0.258004	0.322517	0.160748	0.0592484	0.0286755	0.0170623
a98	0.0453747	0.150895	0.257923	0.190727	0.162578	0.106186	0.086316
a85	0.062879	0.110538	0.212365	0.240935	0.192617	0.110212	0.0704549
a6	0.07069	0.0991388	0.141882	0.180137	0.211606	0.168227	0.128319
a37	0.0479588	0.0885021	0.129428	0.16024	0.20445	0.204947	0.164474
a85	0.0163398	0.0247941	0.0426824	0.0963363	0.212076	0.282421	0.325351
a6	0.00222729	0.00512866	0.0176979	0.0723726	0.192002	0.32039	0.390181
a36	0.00113186	0.001794	0.00477341	0.025895	0.107937	0.270662	0.587807
a93	0.00038247	0.000412591	0.000764912	0.00360701	0.0298674	0.172023	0.792943
a4	9.52689e-05	0.000158654	0.000563682	0.00342401	0.0322407	0.190454	0.773064
a57	0.000282725	0.000321624	0.00103682	0.00464873	0.0354163	0.244116	0.714178
a82	0.00358892	0.00413857	0.0052809	0.0102582	0.0388972	0.194423	0.743413
a97	0.10555	0.0718646	0.0404797	0.0493944	0.0860536	0.187276	0.459382
a87	0.31267	0.222951	0.096144	0.0623857	0.0630309	0.0949189	0.1479
a23	0.232827	0.159256	0.0794464	0.0588492	0.0710965	0.169701	0.228825
a99	0.0237439	0.0162047	0.0111347	0.0208722	0.0552393	0.219724	0.653081
a11	0.0173821	0.0149091	0.0149458	0.040772	0.103642	0.221026	0.587323
</S>	0.0193032	0.0262107	0.0289689	0.0645753	0.120992	0.211111	0.528839
