 	la	mère	a	gardé	du	jus	d'	ananas	pour	son	enfant	</S>
a66	0.251193	0.147663	0.0710943	0.0550058	0.0352743	0.0266701	0.0453499	0.0656542	0.0788961	0.0854539	0.0717345	0.0660108
a10	0.141401	0.108641	0.0772359	0.0647147	0.0332222	0.0200624	0.0328907	0.0561774	0.0656084	0.0981102	0.137308	0.164628
a38	0.319661	0.211539	0.107458	0.0754577	0.0334718	0.0243774	0.0355119	0.0440549	0.0321801	0.0335797	0.0392293	0.0434789
a11	0.261652	0.157294	0.0964149	0.0622282	0.0327981	0.0275352	0.0365631	0.0439678	0.0444983	0.0679388	0.0835192	0.0855907
a93	0.285472	0.208286	0.131929	0.0786047	0.0410162	0.0402476	0.0353885	0.0314666	0.0301673	0.0383523	0.038577	0.0404929
a94	0.15298	0.16047	0.201204	0.173672	0.0820298	0.064716	0.0327156	0.0254862	0.0217815	0.0241931	0.0269562	0.0337954
a40	0.0987118	0.137684	0.220175	0.222847	0.106138	0.0721812	0.0319255	0.0222466	0.0170943	0.0178035	0.0222938	0.0308994
a73	0.130246	0.170005	0.19027	0.14986	0.0853771	0.0607561	0.0408135	0.0335821	0.0284815	0.0292255	0.0362699	0.0451136
a44	0.0851202	0.116894	0.159551	0.150933	0.0990348	0.0896275	0.0621794	0.0377002	0.0340186	0.0380336	0.054464	0.0724447
a90	0.0588104	0.0852946	0.170262	0.202269	0.115787	0.0900254	0.0448406	0.0330226	0.0301751	0.0362404	0.0521695	0.0811035
a96	0.0597863	0.0773074	0.12619	0.153755	0.110798	0.0823593	0.0646664	0.0608824	0.0560838	0.0552533	0.0658155	0.0871026
a70	0.0314176	0.031105	0.052185	0.0781725	0.103971	0.125169	0.11133	0.101791	0.0863998	0.0761575	0.0880878	0.114213
a96	0.0193185	0.0178917	0.028944	0.0446146	0.0778181	0.108542	0.13168	0.146145	0.118937	0.0895409	0.0916959	0.124872
a83	0.01582	0.0145088	0.0218252	0.0335259	0.0600946	0.0870231	0.115278	0.144373	0.138894	0.109878	0.110837	0.147942
a54	0.00958736	0.00939059	0.0131581	0.0210229	0.0411072	0.0660789	0.105065	0.149393	0.14533	0.125929	0.127892	0.186046
a6	0.00801157	0.00924741	0.0139391	0.0174396	0.0273122	0.0441243	0.0768562	0.0907011	0.121199	0.151116	0.187394	0.252661
a37	0.00595357	0.00639988	0.0091193	0.0112211	0.0217935	0.0436587	0.0920765	0.107853	0.148602	0.152698	0.171981	0.228643
a6	0.00590977	0.00555209	0.00701986	0.0113926	0.0265935	0.0609521	0.0940812	0.0891513	0.0952291	0.122466	0.175645	0.306008
a43	0.00464119	0.00412953	0.00509678	0.00732676	0.0188949	0.0527625	0.096377	0.0847285	0.0891593	0.124631	0.198407	0.313846
a11	0.00415223	0.0041833	0.00461438	0.00669511	0.0155434	0.0367846	0.0681933	0.0629455	0.0598705	0.11067	0.214417	0.41193
a38	0.00383034	0.003961	0.00373267	0.00410989	0.0077388	0.0143138	0.0320844	0.0441561	0.0514668	0.129515	0.251981	0.453111
a70	0.00464709	0.00389198	0.00334945	0.00346232	0.00683138	0.0110602	0.035185	0.056849	0.0689115	0.146569	0.257644	0.401599
a61	0.00984238	0.00704065	0.00561069	0.00619807	0.0125888	0.0189443	0.0607255	0.0855095	0.0943781	0.149279	0.225313	0.32457
a88	0.00254393	0.00206184	0.00152803	0.00155953	0.0037974	0.00658053	0.0212509	0.0323094	0.0473763	0.125011	0.280411	0.47557
a71	0.0025913	0.00211498	0.00156741	0.00160042	0.00324135	0.00604071	0.0186053	0.0291766	0.0413273	0.108973	0.264184	0.520577
a38	0.0147057	0.0123023	0.00965262	0.00968198	0.0186813	0.0291524	0.0700246	0.0797233	0.0881652	0.139507	0.213929	0.314475
a13	0.030007	0.0184209	0.014122	0.0142555	0.0244547	0.0506638	0.0935644	0.08911	0.0890591	0.119899	0.191304	0.265139
a9	0.0266439	0.0166179	0.0124986	0.0124731	0.0217991	0.0469971	0.0887243	0.0844658	0.0840661	0.115601	0.199935	0.290179
a10	0.121568	0.0709027	0.0409257	0.0356977	0.0482191	0.0869446	0.0921477	0.0762308	0.0799722	0.0950265	0.117384	0.134981
a87	0.159456	0.101246	0.0508368	0.0365276	0.0369383	0.0568506	0.0577848	0.0513431	0.0638656	0.0949939	0.131342	0.158816
a79	0.163142	0.10329	0.0516556	0.0359591	0.0319971	0.0504488	0.0486636	0.0430596	0.0639616	0.107936	0.140889	0.158998
a26	0.109491	0.0835984	0.0631865	0.0506226	0.0430466	0.0529046	0.0621809	0.0481091	0.0661003	0.102223	0.133937	0.184599
</S>	0.0455316	0.0340943	0.0244164	0.0218688	0.0273092	0.0282117	0.047031	0.061074	0.0988198	0.144215	0.197392	0.270036
