 	le	bousier	roule	les	selles	</S>
a66	0.421483	0.241403	0.125621	0.101648	0.0638497	0.0459956
a87	0.509927	0.22041	0.133751	0.0600233	0.0399926	0.0358959
a79	0.401092	0.394048	0.083788	0.0459713	0.0356142	0.0394861
a96	0.430449	0.437974	0.0542731	0.0238421	0.0216176	0.0318447
a56	0.607459	0.272361	0.0459142	0.0261869	0.0222134	0.0258662
a43	0.590519	0.348049	0.0302027	0.0158139	0.00845739	0.00695831
a75	0.472435	0.441229	0.0504981	0.0168503	0.00994692	0.0090409
a85	0.422332	0.452426	0.072281	0.0249829	0.0150643	0.0129133
a92	0.300955	0.415068	0.138789	0.0731209	0.0381125	0.033954
a5	0.273652	0.444206	0.137992	0.0709421	0.0407369	0.0324714
a21	0.282522	0.352823	0.158736	0.0861983	0.0639294	0.0557917
a92	0.176619	0.285458	0.211214	0.133345	0.101785	0.0915785
a56	0.0795918	0.212084	0.181931	0.199909	0.171311	0.155173
a25	0.115765	0.244379	0.213315	0.146281	0.133126	0.147133
a90	0.0568862	0.165848	0.173897	0.205147	0.186264	0.211957
a98	0.0362501	0.125134	0.164976	0.181237	0.209135	0.283268
a85	0.0417516	0.104123	0.130103	0.205481	0.224131	0.294412
a6	0.0336728	0.083048	0.111037	0.196091	0.234647	0.341503
a36	0.0343316	0.0582859	0.0903232	0.178715	0.234024	0.40432
a37	0.00598598	0.00843093	0.0355985	0.102599	0.288184	0.559202
a26	0.00448824	0.00530486	0.0235549	0.0805497	0.30577	0.580333
a82	0.0302845	0.0229789	0.0666459	0.145076	0.316337	0.418678
a97	0.129368	0.0664481	0.107263	0.139709	0.240137	0.317076
a87	0.162572	0.128353	0.105383	0.162587	0.194387	0.246718
a23	0.248585	0.192366	0.109071	0.148121	0.143551	0.158307
a99	0.0448003	0.0683013	0.0759802	0.211468	0.270368	0.329082
a97	0.0485367	0.0941785	0.0885928	0.186863	0.262091	0.319738
</S>	0.0469435	0.0678221	0.0712462	0.139217	0.229634	0.445137
