 	la	pirogue	a	chaviré	dans	le	fleuve	</S>
a66	0.386356	0.235405	0.145136	0.0833313	0.0460039	0.0369262	0.0346553	0.0321864
a87	0.315033	0.220125	0.153631	0.0943348	0.0520058	0.0497808	0.0581283	0.0569618
a23	0.485297	0.236809	0.105288	0.0552789	0.0262276	0.0265405	0.0309545	0.0336039
a97	0.293046	0.168386	0.10464	0.0945979	0.0806024	0.0929216	0.087407	0.0783993
a79	0.238565	0.169088	0.100568	0.0964558	0.100353	0.106222	0.099381	0.089368
a15	0.16987	0.172557	0.169033	0.17208	0.103339	0.0826519	0.0686179	0.0618515
a79	0.169135	0.20071	0.219369	0.17628	0.0934097	0.0618332	0.0446295	0.0346338
a44	0.165335	0.207433	0.243339	0.168247	0.0922619	0.0568485	0.0381354	0.0284002
a96	0.17206	0.197583	0.200792	0.140747	0.104833	0.0750556	0.057326	0.0516037
a88	0.199035	0.197901	0.160703	0.120074	0.107482	0.0826995	0.0672838	0.064822
a11	0.141819	0.137138	0.121448	0.142127	0.152076	0.112998	0.0940301	0.0983644
a90	0.100736	0.0942906	0.0661599	0.0842477	0.15495	0.158454	0.161086	0.180076
a79	0.0670793	0.0641817	0.0781094	0.152632	0.190489	0.169069	0.142577	0.135861
a56	0.0381505	0.0399528	0.0487677	0.120952	0.198671	0.202686	0.180747	0.170073
a75	0.0192135	0.0190705	0.0222716	0.0706488	0.224842	0.262859	0.208671	0.172424
a6	0.00824028	0.00768422	0.00921396	0.042062	0.14022	0.244596	0.279914	0.26807
a37	0.00563587	0.00468237	0.00569747	0.0249113	0.115303	0.240344	0.303486	0.29994
a75	0.00570872	0.00433984	0.00530976	0.0175027	0.0611916	0.158779	0.304357	0.442811
a5	0.00124638	0.00100305	0.00146681	0.00783985	0.0371431	0.140097	0.324025	0.487178
a61	0.00183274	0.00135522	0.00185557	0.00768341	0.0308009	0.109919	0.294995	0.551559
a18	0.00209751	0.00157641	0.00218551	0.00948227	0.0363649	0.112338	0.283108	0.552847
a25	0.00793292	0.00864755	0.0136529	0.0362039	0.0876639	0.16697	0.260794	0.418135
a87	0.105385	0.0901651	0.0847263	0.095102	0.107964	0.129168	0.157973	0.229517
a23	0.374796	0.227975	0.125278	0.0840601	0.0542336	0.0478802	0.0423602	0.0434171
a87	0.112933	0.0563025	0.0528281	0.0877014	0.128495	0.169878	0.18868	0.203182
</S>	0.0144782	0.00816785	0.0123575	0.0425489	0.0881478	0.167964	0.277237	0.389098
