 	autant	hier	j'	étais	heureux	autant	je	suis	triste	aujourd'	hui	</S>
a23	0.0858393	0.0875828	0.130686	0.116239	0.165406	0.135513	0.0571431	0.0552952	0.0297892	0.0235331	0.0411594	0.0718145
a13	0.166796	0.121565	0.122537	0.106147	0.109034	0.0919209	0.0570978	0.0396305	0.0352271	0.0363954	0.049982	0.0636668
a75	0.236406	0.152084	0.128965	0.121525	0.162887	0.0912164	0.0341344	0.023481	0.00956754	0.00822773	0.0115827	0.0199233
a94	0.352306	0.132123	0.123136	0.116572	0.145495	0.0841278	0.0199953	0.0134038	0.00388758	0.00278874	0.00281274	0.00335294
a41	0.20155	0.114754	0.144461	0.156021	0.188723	0.113496	0.0359289	0.0218016	0.00777823	0.0050879	0.00497321	0.00542487
a94	0.136796	0.101371	0.140555	0.171485	0.174479	0.117569	0.060941	0.0386374	0.0186415	0.0129723	0.0127159	0.0138364
a38	0.114666	0.101691	0.148168	0.173914	0.168303	0.113056	0.0637277	0.0417226	0.022414	0.0162832	0.0169666	0.0190879
a75	0.116515	0.103176	0.151244	0.17415	0.160955	0.110143	0.0652133	0.0428978	0.0221072	0.0160861	0.0173346	0.0201789
a94	0.0797363	0.0835019	0.133246	0.153125	0.150068	0.123409	0.0938164	0.0659123	0.0400008	0.0257317	0.0237472	0.0277045
a98	0.0945216	0.103218	0.160716	0.167427	0.154397	0.119682	0.0702606	0.0485387	0.0240287	0.0161016	0.0187087	0.0223998
a73	0.0666096	0.0847248	0.132455	0.140306	0.137242	0.116689	0.0912753	0.0671132	0.049787	0.037739	0.0356138	0.0404453
a90	0.0593983	0.0855042	0.140354	0.132924	0.124289	0.117229	0.0959506	0.0701645	0.0523056	0.0403997	0.0385775	0.042904
a98	0.0594241	0.083798	0.137186	0.136368	0.133054	0.120801	0.0986064	0.0716307	0.0530504	0.0384864	0.0336642	0.0339298
a41	0.0594695	0.0910527	0.140982	0.127332	0.120442	0.116447	0.0955517	0.0722001	0.0528633	0.0417031	0.0388825	0.0430744
a56	0.042577	0.0619777	0.1081	0.102489	0.103315	0.121581	0.111506	0.0823458	0.0734588	0.0666765	0.0606228	0.0653509
a32	0.0520834	0.0546703	0.0917256	0.0920629	0.0938525	0.127039	0.128418	0.0931437	0.0774395	0.0646354	0.0569839	0.0679459
a75	0.0471013	0.0522916	0.0912386	0.0944647	0.0979213	0.148892	0.138874	0.0977001	0.0701705	0.05512	0.0479871	0.058238
a56	0.0534118	0.0576785	0.0940556	0.0914921	0.090529	0.132461	0.128753	0.0970122	0.0743632	0.0639182	0.0563841	0.0599413
a98	0.0587907	0.0521862	0.0794771	0.0828668	0.0882287	0.138629	0.148289	0.105752	0.0753221	0.061454	0.0524614	0.0565426
a73	0.0469811	0.0429783	0.0698397	0.0678048	0.0816645	0.127056	0.128566	0.0910613	0.0784193	0.0807654	0.0833278	0.101536
a84	0.0319061	0.0310492	0.0466906	0.0429206	0.0488982	0.0874183	0.12494	0.0946364	0.0976285	0.112579	0.127242	0.154092
a82	0.0455035	0.0425307	0.0500568	0.0441451	0.0432211	0.0566274	0.115905	0.096047	0.115404	0.11636	0.115951	0.158248
a20	0.0411623	0.0396717	0.0499711	0.0447717	0.0416197	0.0471311	0.0893918	0.0755668	0.0976776	0.120354	0.139833	0.212849
a84	0.0371252	0.0295313	0.0414159	0.0383734	0.039135	0.0508448	0.0895607	0.066864	0.0901927	0.122445	0.158637	0.235875
a87	0.0328499	0.0297335	0.0371282	0.0351658	0.0354315	0.0489474	0.0942106	0.0733483	0.0960946	0.119414	0.1587	0.238976
a23	0.0270414	0.0255986	0.0299321	0.0276196	0.0268402	0.0329162	0.0624998	0.0537932	0.0642943	0.115508	0.198264	0.335692
a13	0.0137004	0.0146945	0.0207278	0.0202326	0.0181334	0.020631	0.0436346	0.0355818	0.0487404	0.11079	0.255901	0.397233
a90	0.00966317	0.00941781	0.0166833	0.0182616	0.0200581	0.033421	0.0595162	0.0410439	0.0558115	0.0984823	0.204588	0.433053
a94	0.0305752	0.0190359	0.0289533	0.0400776	0.0383107	0.0652256	0.108665	0.0641074	0.0649937	0.085306	0.148933	0.305816
a75	0.0391111	0.0256439	0.0328727	0.0380025	0.037169	0.0618813	0.111402	0.0759997	0.0752618	0.0875153	0.144932	0.270209
a66	0.051878	0.0376934	0.0514308	0.0584768	0.0644476	0.0852373	0.113213	0.0737287	0.0653325	0.0728891	0.11554	0.210133
a11	0.0298367	0.0219515	0.0257364	0.0302255	0.0324223	0.0595279	0.123736	0.0908604	0.105651	0.104427	0.141257	0.234368
a90	0.0225451	0.0159969	0.0190322	0.0216762	0.0210392	0.0366188	0.0982051	0.0804041	0.121731	0.139741	0.175012	0.247999
a98	0.0297454	0.0216363	0.0286025	0.0344774	0.035845	0.0680531	0.13563	0.0962288	0.109336	0.101767	0.133691	0.204987
a92	0.0255997	0.0207608	0.025765	0.0279033	0.031886	0.0610403	0.119606	0.088083	0.100365	0.0998471	0.146458	0.252685
a75	0.033958	0.0278449	0.0336786	0.0371919	0.0412736	0.0670891	0.116932	0.0840269	0.0928756	0.0915302	0.140744	0.232855
a56	0.0303348	0.0254966	0.0293237	0.0304461	0.0331547	0.0504006	0.0932823	0.0713496	0.0999501	0.105309	0.165159	0.265794
a44	0.0173274	0.0158965	0.0174598	0.0175124	0.0206205	0.0342897	0.0761438	0.0611103	0.108072	0.125757	0.193763	0.312047
a57	0.00955396	0.00902592	0.0102598	0.0105476	0.0123445	0.0230547	0.0540682	0.0470483	0.110175	0.143494	0.215145	0.355283
a82	0.00325431	0.0032516	0.00402297	0.00396918	0.00464089	0.00821275	0.0285239	0.0298105	0.0863138	0.145572	0.248612	0.433816
a87	0.00243528	0.00315921	0.00417201	0.00363059	0.00338557	0.00475473	0.0175561	0.0200095	0.06557	0.132112	0.266671	0.476545
a38	0.00716108	0.00766492	0.0117191	0.00880802	0.00758161	0.011142	0.0312911	0.0265787	0.0589949	0.15749	0.283681	0.387888
a53	0.00300803	0.00234121	0.00344055	0.00321657	0.00269639	0.00448691	0.0164034	0.0152803	0.0512092	0.146172	0.281312	0.470433
a54	0.00455471	0.00410615	0.0057142	0.0053617	0.00545516	0.0150747	0.0409033	0.0377582	0.080905	0.145177	0.27999	0.374999
a73	0.0134889	0.0140941	0.0181859	0.0187739	0.0209339	0.0387586	0.0793011	0.0681255	0.104294	0.135207	0.211966	0.27687
a44	0.00163953	0.00145285	0.00187379	0.00181735	0.00213914	0.00522922	0.0188584	0.0151692	0.0450911	0.122306	0.297541	0.486882
a93	0.00100117	0.000995087	0.00109154	0.00106493	0.00120096	0.00268554	0.0131564	0.0113685	0.0418136	0.119523	0.298593	0.507506
a4	0.00190694	0.00221558	0.00265546	0.00280278	0.00295645	0.00600002	0.0236758	0.0197361	0.0544175	0.12841	0.288886	0.466337
