 	la	manière	de	voler	de	la	poule	est	différente	de	celle	d'	un	oiseau	</S>
a66	0.155117	0.0988584	0.0671774	0.0787688	0.110711	0.114678	0.0848039	0.0781476	0.063781	0.0507056	0.0389032	0.0204051	0.0131296	0.0123969	0.0124162
a87	0.175223	0.112983	0.0979846	0.0942952	0.103574	0.0872503	0.0507813	0.0395144	0.0370576	0.0400964	0.0400669	0.0299418	0.0269988	0.032683	0.0315501
a23	0.243803	0.1874	0.128581	0.111912	0.0851959	0.0593238	0.0313838	0.0169429	0.0142308	0.0151613	0.0203986	0.0226479	0.0184442	0.0218502	0.0227255
a50	0.214845	0.251003	0.163352	0.121578	0.0589736	0.0380062	0.0224955	0.0153388	0.0113236	0.00993028	0.0112735	0.0125363	0.0161807	0.0234563	0.0297084
a88	0.202079	0.223449	0.160208	0.140919	0.0707354	0.0472035	0.0227241	0.0121372	0.00763894	0.00765523	0.0102834	0.0150776	0.0204673	0.0268374	0.0325845
a11	0.332422	0.23891	0.154552	0.0941325	0.0509834	0.0367422	0.0226079	0.0107115	0.00531525	0.00408313	0.00417618	0.00629411	0.0101049	0.0142872	0.0146771
a38	0.268945	0.264286	0.173551	0.0978211	0.0561202	0.0449644	0.0338695	0.0160708	0.00641672	0.00427771	0.0035276	0.0048226	0.00695723	0.00913521	0.00923443
a83	0.155758	0.214827	0.191351	0.134229	0.0732957	0.0603797	0.0542141	0.0297433	0.014696	0.00982643	0.00802743	0.00946397	0.0119182	0.0154945	0.0167753
a93	0.119369	0.181686	0.189787	0.14622	0.080028	0.0644544	0.0628595	0.0350384	0.0195045	0.0140637	0.0120622	0.0126472	0.0153642	0.0215802	0.025335
a44	0.112348	0.145587	0.164098	0.145466	0.106534	0.0903208	0.0882966	0.0476012	0.0226204	0.0139512	0.0102217	0.00963504	0.0105614	0.0146278	0.0181317
a34	0.114887	0.127917	0.137537	0.133021	0.108035	0.0949601	0.0933369	0.0572123	0.0336634	0.0217637	0.0153905	0.0110444	0.0113214	0.0170375	0.0228729
a21	0.0785452	0.0872835	0.10945	0.134806	0.124696	0.113496	0.110964	0.0771085	0.0480308	0.0292287	0.0185953	0.0122724	0.0124775	0.0182364	0.0248093
a5	0.0397441	0.0477406	0.0683924	0.112603	0.122891	0.120797	0.121457	0.100641	0.0775841	0.0514546	0.0333674	0.0209901	0.0198955	0.0267021	0.0357413
a56	0.0142417	0.0195303	0.033581	0.066172	0.107134	0.104289	0.118308	0.112405	0.108659	0.0787729	0.0505185	0.0334703	0.0348371	0.0475189	0.070563
a43	0.011895	0.0144104	0.0264192	0.0620517	0.116086	0.0997712	0.114829	0.107515	0.111699	0.0815743	0.0564793	0.0377905	0.0352388	0.0482702	0.0759703
a56	0.0151956	0.0121023	0.0171498	0.0428279	0.100492	0.0807641	0.0832945	0.0867156	0.102345	0.0873002	0.0732543	0.0578361	0.0558026	0.0777254	0.107195
a93	0.0102036	0.00971161	0.0153619	0.0329689	0.0712647	0.060738	0.0708637	0.081461	0.122608	0.115104	0.100182	0.0699313	0.0557742	0.0713587	0.112468
a4	0.0129581	0.00948092	0.0121544	0.0288804	0.0727563	0.0562397	0.0586598	0.0695684	0.100099	0.0990272	0.0992757	0.0849902	0.0750569	0.0923501	0.128503
a58	0.0123878	0.0117067	0.0162495	0.0285424	0.05926	0.0467317	0.0539932	0.0566425	0.0830838	0.0880394	0.0928896	0.104658	0.0876614	0.0989435	0.15921
a62	0.0143895	0.0124535	0.0151507	0.0243546	0.0432044	0.0345976	0.0382344	0.0439666	0.0711544	0.079048	0.0951744	0.0934882	0.102017	0.136237	0.19653
a47	0.00693536	0.00479502	0.00596085	0.0124639	0.0262041	0.0225614	0.0250462	0.0331897	0.0660611	0.0806453	0.106972	0.128674	0.121893	0.146398	0.2122
a88	0.00839504	0.00665902	0.00905988	0.0211552	0.042879	0.0331308	0.0348811	0.0426944	0.0756394	0.0920015	0.11344	0.120567	0.104721	0.120266	0.17451
a71	0.00333447	0.00250152	0.00327016	0.00693276	0.015207	0.0131078	0.0143781	0.0209147	0.0454713	0.0627698	0.0834794	0.101942	0.125742	0.203279	0.29767
a62	0.0116705	0.00972305	0.0117259	0.0173519	0.034627	0.0331495	0.0359394	0.0460775	0.0871731	0.0869931	0.0857717	0.0719885	0.0830763	0.147612	0.23712
a21	0.00214113	0.00142221	0.00178929	0.00338218	0.00817011	0.00768043	0.00892814	0.0133189	0.0316255	0.0415603	0.057697	0.0901059	0.148211	0.232463	0.351505
a75	0.00190333	0.0014886	0.00203836	0.00379188	0.00874617	0.00836181	0.0102752	0.0140548	0.0256055	0.0326389	0.0464724	0.0827636	0.152792	0.228047	0.38102
a92	0.000686544	0.000721796	0.00113122	0.00183125	0.00374554	0.00326589	0.00487702	0.00599536	0.0136962	0.0244384	0.0442336	0.072179	0.160391	0.255932	0.406876
a5	0.000523422	0.000534967	0.000856099	0.00151536	0.00344954	0.00312025	0.00460503	0.00599319	0.0132429	0.0215834	0.036548	0.0610187	0.139027	0.251834	0.456149
a23	0.000353075	0.000285648	0.000409645	0.000718806	0.00203749	0.00193711	0.00283643	0.00401625	0.0108466	0.0174124	0.0268769	0.0478674	0.1176	0.234236	0.532566
a37	0.000361203	0.000324228	0.000501827	0.000829811	0.00216193	0.00184717	0.00277026	0.00348352	0.00881059	0.0141556	0.0181255	0.0329647	0.0893546	0.226028	0.598281
a32	0.00127834	0.00084562	0.00108894	0.00146096	0.00337506	0.00307413	0.00439345	0.00472741	0.011582	0.0183692	0.0249963	0.0474486	0.112844	0.229554	0.534963
a11	0.00604233	0.00415103	0.00463943	0.0049626	0.00789289	0.00792058	0.010665	0.00963545	0.0170915	0.0246519	0.0327458	0.0512846	0.112362	0.219898	0.486057
a9	0.0193478	0.0130346	0.0133853	0.0123306	0.0172408	0.0182821	0.0240605	0.0201545	0.0274082	0.0342452	0.0401451	0.0571133	0.108371	0.19478	0.400101
a10	0.0836026	0.0456804	0.0403954	0.0302707	0.0413903	0.0421297	0.0521518	0.040119	0.0435861	0.0472285	0.0443088	0.0597249	0.0810793	0.115986	0.232346
a87	0.148817	0.0675522	0.0569838	0.0369871	0.0592427	0.0539411	0.0518577	0.0459951	0.0418455	0.0451158	0.0439755	0.0535082	0.0700947	0.0900087	0.134075
a23	0.121755	0.0619967	0.051211	0.0417817	0.0692303	0.0580495	0.0509205	0.0542865	0.0593353	0.0684807	0.064912	0.0640567	0.0679483	0.0787808	0.0872548
a87	0.0677958	0.037315	0.0329403	0.0249197	0.0498309	0.0337805	0.0306105	0.0232449	0.0242234	0.0281851	0.025583	0.0538047	0.101928	0.192333	0.273505
</S>	0.0135903	0.00766123	0.00832682	0.00831801	0.0222479	0.0148282	0.0180004	0.0152497	0.0213303	0.0332879	0.0353628	0.0543209	0.0996314	0.223568	0.424276
