 	ngolo	a	planté	un	safoutier	dans	la	parcelle	</S>
a66	0.245082	0.108738	0.106694	0.152888	0.150711	0.106557	0.0598848	0.0384555	0.0309893
a87	0.218052	0.156295	0.150048	0.121091	0.0716781	0.0590183	0.0689178	0.080111	0.0747887
a23	0.518445	0.267197	0.0970572	0.0285638	0.0146688	0.0124284	0.0158002	0.0215444	0.0242951
a13	0.556602	0.247314	0.0842489	0.0250877	0.0114968	0.0119318	0.0164703	0.0224069	0.0244417
a4	0.4265	0.205927	0.103228	0.049452	0.0365126	0.0417751	0.0451806	0.0487916	0.0426329
a93	0.332604	0.207686	0.119643	0.0624193	0.0564118	0.0616634	0.0577174	0.0559858	0.045869
a34	0.156966	0.199797	0.210898	0.118931	0.0798081	0.071932	0.0586001	0.0538321	0.049236
a90	0.0906801	0.165727	0.232016	0.145403	0.0894894	0.0749336	0.0659735	0.0659784	0.0697991
a15	0.0931952	0.148901	0.217983	0.153616	0.107899	0.0824628	0.0675326	0.0637015	0.0647092
a47	0.0780878	0.124151	0.190937	0.160292	0.125721	0.0955788	0.0786398	0.0736842	0.0729081
a6	0.0539724	0.0820111	0.116722	0.112807	0.117645	0.119317	0.121356	0.137715	0.138454
a0	0.0406793	0.0617641	0.105023	0.123175	0.112324	0.104551	0.114385	0.148814	0.189283
a43	0.0275908	0.0353243	0.0535008	0.0884904	0.0982805	0.0936202	0.117469	0.190313	0.295411
a90	0.0282088	0.0336005	0.0473253	0.0868033	0.111984	0.101098	0.118373	0.184846	0.287761
a56	0.0208659	0.0279568	0.0403342	0.0817007	0.132306	0.142321	0.138945	0.168696	0.246875
a43	0.022719	0.0276728	0.0365985	0.0859902	0.141937	0.155676	0.14978	0.159044	0.220582
a75	0.0110144	0.013497	0.0152802	0.0330063	0.0731006	0.108638	0.156018	0.222275	0.367171
a6	0.00524789	0.0067006	0.00744103	0.0155366	0.0373156	0.0819698	0.158034	0.244213	0.443542
a0	0.0024325	0.0031129	0.00322741	0.00660631	0.0197127	0.0522529	0.126987	0.247762	0.537906
a12	0.00277299	0.00275378	0.00227928	0.00292211	0.00734777	0.0204764	0.0707088	0.220657	0.670082
a96	0.0024702	0.00271104	0.00252581	0.00328196	0.00765075	0.0224705	0.0845053	0.231452	0.642933
a43	0.00152565	0.00172034	0.00172341	0.00234925	0.00675134	0.0211083	0.0778341	0.223535	0.663452
a38	0.00308775	0.00319767	0.00376102	0.00501622	0.0132118	0.0327327	0.0882244	0.214283	0.636485
a66	0.00760295	0.00660051	0.00714635	0.00952017	0.0210682	0.0411667	0.086986	0.195085	0.624824
a9	0.0383126	0.0204512	0.0164662	0.0182649	0.0323025	0.0505739	0.0880932	0.177341	0.558195
a99	0.302096	0.100885	0.0515909	0.0417204	0.0450397	0.0504394	0.0666929	0.0998033	0.241732
a87	0.352964	0.149499	0.0732417	0.0418114	0.0360712	0.038446	0.0552627	0.0886159	0.164088
a23	0.256013	0.14307	0.0775316	0.0348888	0.0311734	0.0403496	0.0712514	0.125164	0.220559
a87	0.150834	0.103601	0.0513483	0.0197974	0.0197628	0.0326422	0.0787575	0.179799	0.363457
</S>	0.119868	0.0899189	0.054299	0.0302161	0.0338664	0.0516042	0.0957862	0.185943	0.338498
