 	il	est	arrivé	à	grimper	jusqu'	en	haut	du	palmier	</S>
a85	0.258328	0.187129	0.163314	0.14226	0.0939103	0.0443032	0.0222679	0.0173151	0.0221732	0.0222883	0.0267112
a87	0.249705	0.172404	0.132725	0.103243	0.0513839	0.0269656	0.0222139	0.0344049	0.0574636	0.0689772	0.0805139
a23	0.189641	0.139782	0.0965381	0.0671049	0.0397499	0.0376873	0.0417195	0.0566383	0.0787567	0.103635	0.148747
a79	0.0876544	0.0490412	0.0230513	0.0155249	0.00735745	0.00611997	0.00873887	0.0307398	0.104073	0.220732	0.446967
a20	0.185087	0.112964	0.0662193	0.05474	0.0469473	0.0362012	0.0318976	0.0520631	0.0794529	0.136188	0.198239
a73	0.311563	0.202261	0.113318	0.0955262	0.0758248	0.0431767	0.0287105	0.0290131	0.0266993	0.0350508	0.0388564
a2	0.235499	0.187127	0.130964	0.124394	0.0893766	0.0641196	0.0428648	0.0323262	0.0285584	0.0313196	0.0334507
a30	0.120381	0.106793	0.0938934	0.107985	0.0940087	0.0785011	0.0746406	0.0531607	0.0671303	0.0849009	0.118605
a73	0.142739	0.140675	0.122942	0.137698	0.109313	0.0770178	0.0612826	0.0419156	0.04424	0.0529839	0.0691942
a44	0.130378	0.145008	0.143026	0.162189	0.11923	0.0749738	0.0564298	0.0350132	0.0375364	0.041833	0.0543834
a90	0.0993443	0.112437	0.12069	0.148626	0.12659	0.100553	0.0805347	0.0487785	0.0509648	0.0536987	0.057783
a41	0.0760806	0.103083	0.124768	0.165879	0.141122	0.118604	0.0951813	0.049987	0.0411943	0.0412661	0.0428347
a76	0.0584916	0.0691371	0.0747949	0.104276	0.123105	0.169223	0.162715	0.091336	0.0558513	0.0471915	0.0438789
a35	0.0362834	0.039022	0.0454314	0.0724264	0.103825	0.190189	0.205244	0.112752	0.0717333	0.0620071	0.0610863
a43	0.0261502	0.0298875	0.0372331	0.0633495	0.100319	0.175789	0.208595	0.139262	0.0875969	0.068848	0.0629705
a41	0.0209113	0.0210343	0.0254573	0.042527	0.0678868	0.119456	0.170692	0.155655	0.138197	0.124121	0.114062
a27	0.01514	0.0176891	0.0245813	0.0409806	0.0594993	0.112764	0.170627	0.160041	0.14518	0.12696	0.126537
a11	0.0176836	0.0167036	0.0186392	0.0270316	0.0261668	0.0501978	0.0899398	0.101835	0.151	0.207824	0.292979
a26	0.0301067	0.0231494	0.0208671	0.023427	0.0184449	0.0265824	0.0403031	0.0473018	0.11486	0.222328	0.432629
a24	0.00934018	0.0061426	0.00547402	0.00604653	0.00553903	0.0154056	0.0318243	0.0526359	0.12947	0.273753	0.464369
a9	0.0108152	0.00594699	0.00451766	0.00466779	0.00546697	0.0136827	0.0295747	0.0578539	0.142253	0.264206	0.461015
a24	0.00394036	0.00261694	0.0022629	0.0026128	0.00371927	0.0106708	0.0241855	0.0511095	0.144729	0.274239	0.479914
a9	0.00488245	0.00294952	0.00237612	0.0028071	0.00427783	0.0151812	0.0348891	0.0728113	0.162334	0.264612	0.432879
a76	0.00256295	0.00203612	0.00214862	0.00298518	0.00420119	0.0112038	0.0252082	0.0506579	0.142274	0.270072	0.48665
a35	0.00105778	0.000548856	0.000478775	0.000632157	0.00114598	0.00910363	0.0278234	0.0730173	0.187339	0.293599	0.405254
a24	0.000533634	0.000299938	0.000269443	0.000376953	0.000732824	0.00643422	0.0191514	0.0508609	0.157656	0.28727	0.476415
a31	0.00194143	0.00105745	0.000907146	0.00108428	0.0016277	0.00840016	0.0206319	0.0517648	0.14393	0.271852	0.496803
a24	0.00317049	0.00179273	0.00140362	0.00156542	0.00227208	0.0100289	0.0234742	0.0532056	0.147398	0.269673	0.486016
a71	0.00142203	0.000801474	0.000637313	0.000781939	0.00157702	0.00908368	0.0217562	0.0554454	0.160583	0.274288	0.473624
a24	0.00190641	0.000990624	0.000738764	0.000791729	0.00122515	0.00550294	0.0144337	0.0375854	0.132396	0.263771	0.540658
a31	0.00161812	0.000721015	0.000462954	0.000484159	0.000830932	0.00594706	0.0169739	0.0534124	0.146487	0.271289	0.501773
a21	0.0033735	0.00186047	0.00139213	0.00154373	0.0024114	0.00943763	0.0215579	0.0510725	0.154246	0.271722	0.481383
a41	0.00182991	0.00115083	0.00108898	0.00137927	0.00258027	0.0116191	0.0242585	0.0615408	0.169005	0.271175	0.454372
a73	0.00127143	0.000748968	0.000665635	0.000861633	0.00190625	0.00807219	0.0175824	0.0481957	0.152707	0.26835	0.499638
a2	0.00254536	0.0012229	0.000884445	0.00089511	0.00115189	0.00402843	0.0111408	0.0343549	0.125444	0.262678	0.555655
a57	0.00294236	0.00233628	0.00278607	0.0036821	0.0051506	0.0119717	0.0220212	0.0409636	0.127405	0.231239	0.549501
a87	0.00250906	0.00193366	0.0023062	0.00270389	0.00318094	0.00978614	0.0254591	0.0633777	0.176406	0.26708	0.445257
</S>	0.0030965	0.0033765	0.00545759	0.00853657	0.00848629	0.0216486	0.0447549	0.079813	0.177214	0.264841	0.382775
