 	il	est	revenu	bredouille	</S>
a53	0.262037	0.196506	0.175852	0.173266	0.192338
a15	0.189049	0.0960244	0.134337	0.224248	0.356341
a41	0.113322	0.0900682	0.209735	0.270023	0.316852
a75	0.102281	0.122783	0.268289	0.288068	0.21858
a25	0.141103	0.126322	0.244849	0.271174	0.216552
a90	0.138504	0.11401	0.194465	0.257657	0.295364
a9	0.127417	0.0949899	0.18675	0.253772	0.33707
a38	0.0161254	0.0144151	0.0623723	0.246947	0.66014
a75	0.0288599	0.0216264	0.0857386	0.277724	0.586051
a61	0.022554	0.0235091	0.102704	0.310165	0.541068
a88	0.0269701	0.0223133	0.0766377	0.288702	0.585377
a9	0.0447718	0.042635	0.102164	0.253797	0.556632
a87	0.0835704	0.0621003	0.106684	0.238512	0.509134
a10	0.130955	0.0875283	0.12934	0.23348	0.418697
a87	0.0749035	0.0456319	0.110111	0.281377	0.487976
a10	0.0528431	0.0448458	0.130318	0.285695	0.486298
a87	0.0352125	0.0335604	0.104587	0.298431	0.528209
</S>	0.0416199	0.0352249	0.0932833	0.263235	0.566637
