 	le	malade	a	maigri	</S>
a66	0.489448	0.229618	0.164585	0.0662084	0.0501398
a87	0.412893	0.246791	0.193622	0.0899574	0.0567363
a23	0.543941	0.246368	0.112503	0.0506893	0.0464988
a79	0.511271	0.231868	0.113888	0.0823099	0.0606634
a58	0.49843	0.286541	0.152878	0.0423412	0.0198091
a82	0.361823	0.320004	0.241772	0.0581676	0.0182332
a53	0.273761	0.302527	0.275919	0.108665	0.0391281
a69	0.281655	0.306805	0.250602	0.110006	0.0509312
a44	0.204072	0.251881	0.253144	0.184633	0.106271
a96	0.163881	0.184593	0.190854	0.245196	0.215475
a37	0.145448	0.154444	0.170979	0.281814	0.247316
a94	0.127217	0.149737	0.191218	0.284924	0.246904
a53	0.079313	0.0973478	0.148158	0.321301	0.35388
a4	0.0601342	0.0878471	0.173768	0.341019	0.337231
a70	0.0334829	0.0524049	0.137171	0.354631	0.42231
a88	0.00852808	0.012459	0.0461101	0.328572	0.604331
a0	0.00172878	0.00269088	0.0143421	0.238569	0.742669
a62	0.00103134	0.00141279	0.00738045	0.171968	0.818208
a21	0.000965419	0.00117352	0.00432008	0.131046	0.862495
a12	0.00108736	0.00150345	0.00641459	0.116118	0.874876
a88	0.00100297	0.00117008	0.00419963	0.0824578	0.911169
a71	0.000604089	0.000896508	0.00336343	0.0810027	0.914133
a9	0.0083151	0.00984617	0.0194037	0.122352	0.840083
a3	0.0925789	0.0607514	0.0688364	0.170742	0.607092
a87	0.205889	0.0890941	0.0646844	0.136553	0.50378
a97	0.174114	0.0982362	0.0818149	0.189037	0.456799
a87	0.10214	0.0712736	0.0768601	0.21734	0.532387
a97	0.0778615	0.0528339	0.0591749	0.219738	0.590392
</S>	0.0431495	0.0344391	0.0519055	0.263646	0.60686
