 	va	chercher	l'	homme	qui	est	adossé	à	l'	arbre	</S>
a23	0.137021	0.0770275	0.0616172	0.0590946	0.0831026	0.126107	0.172948	0.108784	0.0705947	0.0585318	0.0451717
a87	0.094501	0.0681778	0.0682347	0.0769498	0.0952832	0.0793596	0.157136	0.0993705	0.0830589	0.0874132	0.090515
a10	0.0803477	0.0609949	0.0594192	0.0768323	0.103566	0.100043	0.134788	0.112464	0.0943175	0.0951831	0.0820454
a87	0.0904452	0.0606267	0.0568796	0.0658141	0.0823779	0.0751695	0.147942	0.0969873	0.100665	0.116156	0.106937
a23	0.08984	0.0542693	0.0437845	0.0523661	0.077627	0.0803372	0.153322	0.132004	0.123252	0.112671	0.0805273
a99	0.152586	0.088321	0.0728157	0.0642508	0.078141	0.0688291	0.182441	0.0892755	0.0747405	0.0698498	0.0587499
a11	0.283223	0.183354	0.129113	0.080151	0.0761927	0.056878	0.0831505	0.0405383	0.029228	0.0217704	0.0164007
a90	0.284662	0.182621	0.132296	0.0847598	0.0786648	0.0607037	0.0726353	0.0399399	0.0298911	0.0199256	0.0139006
a76	0.128192	0.133468	0.128543	0.108814	0.096511	0.0850175	0.0741693	0.0676318	0.0641856	0.0590102	0.0544587
a41	0.166008	0.158803	0.153259	0.125506	0.104048	0.0935331	0.0631035	0.056701	0.0381019	0.0240469	0.0168906
a24	0.155035	0.153736	0.144084	0.118828	0.107125	0.105966	0.0779109	0.0648089	0.0373875	0.0211884	0.01393
a41	0.106731	0.123115	0.128394	0.128044	0.12967	0.136557	0.0955608	0.074267	0.0377432	0.0228126	0.0171051
a35	0.0893562	0.11153	0.130041	0.138501	0.134453	0.133999	0.0954315	0.0707776	0.0409481	0.0289431	0.0260194
a30	0.06532	0.0853225	0.110804	0.137238	0.142164	0.142841	0.113343	0.0844337	0.0506448	0.036243	0.0316458
a35	0.0549913	0.078972	0.107583	0.13645	0.140118	0.143798	0.114987	0.0889352	0.053131	0.0410211	0.0400143
a94	0.0560593	0.0701002	0.0862894	0.114555	0.138745	0.156312	0.137565	0.104802	0.0591452	0.0407813	0.0356448
a35	0.0473491	0.0623189	0.0782827	0.108075	0.133016	0.157461	0.149291	0.114772	0.0632452	0.044731	0.0414571
a41	0.0424717	0.0565124	0.0711892	0.100237	0.127333	0.153535	0.160887	0.122743	0.0681458	0.049699	0.0472463
a66	0.0366966	0.0499826	0.062798	0.0878769	0.11351	0.143534	0.156325	0.119491	0.0756408	0.0715024	0.0826433
a38	0.0195626	0.029615	0.0432002	0.0741517	0.110841	0.145902	0.164247	0.12607	0.0960786	0.0891649	0.101166
a26	0.0149162	0.0226988	0.035222	0.0668802	0.10259	0.140211	0.153919	0.108522	0.0925943	0.108971	0.153475
a24	0.0155953	0.0223944	0.0365185	0.0702637	0.0979359	0.116144	0.119865	0.0987604	0.0981961	0.13003	0.194297
a41	0.0141729	0.0149453	0.0187717	0.0271688	0.0410898	0.0584064	0.102197	0.0947658	0.105883	0.177572	0.345028
a35	0.0125402	0.0157429	0.0216562	0.0324858	0.0482841	0.0668582	0.0969796	0.0790806	0.0943519	0.178775	0.353246
a24	0.0120947	0.0154348	0.0203992	0.0275596	0.0396971	0.053964	0.105875	0.0842382	0.0944207	0.185514	0.360803
a98	0.0104154	0.0104265	0.0139705	0.0224935	0.0326999	0.0416208	0.0774441	0.0720119	0.0870781	0.193622	0.438217
a71	0.0100909	0.0101616	0.0119689	0.0161102	0.0232282	0.0312396	0.0557564	0.0641694	0.0987923	0.223068	0.455415
a38	0.0126217	0.0123183	0.0141251	0.0229475	0.0304465	0.0370057	0.0480991	0.0670048	0.095854	0.213082	0.446495
a76	0.00800072	0.00778251	0.0106211	0.0181132	0.0276687	0.0367793	0.0625693	0.0742038	0.105047	0.215121	0.434093
a73	0.00467441	0.00508547	0.00759721	0.0131237	0.0208804	0.0241223	0.0461567	0.0434393	0.0725364	0.216283	0.546101
a84	0.00854452	0.00863412	0.0127148	0.0224821	0.0376088	0.0437989	0.0744517	0.0610122	0.0842686	0.20808	0.438404
a57	0.0121113	0.00961678	0.0119222	0.0197438	0.0353363	0.0433008	0.0730912	0.0759243	0.113904	0.237167	0.367883
a87	0.0167414	0.0120615	0.0125737	0.0159645	0.0274366	0.0380872	0.0657172	0.091719	0.142909	0.255651	0.321139
</S>	0.0137237	0.01007	0.00915577	0.00890279	0.0150024	0.0227799	0.0618538	0.0885282	0.154117	0.274196	0.34167
