 	le	boy	prépare	le	repas	</S>
a85	0.260747	0.245514	0.229683	0.122576	0.0761437	0.0653367
a87	0.230793	0.223968	0.252538	0.145588	0.0874958	0.0596185
a23	0.216503	0.212905	0.21106	0.139872	0.12734	0.0923203
a38	0.332698	0.260558	0.199843	0.092984	0.0641308	0.0497857
a94	0.581001	0.245246	0.085013	0.037552	0.0282641	0.022924
a40	0.57073	0.28828	0.0818306	0.0285642	0.0167964	0.0137982
a35	0.417234	0.324313	0.135465	0.0638847	0.0354987	0.0236041
a24	0.403405	0.310983	0.14056	0.0695929	0.0432175	0.0322416
a43	0.381567	0.304446	0.153668	0.0762579	0.0470951	0.0369664
a75	0.320763	0.297658	0.160879	0.0873552	0.0714078	0.0619363
a35	0.238249	0.220711	0.156401	0.132776	0.128475	0.123387
a30	0.222662	0.209038	0.158091	0.143857	0.138147	0.128205
a73	0.245898	0.253654	0.199176	0.123609	0.0957642	0.0818982
a26	0.0793753	0.141547	0.181934	0.185089	0.205805	0.206248
a76	0.0944131	0.128453	0.174615	0.192186	0.204904	0.205429
a35	0.0854724	0.139307	0.1461	0.162093	0.207712	0.259316
a14	0.0668973	0.124331	0.160359	0.179041	0.235549	0.233823
a35	0.0364747	0.0747351	0.129013	0.177505	0.27717	0.305102
a14	0.0367292	0.0659353	0.122308	0.168585	0.270739	0.335703
a35	0.026145	0.0569185	0.132989	0.176225	0.267156	0.340566
a26	0.0233179	0.0414719	0.11362	0.165707	0.25596	0.399922
a61	0.0331247	0.0473089	0.126455	0.18872	0.243137	0.361254
a21	0.0351474	0.0468614	0.123242	0.201955	0.241115	0.351679
a41	0.0211864	0.035555	0.0931757	0.169935	0.236321	0.443827
a14	0.017459	0.0261752	0.0632542	0.14993	0.254109	0.489073
a30	0.0247639	0.039815	0.100485	0.184335	0.263042	0.387559
a2	0.0431167	0.0706016	0.145932	0.204001	0.226286	0.310062
a57	0.0910541	0.144905	0.207282	0.200437	0.161231	0.19509
a87	0.12256	0.124286	0.142858	0.170253	0.200361	0.239683
</S>	0.0832068	0.0845423	0.144633	0.192748	0.228519	0.266351
