 	il	m'	a	bousculée	</S>
a23	0.534163	0.315021	0.0758481	0.0393579	0.0356098
a53	0.559418	0.248697	0.0878768	0.0411949	0.0628138
a98	0.306393	0.261191	0.213538	0.114648	0.104229
a85	0.426606	0.370325	0.163348	0.0245163	0.0152049
a36	0.30371	0.429934	0.199658	0.0426684	0.0240293
a27	0.407701	0.376399	0.13672	0.0516522	0.027528
a26	0.26939	0.227622	0.201335	0.163289	0.138364
a0	0.169483	0.196868	0.211744	0.193753	0.228152
a47	0.107006	0.119246	0.179948	0.208393	0.385408
a61	0.166994	0.153516	0.213403	0.218053	0.248033
a75	0.0523397	0.0676212	0.154048	0.284366	0.441625
a85	0.0408788	0.0547437	0.112122	0.345438	0.446818
a36	0.0266123	0.0352793	0.0711495	0.347912	0.519047
a2	0.039266	0.0452661	0.0731691	0.288806	0.553492
a57	0.0216656	0.0365632	0.0843833	0.193198	0.66419
a87	0.104618	0.156725	0.131314	0.219205	0.388138
a57	0.196609	0.240566	0.202843	0.18883	0.171151
a87	0.128071	0.234083	0.328821	0.149513	0.159511
a23	0.122346	0.244036	0.27763	0.1798	0.176189
a87	0.0722219	0.163937	0.26556	0.268317	0.229964
</S>	0.0468004	0.14445	0.280988	0.313733	0.214028
