 	cet	enfant	n'	a	plus	une	bonne	santé	</S>
a66	0.348663	0.212406	0.148711	0.0979523	0.0657272	0.047663	0.0372183	0.0223611	0.0192979
a87	0.537793	0.176486	0.0948654	0.056642	0.0367677	0.029671	0.0261018	0.0195155	0.0221577
a23	0.469375	0.231351	0.115339	0.0615475	0.0329416	0.0217315	0.0228223	0.0198119	0.0250806
a79	0.338676	0.152821	0.0975465	0.0635141	0.0429701	0.0440464	0.073457	0.0869436	0.100025
a40	0.322222	0.184153	0.122726	0.0789735	0.0498752	0.0440528	0.0693738	0.0623167	0.0663069
a36	0.238537	0.171691	0.148697	0.109387	0.0682507	0.0670166	0.0892103	0.0599086	0.0473013
a6	0.0917849	0.0787789	0.10403	0.107119	0.0913403	0.117384	0.18394	0.112852	0.112771
a79	0.0666841	0.0819644	0.119837	0.133456	0.11206	0.121595	0.16915	0.0978798	0.097374
a44	0.0821399	0.138043	0.182602	0.17952	0.113725	0.0824289	0.0964427	0.0609175	0.0641817
a69	0.0724094	0.114093	0.174385	0.181944	0.115544	0.0803547	0.0880752	0.0789577	0.0942371
a58	0.0559469	0.0951501	0.138294	0.151285	0.11152	0.0903994	0.104929	0.109991	0.142483
a40	0.040818	0.0692203	0.105433	0.132105	0.116348	0.0939003	0.11505	0.13694	0.190184
a6	0.0286508	0.0466072	0.070134	0.0973981	0.127619	0.128872	0.147658	0.168369	0.184692
a37	0.0104489	0.0194734	0.0361637	0.0617381	0.108618	0.136466	0.162577	0.21937	0.245145
a43	0.0188622	0.030222	0.0418212	0.0617993	0.101201	0.119241	0.143831	0.195309	0.287712
a11	0.0184463	0.0271238	0.0341469	0.0485094	0.0816505	0.109021	0.143845	0.209682	0.327576
a90	0.0279096	0.0360078	0.0448411	0.0622867	0.0986225	0.119448	0.141332	0.186385	0.283167
a4	0.010906	0.0162405	0.022133	0.0365911	0.0750815	0.122195	0.16214	0.258031	0.296681
a13	0.0135549	0.0182654	0.0233755	0.0375119	0.0750369	0.123312	0.176374	0.278899	0.25367
a34	0.00961324	0.0113272	0.0125832	0.0184942	0.0417814	0.0914265	0.162293	0.293629	0.358852
a31	0.00533519	0.00729509	0.00891234	0.0150247	0.0374197	0.0806161	0.127562	0.299131	0.418704
a0	0.0063266	0.00700155	0.00886607	0.0122329	0.0278239	0.0684955	0.114007	0.290022	0.465224
a24	0.0159063	0.0141234	0.0136456	0.0160142	0.0294009	0.0711189	0.139042	0.303292	0.397456
a11	0.0092274	0.00868401	0.00884881	0.0114362	0.0236555	0.0618098	0.128481	0.308331	0.439526
a26	0.0079939	0.00739694	0.0066159	0.00842062	0.0179503	0.0525466	0.118894	0.333528	0.446653
a57	0.0434981	0.0361691	0.029687	0.0364876	0.0632513	0.122636	0.185646	0.25072	0.231906
a87	0.216158	0.150665	0.0818014	0.0633103	0.0650626	0.0806046	0.10018	0.113353	0.128866
</S>	0.245566	0.205845	0.121268	0.0821881	0.0629714	0.0605826	0.0668507	0.0728355	0.0818932
