 	maman	nous	a	laissé	du	manioc	un	morceau	pour	moi	et	deux	pour	toi	</S>
a66	0.191215	0.148402	0.116666	0.0913096	0.0759733	0.0715729	0.0775641	0.0692306	0.049587	0.03628	0.0283598	0.0167167	0.010754	0.00857142	0.00779784
a87	0.347495	0.207322	0.118057	0.0542246	0.0390088	0.0359078	0.0448595	0.0448662	0.026999	0.0185386	0.0132782	0.00962688	0.0123457	0.0133549	0.0141158
a23	0.325925	0.164871	0.106087	0.0666828	0.0588942	0.0581126	0.060494	0.0513932	0.0315698	0.0188881	0.0115139	0.00792442	0.00926604	0.0124712	0.0159073
a99	0.2407	0.132134	0.0889309	0.0505623	0.0398175	0.0456703	0.0526587	0.0580389	0.0485585	0.0448259	0.034367	0.0311241	0.0356132	0.0435086	0.0534904
a40	0.156766	0.0928809	0.0790809	0.0596	0.0603822	0.065761	0.072824	0.0517215	0.0400105	0.0386085	0.0330567	0.0373311	0.0495919	0.068336	0.0940491
a6	0.170613	0.135818	0.112756	0.0958651	0.0986327	0.0932647	0.0775277	0.0614477	0.0379092	0.02682	0.0189725	0.0177846	0.016587	0.0174383	0.0185634
a0	0.103628	0.115932	0.116391	0.119249	0.11981	0.097777	0.0703553	0.0531321	0.030057	0.0245541	0.0204232	0.0243179	0.028558	0.0377913	0.0380244
a43	0.0681322	0.0989505	0.129438	0.15338	0.150571	0.11835	0.0749668	0.0477756	0.0232086	0.0178971	0.0151437	0.0185974	0.0206376	0.0290371	0.0339155
a88	0.0517591	0.0797127	0.114029	0.147186	0.153805	0.137315	0.0838236	0.0656001	0.0345976	0.0257093	0.0212179	0.0206118	0.0189127	0.0215158	0.0242047
a71	0.0517848	0.0713439	0.10012	0.127904	0.141667	0.138642	0.0875991	0.0773137	0.0456628	0.0334114	0.0283194	0.0250587	0.021783	0.0233511	0.0260398
a0	0.0517376	0.0646573	0.0926752	0.122805	0.143243	0.143495	0.0937102	0.0795283	0.0458655	0.0318312	0.02682	0.0238615	0.0221529	0.0262737	0.0313434
a24	0.0477703	0.0518025	0.0753506	0.106569	0.134312	0.152999	0.112807	0.0988758	0.0546603	0.0343138	0.0283653	0.0234777	0.0214386	0.02583	0.0314281
a9	0.0405872	0.0360126	0.0524489	0.0810016	0.135985	0.176743	0.151499	0.109822	0.0585956	0.0337913	0.0258263	0.0215862	0.0206327	0.0256087	0.0298605
a38	0.0459873	0.0366524	0.0487728	0.0699359	0.120125	0.160406	0.148689	0.12213	0.0727889	0.0416711	0.0292369	0.0235712	0.0224106	0.0271534	0.0304698
a90	0.0344751	0.0248786	0.0331345	0.0505007	0.10202	0.147813	0.155943	0.132094	0.0854628	0.0521866	0.0382999	0.0319296	0.0304665	0.0372063	0.043589
a15	0.0196236	0.0212075	0.0353493	0.0618182	0.103123	0.125854	0.12559	0.12184	0.0936093	0.0709288	0.0596098	0.044064	0.0330285	0.037573	0.0467807
a79	0.0120025	0.0107816	0.0172177	0.0308529	0.0607225	0.101951	0.13631	0.128978	0.114884	0.0847101	0.0633332	0.0461936	0.0428479	0.0636948	0.0855197
a56	0.0116981	0.0108077	0.0147093	0.0218998	0.0386339	0.0673182	0.0947864	0.100262	0.114855	0.103494	0.0866664	0.0677863	0.0619157	0.0884742	0.116693
a75	0.0135848	0.0128425	0.0185553	0.0269107	0.0388732	0.0647847	0.0914183	0.127702	0.146972	0.132351	0.109239	0.0709377	0.0471869	0.0470115	0.0516305
a92	0.00682001	0.00633866	0.00944454	0.0149293	0.0251501	0.0473757	0.0710264	0.0993771	0.137654	0.140173	0.124881	0.095044	0.0692999	0.0717804	0.0807059
a15	0.00581099	0.00526103	0.00776373	0.0120987	0.0201412	0.039264	0.0605716	0.090828	0.135938	0.146889	0.132861	0.102797	0.0762124	0.0778737	0.0856903
a7	0.00270347	0.00258173	0.00392239	0.00669454	0.0133216	0.029984	0.0526151	0.0688668	0.116859	0.146827	0.139703	0.111508	0.0847655	0.100661	0.118986
