 	il	a	appelé	ses	chiens	</S>
a23	0.298027	0.251045	0.186374	0.130205	0.0728135	0.0615358
a87	0.362624	0.2371	0.145424	0.0902013	0.0678673	0.0967836
a10	0.273484	0.205523	0.188822	0.130107	0.0915869	0.110477
a87	0.265359	0.193863	0.158333	0.122536	0.119469	0.14044
a30	0.323191	0.221702	0.150229	0.102427	0.089404	0.113048
a53	0.380885	0.208768	0.125764	0.0829768	0.0845071	0.117098
a20	0.391176	0.212	0.11707	0.0954534	0.0841527	0.100148
a30	0.456621	0.271271	0.147293	0.088933	0.0207336	0.0151491
a35	0.360653	0.31504	0.196846	0.0922461	0.0204852	0.0147292
a94	0.31168	0.288952	0.225013	0.121549	0.0314767	0.0213293
a98	0.285226	0.272719	0.233943	0.131543	0.0441248	0.0324435
a71	0.242631	0.276678	0.251461	0.144787	0.0471224	0.0373208
a99	0.187327	0.218388	0.247375	0.195003	0.0754142	0.0764936
a75	0.0994519	0.15475	0.253217	0.27562	0.106958	0.110003
a41	0.159795	0.189744	0.210666	0.182553	0.119144	0.138098
a14	0.143563	0.169251	0.182133	0.179251	0.153353	0.172448
a30	0.118363	0.142178	0.171551	0.185348	0.173357	0.209202
a57	0.0725345	0.0885761	0.134675	0.195464	0.204742	0.304009
a87	0.0308919	0.0326125	0.0651837	0.160593	0.279505	0.431214
a40	0.019744	0.0260829	0.0528684	0.133484	0.287386	0.480434
a30	0.0531105	0.0487807	0.0796456	0.164327	0.256365	0.397771
a73	0.0868365	0.107578	0.13994	0.180563	0.220116	0.264967
a35	0.0202628	0.0243194	0.0497513	0.130757	0.291951	0.482958
a70	0.0113743	0.0108959	0.0206294	0.0768457	0.29228	0.587975
a66	0.0151255	0.0142867	0.0218982	0.0749865	0.300315	0.573389
a38	0.00680463	0.00628114	0.0101666	0.0427377	0.243426	0.690584
a14	0.00837956	0.006078	0.0076199	0.0283414	0.22238	0.727201
a35	0.00456504	0.00333584	0.00492825	0.0231973	0.220609	0.743364
a66	0.00432442	0.00289969	0.00362569	0.015594	0.198684	0.774872
a75	0.00645282	0.00365617	0.00398239	0.0142316	0.176226	0.795451
a14	0.00744759	0.00483926	0.00584209	0.0248529	0.20243	0.754588
a73	0.00610796	0.00385835	0.0049928	0.0236223	0.248936	0.712483
a69	0.00552399	0.00329054	0.00454166	0.0215292	0.232716	0.732398
a58	0.00741531	0.00432389	0.0047685	0.0189038	0.182208	0.782381
a84	0.0187567	0.0116141	0.0106571	0.0283365	0.187978	0.742657
a57	0.0485889	0.0380901	0.0418575	0.0746235	0.220351	0.576489
a87	0.0486792	0.0415906	0.0427645	0.0791494	0.26977	0.518047
a23	0.0617773	0.0430619	0.0381844	0.0833481	0.27906	0.494569
a87	0.15638	0.107902	0.0720171	0.0889236	0.220089	0.354688
</S>	0.0637639	0.0508907	0.0489522	0.084643	0.271285	0.480465
