 	a	côté	du	village	il	y	a	une	grande	bananeraie	</S>
a85	0.318572	0.146539	0.121004	0.0863794	0.0668625	0.0655061	0.0506436	0.0400794	0.0274847	0.0331038	0.0438255
a87	0.284308	0.0716796	0.0535249	0.0624098	0.0857792	0.110204	0.0741018	0.0571703	0.0391741	0.0437701	0.117879
a23	0.115821	0.0692146	0.0577993	0.0689167	0.0905062	0.105974	0.0862837	0.0788172	0.0709239	0.0681391	0.187604
a99	0.164184	0.0844361	0.049647	0.0398833	0.0394355	0.0382236	0.0293955	0.0369762	0.0671339	0.106181	0.344504
a54	0.288466	0.185092	0.118614	0.0777633	0.0588595	0.0414104	0.0227984	0.0183064	0.0201679	0.0465611	0.121961
a6	0.438216	0.183582	0.105759	0.0639561	0.0451147	0.0399164	0.0297881	0.0270738	0.0182595	0.0189321	0.0294024
a37	0.248503	0.207617	0.14608	0.0967764	0.0765855	0.0713711	0.0461419	0.0330438	0.0196862	0.0208976	0.0332977
a75	0.213469	0.210929	0.151611	0.101151	0.0780758	0.0715749	0.0430966	0.029661	0.0220705	0.0279278	0.0504336
a5	0.138486	0.167972	0.150023	0.105645	0.0805837	0.0767617	0.0565607	0.0431269	0.0385347	0.0573677	0.0849382
a37	0.189348	0.212289	0.175951	0.11243	0.0791922	0.0704326	0.0447709	0.0280152	0.0206187	0.027412	0.0395416
a54	0.110407	0.163843	0.16417	0.131547	0.100566	0.0933461	0.0643086	0.0431989	0.0322672	0.0408312	0.0555147
a73	0.0517288	0.0664053	0.0859246	0.0844601	0.0768483	0.07815	0.0713162	0.0654557	0.0794088	0.141845	0.198457
a7	0.0441356	0.0499521	0.0727894	0.0856647	0.0828567	0.0877383	0.0841464	0.0699746	0.0788969	0.138707	0.205139
a84	0.0479067	0.0533875	0.0769748	0.101391	0.113129	0.121928	0.117042	0.0837859	0.0658413	0.0933318	0.125283
a53	0.0274153	0.0346041	0.0564834	0.101181	0.135823	0.12895	0.1184	0.0757959	0.0555158	0.0952662	0.170566
a69	0.0335072	0.0406309	0.0505467	0.0551308	0.0617628	0.0706139	0.0863786	0.099864	0.132937	0.174042	0.194586
a18	0.0252195	0.038807	0.0544428	0.0551826	0.0600644	0.0715156	0.0911786	0.101787	0.127832	0.168803	0.205167
a5	0.0339713	0.0399836	0.0501739	0.0551797	0.0593809	0.0654702	0.0770837	0.0879195	0.0950619	0.159023	0.276753
a18	0.0318971	0.0326669	0.040646	0.0368121	0.0356189	0.0359911	0.0450101	0.0602465	0.121013	0.259688	0.30041
a24	0.0401923	0.0440945	0.0502875	0.0486394	0.0465848	0.0484204	0.0537612	0.0714968	0.128058	0.201571	0.266894
a61	0.0340344	0.0356797	0.0433241	0.0495054	0.0515768	0.0543507	0.0544907	0.0634068	0.117907	0.185642	0.310082
a98	0.0269557	0.0279235	0.0367492	0.0457417	0.0508729	0.0539964	0.0624048	0.0804034	0.152122	0.214855	0.247975
a79	0.0100826	0.012892	0.0196311	0.0250833	0.0263995	0.0275563	0.0304495	0.0437518	0.13861	0.286477	0.379067
a94	0.0114389	0.0128472	0.0205088	0.0240759	0.0261834	0.0267902	0.029508	0.0401964	0.130451	0.285595	0.392405
a53	0.015315	0.0163607	0.0207152	0.0241596	0.02843	0.0303378	0.0307174	0.0360098	0.104857	0.26646	0.426638
a90	0.0178646	0.0177052	0.0248662	0.031426	0.0396092	0.0424432	0.0456188	0.05514	0.123184	0.216542	0.385601
a70	0.0141806	0.0135321	0.0186683	0.0214329	0.0242535	0.0251901	0.0273839	0.0365236	0.104603	0.251887	0.462345
a75	0.0112882	0.00974351	0.011565	0.015745	0.0220874	0.0254289	0.025629	0.0282926	0.0786889	0.226086	0.545445
a41	0.00419459	0.00384214	0.00582073	0.00773957	0.00953268	0.0105693	0.0122682	0.0187016	0.0774639	0.278155	0.571713
a85	0.00800213	0.00728331	0.0100169	0.0113793	0.0129505	0.0137783	0.0150223	0.0198632	0.081506	0.263551	0.556647
a41	0.0110648	0.00955997	0.0141795	0.0173109	0.0192705	0.0199076	0.0207108	0.0268863	0.115489	0.321959	0.423661
a7	0.00921704	0.00849382	0.0119576	0.0142169	0.0163401	0.0173731	0.018054	0.0255571	0.117236	0.322145	0.439409
a26	0.00147426	0.00208252	0.00322058	0.00424039	0.00686258	0.00952905	0.0113723	0.0165663	0.0694236	0.227068	0.64816
a90	0.00208593	0.00116985	0.0014825	0.00211478	0.00394505	0.00616562	0.00903021	0.0175147	0.0604618	0.18038	0.715649
a69	0.00193141	0.00134535	0.00184473	0.00248963	0.00379002	0.00509987	0.00600434	0.0114657	0.0745144	0.246103	0.645412
a58	0.00262978	0.00201536	0.00278263	0.00333137	0.00477909	0.00624131	0.00624798	0.00967221	0.0563213	0.219688	0.686291
a82	0.00148673	0.000928834	0.00128866	0.00160135	0.00279295	0.00430137	0.00655178	0.0136843	0.0768102	0.236501	0.654053
a87	0.0113542	0.00614485	0.00530042	0.00612515	0.0104055	0.0142404	0.0215547	0.037684	0.0942546	0.212428	0.580509
</S>	0.0713056	0.0422721	0.0344439	0.0331394	0.0418634	0.0464868	0.052371	0.0627552	0.117114	0.170038	0.328212
