 	j'	ai	reçu	la	lettre	que	tu	m'	as	envoyée	</S>
a66	0.163573	0.127912	0.124451	0.132692	0.090472	0.0944303	0.0826929	0.0698897	0.0616182	0.0350283	0.0172405
a87	0.33164	0.192253	0.073834	0.0428135	0.0315389	0.0379387	0.0412471	0.0678078	0.0816921	0.0682463	0.0309882
a10	0.182009	0.140139	0.095512	0.0809508	0.0889753	0.0644052	0.0511746	0.0580434	0.0832783	0.095614	0.0598985
a87	0.237419	0.204456	0.129631	0.0909352	0.068996	0.0487558	0.0376481	0.0352587	0.0508135	0.0638736	0.0322131
a97	0.25384	0.204364	0.120965	0.0823856	0.0575271	0.0440738	0.0337864	0.0344628	0.0562587	0.0732879	0.0390493
a99	0.251972	0.178318	0.117464	0.0907588	0.0698684	0.0542654	0.040143	0.0350569	0.0489003	0.0747039	0.0385497
a83	0.30824	0.22665	0.123309	0.0761437	0.048923	0.0356787	0.0259218	0.0264357	0.0429146	0.0564042	0.0293788
a62	0.276854	0.227025	0.139334	0.0903154	0.0653181	0.0423495	0.0335216	0.0338897	0.0480351	0.0265136	0.0168443
a31	0.214534	0.23158	0.175004	0.116011	0.10421	0.0523462	0.0305707	0.0226906	0.0280997	0.0159672	0.0089872
a88	0.116959	0.164318	0.18182	0.154298	0.163001	0.0845494	0.0469915	0.0294686	0.0320276	0.0173248	0.0092419
a62	0.0672716	0.102269	0.150312	0.153163	0.199021	0.120275	0.073398	0.0450011	0.0426017	0.0276288	0.0190587
a83	0.0577403	0.0818333	0.134354	0.15735	0.218217	0.138588	0.0850617	0.0488035	0.0411728	0.0230111	0.0138682
a96	0.0434925	0.0631262	0.112776	0.145241	0.220056	0.157216	0.102941	0.0598509	0.047486	0.0283726	0.0194427
a70	0.0377364	0.0531535	0.10413	0.146081	0.209419	0.167458	0.120308	0.0683862	0.0461841	0.0268051	0.0203386
a93	0.0343401	0.0454626	0.0958077	0.144537	0.179418	0.162375	0.134947	0.089155	0.0572359	0.0330671	0.0236541
a34	0.0330626	0.0451008	0.098715	0.141193	0.171128	0.161106	0.136277	0.0944718	0.060875	0.0345474	0.0235231
a47	0.021425	0.0290095	0.0730622	0.125266	0.14075	0.160196	0.149349	0.121614	0.0808014	0.0539994	0.0445274
a31	0.0135656	0.0152096	0.0342531	0.0767019	0.0883747	0.153469	0.169805	0.151953	0.102085	0.0776121	0.11697
a0	0.0104961	0.0118468	0.0273342	0.0604171	0.0714838	0.122361	0.14773	0.16623	0.133601	0.114926	0.133573
a11	0.00636104	0.00592758	0.0102751	0.0226414	0.0236822	0.056565	0.0932924	0.148894	0.160734	0.178049	0.293578
a70	0.00370621	0.00314567	0.004933	0.0109209	0.0112901	0.027549	0.0558673	0.11683	0.148628	0.215089	0.402041
a34	0.00237131	0.00196069	0.00330208	0.00715193	0.00787074	0.0229475	0.0525203	0.112551	0.136718	0.197974	0.454632
a56	0.00159421	0.00131017	0.00225942	0.00513702	0.00607242	0.0180922	0.0426199	0.0960777	0.123309	0.198529	0.504998
a96	0.000867426	0.00077086	0.00145993	0.00360836	0.00455059	0.013899	0.0361587	0.082363	0.10261	0.178951	0.574761
a75	0.000374006	0.000281736	0.000475214	0.00118972	0.00148391	0.00444785	0.0127703	0.0402203	0.0597735	0.147155	0.731828
a6	0.000129826	0.000113378	0.00028174	0.000976022	0.00176629	0.00559505	0.0157452	0.0461345	0.0656369	0.182128	0.681493
a36	0.000109475	8.73493e-05	0.000183147	0.000567345	0.00103086	0.00343192	0.0104947	0.0342327	0.0503771	0.157635	0.74185
a26	0.00057362	0.000345403	0.000361535	0.000713777	0.00099439	0.0027041	0.00996155	0.0409168	0.0629426	0.212132	0.668355
a82	0.0231147	0.01382	0.0120672	0.0180861	0.0241449	0.0311526	0.044911	0.0771755	0.098714	0.210287	0.446527
a3	0.082791	0.0443555	0.0234756	0.0242191	0.0237249	0.0292911	0.0320323	0.0530681	0.0889066	0.236049	0.362087
a97	0.113589	0.0619307	0.0302828	0.0257254	0.0203631	0.0276445	0.0327668	0.0649668	0.110342	0.224672	0.287717
a3	0.0966446	0.0527461	0.0280721	0.0268424	0.0224537	0.0325981	0.0400221	0.0772129	0.12077	0.216021	0.286617
a97	0.0836934	0.047452	0.025648	0.0281357	0.0263059	0.0353926	0.0378785	0.0645529	0.105192	0.215698	0.330052
a99	0.0796431	0.0479869	0.033997	0.0400852	0.0393964	0.0452128	0.0446696	0.0644621	0.0986433	0.214244	0.291659
a3	0.0191491	0.0139213	0.0122895	0.0153745	0.0174499	0.0270758	0.0298575	0.0550091	0.0941839	0.213193	0.502496
</S>	0.0365641	0.0279764	0.0240943	0.023351	0.023182	0.0316236	0.0335551	0.056747	0.0957266	0.227127	0.420053
