 	la	taille	de	la	guêpe	est	petite	</S>
a66	0.357977	0.200784	0.0956898	0.0845881	0.104263	0.0714173	0.0490486	0.0362323
a87	0.126708	0.0877658	0.106897	0.180783	0.228363	0.139008	0.0846984	0.0457771
a23	0.378882	0.215194	0.0912792	0.0725503	0.0544689	0.0554179	0.0719814	0.0602261
a50	0.441369	0.223864	0.135447	0.0723972	0.0374642	0.0257539	0.0308037	0.0329013
a31	0.415503	0.17403	0.0801146	0.0685338	0.0735482	0.051151	0.0583628	0.0787566
a62	0.378141	0.23232	0.111427	0.0886492	0.0881028	0.0453149	0.0309902	0.0250557
a21	0.232609	0.230365	0.180556	0.129413	0.116617	0.0558462	0.0312125	0.0233803
a12	0.276022	0.242671	0.192729	0.122396	0.103023	0.0320039	0.0163909	0.0147635
a31	0.185299	0.199992	0.215698	0.163719	0.144493	0.045992	0.0230616	0.0217454
a88	0.129746	0.146181	0.170134	0.170427	0.165253	0.0942363	0.0642402	0.0597824
a18	0.071904	0.0738599	0.111891	0.139975	0.144634	0.143662	0.148447	0.165626
a34	0.0419472	0.0355887	0.0449329	0.0606978	0.0848528	0.129797	0.217007	0.385177
a37	0.0657246	0.0593223	0.0660567	0.0895137	0.108952	0.155557	0.202791	0.252082
a61	0.0197284	0.016462	0.0187769	0.0321808	0.0575079	0.148903	0.273263	0.433178
a31	0.015751	0.0140894	0.0174867	0.0315488	0.0598955	0.166638	0.290621	0.40397
a88	0.00980568	0.00863284	0.0105058	0.0192814	0.043716	0.147459	0.300932	0.459667
a31	0.00201349	0.00219322	0.00277372	0.00690756	0.0157203	0.0694785	0.226039	0.674874
a88	0.00219644	0.00239946	0.0038526	0.010642	0.0316129	0.115568	0.293067	0.540661
a0	0.00236874	0.00229826	0.00241446	0.00540387	0.0133416	0.0607544	0.214814	0.698605
a31	0.0030397	0.00307166	0.00321391	0.00740481	0.0162497	0.064251	0.209147	0.693622
a0	0.0038044	0.00375627	0.00408718	0.00911397	0.0191567	0.0718278	0.219367	0.668886
a9	0.0152068	0.0138009	0.0127678	0.0206891	0.0343507	0.08735	0.209265	0.60657
a10	0.131235	0.0976985	0.0641387	0.0669028	0.0693174	0.0953248	0.152496	0.322886
a87	0.182179	0.119264	0.0599212	0.0463917	0.052452	0.0783048	0.162446	0.299041
a23	0.178987	0.115485	0.0702795	0.0567836	0.0708141	0.0963287	0.170492	0.240831
a99	0.0829004	0.0785275	0.0495501	0.0413124	0.049732	0.0898748	0.199978	0.408125
a97	0.0388219	0.0300687	0.0235395	0.0239593	0.0376987	0.088334	0.220456	0.537121
</S>	0.0267067	0.0221526	0.0190088	0.0225335	0.0364098	0.0818712	0.21471	0.576608
