 	l'	année	prochaine	je	rejoindrai	mon	oncle	en	europe	</S>
a87	0.138117	0.165229	0.246346	0.191319	0.0939093	0.0699488	0.0405573	0.0234919	0.0190514	0.0120303
a23	0.161773	0.114175	0.139585	0.102046	0.0564579	0.0715134	0.0560444	0.0686067	0.130294	0.0995056
a30	0.175251	0.18258	0.135596	0.093522	0.0605134	0.0656627	0.0498467	0.0513673	0.076158	0.109503
a13	0.140537	0.144211	0.0998398	0.0800973	0.0706943	0.0787793	0.0683	0.0797699	0.112401	0.12537
a11	0.34243	0.212196	0.103397	0.0842263	0.0456021	0.0320674	0.0242881	0.0357624	0.0504351	0.0695963
a13	0.425521	0.234611	0.071697	0.0574485	0.0303913	0.0275533	0.0234796	0.0306018	0.0363265	0.0623708
a90	0.384197	0.213623	0.0673498	0.0532325	0.0290215	0.0310458	0.028604	0.0421031	0.0535285	0.0972947
a15	0.297978	0.227985	0.0898878	0.0787478	0.0504372	0.0462306	0.0398643	0.0462618	0.047651	0.0749561
a98	0.215885	0.243051	0.117736	0.107832	0.0766464	0.0508992	0.0371061	0.0405223	0.0448971	0.0654248
a21	0.214592	0.255429	0.15298	0.126079	0.0818424	0.0486858	0.0296683	0.0253658	0.0238018	0.0415565
a85	0.267132	0.259836	0.142654	0.123482	0.0727283	0.0460654	0.0255901	0.0200144	0.0183784	0.0241191
a47	0.146809	0.250131	0.203829	0.160314	0.0869023	0.0481141	0.0272573	0.0225491	0.0213628	0.0327316
a36	0.118475	0.258247	0.206454	0.168061	0.0967013	0.0502206	0.0280521	0.0212751	0.021055	0.0314581
a2	0.0786082	0.18203	0.255627	0.218245	0.10305	0.0519246	0.029862	0.0221287	0.0233257	0.0351988
a57	0.0124284	0.0321105	0.0866475	0.145737	0.151713	0.130534	0.104935	0.105762	0.0998845	0.130249
a83	0.019072	0.0389195	0.0850577	0.120899	0.158493	0.133559	0.0986623	0.0909591	0.112721	0.141657
a70	0.0303083	0.0470485	0.069658	0.0890828	0.151752	0.163289	0.124699	0.0969552	0.0910271	0.13618
a75	0.0428118	0.0815714	0.173501	0.204179	0.15821	0.103018	0.0657882	0.0484531	0.0465606	0.0759078
a5	0.0363572	0.0555522	0.119041	0.183284	0.159746	0.0998583	0.0747563	0.0715097	0.0738798	0.126017
a18	0.0427311	0.0649261	0.113866	0.181488	0.178651	0.112446	0.0834963	0.0669102	0.0603624	0.0951237
a75	0.0170618	0.0333042	0.0776688	0.159835	0.229938	0.163881	0.0997492	0.0645866	0.0607578	0.0932181
a98	0.0275268	0.0409278	0.0563657	0.124832	0.191511	0.121492	0.0987165	0.0871673	0.0919571	0.159503
a79	0.0266652	0.0347238	0.0662401	0.142234	0.203272	0.126618	0.0938269	0.0826771	0.0843616	0.139381
a44	0.0216657	0.0332747	0.0679432	0.139015	0.235725	0.151065	0.101245	0.0710632	0.0672016	0.111802
a98	0.0220238	0.0292724	0.0418885	0.0967526	0.229738	0.155486	0.108045	0.0860208	0.0809784	0.149794
a73	0.0326901	0.0369085	0.0634125	0.109643	0.172763	0.122524	0.0941081	0.0886144	0.0984192	0.180918
a56	0.0303622	0.0359128	0.0726471	0.120555	0.191204	0.134286	0.094347	0.0784323	0.0799787	0.162276
a96	0.0270357	0.0302621	0.0472485	0.111228	0.220998	0.152096	0.102539	0.0832644	0.0795436	0.145784
a90	0.012406	0.0181554	0.0287566	0.0644649	0.170807	0.148643	0.119647	0.104198	0.0979161	0.235006
a56	0.0205779	0.0222366	0.0335203	0.0618945	0.169574	0.147157	0.110121	0.10223	0.113476	0.219212
a70	0.0169021	0.0192349	0.0278702	0.0619271	0.158795	0.147524	0.117854	0.109676	0.117858	0.222358
a34	0.00508907	0.00734102	0.011828	0.0231245	0.0650612	0.0827158	0.092742	0.132124	0.17481	0.405164
a25	0.00979616	0.0112346	0.0181404	0.0429583	0.116839	0.122984	0.118395	0.127323	0.150541	0.281789
a56	0.00348406	0.00390818	0.00766337	0.016389	0.0546429	0.0721327	0.0809877	0.130621	0.189508	0.440663
a70	0.00355926	0.00454387	0.00826457	0.0183912	0.056085	0.0732287	0.0870037	0.129214	0.180029	0.43968
a93	0.0011867	0.0018753	0.00398951	0.00837982	0.0266527	0.0420981	0.0606606	0.124696	0.208307	0.522155
a13	0.000989625	0.00153769	0.00358639	0.00830107	0.0272639	0.0401699	0.0544904	0.105774	0.192478	0.565409
a99	0.000943741	0.00114409	0.00237518	0.00417997	0.0172374	0.0394814	0.0644051	0.114412	0.227617	0.528205
a93	0.00099389	0.00101022	0.00187304	0.00249249	0.00911991	0.0240719	0.0434703	0.0944481	0.254796	0.567724
a13	7.51502e-05	0.00013941	0.000441959	0.000695225	0.00293655	0.00756488	0.0142426	0.0482278	0.169493	0.756184
a9	0.000515646	0.00066602	0.00150161	0.00265106	0.0104077	0.0231851	0.0384279	0.0909015	0.223907	0.607836
a87	0.00327711	0.00265238	0.00379545	0.00418037	0.0124793	0.024008	0.0464198	0.126985	0.321147	0.455056
a23	0.0374329	0.0265742	0.0361272	0.0274912	0.0327792	0.0440316	0.0671591	0.1292	0.279909	0.319295
a97	0.0144591	0.0088684	0.0216076	0.0208017	0.0217075	0.0323782	0.0471742	0.106791	0.254811	0.471402
</S>	0.0107372	0.00885772	0.0271898	0.0214403	0.0183286	0.0243097	0.0333647	0.0744194	0.213193	0.568159
