 	les	enfants	de	l'	époque	actuelle	ne	respectent	plus	les	parents	</S>
a23	0.100596	0.053378	0.0583766	0.0705562	0.103463	0.149272	0.131308	0.0781736	0.0708469	0.0543918	0.0693769	0.0602613
a10	0.144118	0.119684	0.131134	0.126188	0.0977489	0.0823712	0.056685	0.0462002	0.0411718	0.0462222	0.0556356	0.0528412
a87	0.149326	0.133654	0.137025	0.124071	0.0896312	0.0743806	0.0575928	0.0467331	0.0454183	0.0464096	0.0480062	0.0477518
a23	0.213062	0.149561	0.142749	0.117816	0.0680663	0.0498782	0.0380578	0.0379475	0.0390179	0.0442958	0.0465382	0.0530109
a87	0.286674	0.195162	0.177448	0.129399	0.0492732	0.0327779	0.025436	0.0198648	0.0202078	0.0207523	0.0205217	0.0224823
a97	0.242048	0.172538	0.159963	0.123234	0.0660373	0.0491868	0.0395955	0.0307507	0.0305704	0.030704	0.0269962	0.028376
a99	0.227816	0.156665	0.137446	0.108809	0.0601144	0.0471437	0.0394392	0.0349221	0.0385624	0.0461271	0.0504129	0.0525422
a13	0.263878	0.185471	0.136106	0.103269	0.0611818	0.0544682	0.0458034	0.0334471	0.0319786	0.0303005	0.0273929	0.0267037
a38	0.354333	0.218092	0.14493	0.105468	0.0505928	0.0364573	0.0316989	0.0164237	0.0146831	0.0111245	0.00812213	0.00807577
a30	0.334201	0.206077	0.147181	0.11103	0.0619333	0.044959	0.0357572	0.0210214	0.0148819	0.00943387	0.00671448	0.00681023
a35	0.137821	0.134388	0.151152	0.141929	0.117044	0.0995946	0.0834054	0.056865	0.0354486	0.0196562	0.0116577	0.0110375
a30	0.115642	0.110758	0.142584	0.142665	0.131982	0.116764	0.0958947	0.0657886	0.0386554	0.0189309	0.0104613	0.00987335
a57	0.0960076	0.103037	0.134878	0.138526	0.126537	0.126532	0.113928	0.0754111	0.0443593	0.0210376	0.0104222	0.00932314
a54	0.0664714	0.0712017	0.0927155	0.102386	0.1459	0.152217	0.125581	0.0950092	0.0574871	0.0376328	0.0239927	0.0294056
a30	0.058359	0.0663675	0.0925792	0.101068	0.123299	0.141056	0.140855	0.113934	0.0848786	0.0429986	0.0175403	0.0170658
a14	0.114064	0.124014	0.149216	0.141723	0.111693	0.109277	0.105536	0.0681059	0.044612	0.0191298	0.00721201	0.00541768
a26	0.076816	0.106335	0.159835	0.150116	0.121573	0.12759	0.11202	0.068061	0.0431382	0.0183472	0.00833414	0.007835
a27	0.0622087	0.0769829	0.118924	0.138104	0.144554	0.154619	0.128683	0.0813452	0.051096	0.0230336	0.0106172	0.00983324
a26	0.0617578	0.070051	0.0924067	0.0996848	0.125533	0.135884	0.120008	0.113372	0.0785205	0.049477	0.0254894	0.0278159
a24	0.0612304	0.0632553	0.0841194	0.0937089	0.123437	0.138097	0.132872	0.109338	0.0857091	0.054267	0.0270367	0.0269281
a25	0.0650764	0.0590314	0.0798118	0.0958293	0.118994	0.115137	0.117762	0.0888984	0.0920218	0.0751609	0.0499554	0.042322
a87	0.0454651	0.0394464	0.0451354	0.0536443	0.0964501	0.104396	0.112229	0.106296	0.106655	0.106706	0.0819226	0.101655
a40	0.0588679	0.0485457	0.046365	0.0460085	0.0695978	0.0790573	0.0901672	0.0851751	0.105136	0.138643	0.123474	0.108963
a30	0.0710391	0.0663737	0.0913954	0.0940699	0.119318	0.12843	0.114471	0.0563008	0.0508912	0.0460871	0.0529501	0.108674
a35	0.0373503	0.0392588	0.061082	0.0785577	0.120749	0.133417	0.140128	0.0913659	0.087217	0.071992	0.0675053	0.071377
a75	0.0222232	0.0237658	0.0348995	0.0456383	0.106684	0.136892	0.133628	0.107593	0.0931256	0.0865553	0.0910832	0.117912
a41	0.0202471	0.023842	0.0430092	0.0544693	0.130576	0.156151	0.130469	0.101631	0.0874519	0.0767896	0.0736094	0.101755
a94	0.0217063	0.0230376	0.0333091	0.0395806	0.0972151	0.124051	0.112174	0.101151	0.0928176	0.0955297	0.108014	0.151414
a58	0.0130415	0.0146027	0.0202124	0.0211479	0.0506372	0.0730577	0.0645185	0.0862021	0.0845937	0.119625	0.176807	0.275554
a82	0.0134386	0.0136467	0.017948	0.0180995	0.0480208	0.0799329	0.0699264	0.106342	0.0960969	0.129499	0.164721	0.242329
