 	le	verre	s'	est	brisé	en	menus	morceaux	</S>
a87	0.183474	0.0843319	0.0877614	0.0968795	0.0878142	0.0945432	0.0844913	0.119475	0.16123
a10	0.0929059	0.0533044	0.0527694	0.0625916	0.0757738	0.122248	0.142672	0.195626	0.202109
a75	0.175106	0.0789962	0.0796301	0.0764542	0.0658929	0.0766155	0.0894948	0.155959	0.201852
a25	0.339793	0.163295	0.0894548	0.0675268	0.0575852	0.0639288	0.058024	0.0823959	0.0779969
a69	0.391964	0.162759	0.119634	0.0818386	0.046015	0.0442459	0.0333639	0.0512425	0.0689372
a15	0.316964	0.1745	0.121402	0.0805945	0.0480738	0.0470236	0.0447163	0.0779135	0.0888117
a41	0.235904	0.192697	0.15118	0.108234	0.0665964	0.0562739	0.0499799	0.0676526	0.0714828
a5	0.172766	0.13705	0.139324	0.132084	0.0935872	0.0767308	0.0597447	0.0845762	0.104137
a27	0.187338	0.143272	0.125817	0.124207	0.0948166	0.0762404	0.0556306	0.0779619	0.114717
a11	0.100207	0.110187	0.104355	0.122032	0.11036	0.0916531	0.0856244	0.125786	0.149796
a21	0.0631822	0.0814663	0.0743868	0.091923	0.0982038	0.111819	0.118495	0.172797	0.187727
a0	0.105069	0.144959	0.103623	0.104806	0.101038	0.105521	0.0909642	0.112486	0.131532
a24	0.0503199	0.0637093	0.0570699	0.0678722	0.0723846	0.0855492	0.094481	0.212081	0.296533
a9	0.0198553	0.0261935	0.0240909	0.0342561	0.0458291	0.0686133	0.0972772	0.25186	0.432024
a10	0.0049057	0.00778895	0.00782346	0.0108644	0.0141768	0.029871	0.0668231	0.250668	0.607078
</S>	0.00484352	0.00857294	0.00856906	0.0120984	0.0172914	0.0392622	0.0756738	0.267698	0.565991
