 	ma	pirogue	est	large	regarde-la	</S>
a87	0.36085	0.204094	0.211026	0.142681	0.04699	0.0343587
a23	0.630865	0.145048	0.0954682	0.0588353	0.0272378	0.0425454
a99	0.404667	0.253837	0.138868	0.0728732	0.0470971	0.082657
a11	0.402058	0.193149	0.12103	0.0977819	0.0936618	0.09232
a98	0.572376	0.217169	0.1062	0.0480564	0.0305811	0.0256172
a85	0.556063	0.282518	0.0995236	0.0330695	0.015226	0.0135999
a47	0.433578	0.319884	0.157721	0.0576699	0.0163449	0.0148018
a56	0.431043	0.321718	0.159128	0.0493482	0.0168441	0.0219192
a96	0.433917	0.3335	0.146075	0.0521877	0.0174833	0.0168368
a98	0.327635	0.329825	0.207373	0.0836226	0.0257876	0.0257562
a85	0.265047	0.310976	0.236292	0.117167	0.0340751	0.0364433
a36	0.197078	0.255682	0.252063	0.169204	0.0638741	0.0620999
a75	0.148308	0.194428	0.315758	0.213775	0.0585809	0.0691502
a98	0.119441	0.129715	0.19271	0.211255	0.163375	0.183504
a92	0.115664	0.113991	0.165294	0.2171	0.175481	0.212471
a37	0.105107	0.101549	0.143064	0.186499	0.19126	0.272521
a61	0.168875	0.166159	0.231941	0.211359	0.0986579	0.123009
a21	0.17537	0.161511	0.220386	0.23853	0.0956259	0.108577
a41	0.24174	0.190712	0.184302	0.158348	0.0986224	0.126276
a25	0.112642	0.0767978	0.0916424	0.0899583	0.182582	0.446378
a87	0.115004	0.0839571	0.0940797	0.13707	0.202013	0.367875
a23	0.0346472	0.0382192	0.052848	0.116641	0.195531	0.562114
a44	0.0126186	0.0110892	0.0199455	0.0636715	0.209322	0.683353
a76	0.0100298	0.00642698	0.0129465	0.0421168	0.17715	0.75133
a41	0.0157794	0.0117446	0.0243941	0.0639167	0.215546	0.668619
a26	0.00440353	0.00379156	0.00846423	0.0257852	0.149182	0.808374
a57	0.00263988	0.00205625	0.00369042	0.0174462	0.195172	0.778995
a75	0.0119226	0.00580619	0.00682263	0.0239044	0.213041	0.738503
a85	0.00721932	0.00390251	0.00724522	0.025764	0.172365	0.783504
a73	0.00387582	0.00272905	0.00689862	0.0256739	0.195857	0.764966
a44	0.00173788	0.00203699	0.00620322	0.0231422	0.150442	0.816437
a53	0.000879276	0.000951524	0.00307963	0.0157123	0.15391	0.825468
a90	0.00559741	0.00347262	0.00736231	0.0234197	0.1463	0.813848
a98	0.00583485	0.00326413	0.00693745	0.0190016	0.120873	0.844089
a15	0.00566466	0.00375948	0.00753936	0.0175336	0.121334	0.844169
a2	0.00803253	0.00562603	0.0114103	0.0261753	0.135077	0.813679
a57	0.00316204	0.00195621	0.00414979	0.0335436	0.321431	0.635758
a87	0.110491	0.0864709	0.099836	0.157706	0.241478	0.304018
a23	0.205433	0.162301	0.164179	0.122949	0.141994	0.203144
a87	0.108797	0.0839471	0.0738564	0.075642	0.225096	0.432662
</S>	0.0178915	0.0148871	0.0221507	0.0678806	0.254441	0.622749
