 	il	tomba	aveugle	à	la	suite	de	sa	blessure	</S>
a23	0.206289	0.174387	0.152215	0.0930071	0.0742894	0.0475805	0.0444148	0.0504727	0.0632732	0.0940711
a87	0.312534	0.164965	0.127657	0.0553367	0.0450129	0.0406841	0.0340035	0.0428402	0.061057	0.115909
a97	0.18834	0.150343	0.149818	0.0589661	0.0529471	0.0508735	0.0552483	0.0700548	0.0855283	0.13788
a27	0.174764	0.139969	0.108433	0.043685	0.0419032	0.0409552	0.0483195	0.0676115	0.102462	0.231897
a2	0.193973	0.126505	0.0678705	0.0401778	0.0437212	0.050425	0.0509161	0.0697417	0.109533	0.247137
a57	0.246628	0.136057	0.0562644	0.0376269	0.0393241	0.0536064	0.0472309	0.0640251	0.103044	0.216193
a87	0.23498	0.127977	0.0520609	0.0377285	0.0423192	0.0681127	0.0551112	0.0735722	0.110136	0.198001
a23	0.209971	0.125069	0.0617637	0.0401129	0.0441173	0.0677371	0.0550522	0.0777467	0.120663	0.197767
a79	0.21572	0.111382	0.0335156	0.0286038	0.0428924	0.065969	0.0443511	0.062238	0.11096	0.284369
a15	0.490745	0.189563	0.0550637	0.0276995	0.0274113	0.0242642	0.021666	0.03081	0.0411688	0.0916088
a73	0.420999	0.214031	0.0992125	0.04425	0.0440101	0.032861	0.0269812	0.0316582	0.0349997	0.0509971
a94	0.261248	0.191651	0.154307	0.0820653	0.0789473	0.0540542	0.0438503	0.0435775	0.0415249	0.0487745
a41	0.291361	0.240441	0.15055	0.0665531	0.061697	0.0424727	0.0356842	0.0354762	0.0341919	0.0415736
a32	0.235973	0.244405	0.151827	0.076378	0.0680584	0.0532304	0.0444496	0.0418544	0.0389402	0.0448837
a75	0.248502	0.278427	0.169773	0.0738646	0.0605384	0.0443564	0.0329598	0.0293823	0.0275583	0.0346387
a85	0.158151	0.231556	0.163716	0.0892034	0.086408	0.0743836	0.0566846	0.0465525	0.0422122	0.0511325
a36	0.131362	0.194374	0.156558	0.092908	0.0869154	0.0804512	0.0685831	0.0599794	0.0558201	0.0730493
a27	0.0770589	0.118327	0.145013	0.104195	0.11043	0.115783	0.0810241	0.0710691	0.0714064	0.105692
a38	0.0745352	0.0969431	0.171854	0.142762	0.139212	0.114347	0.0683729	0.0577765	0.0557927	0.0784057
a24	0.0528562	0.05854	0.118661	0.124631	0.156384	0.152394	0.0897424	0.076189	0.0738556	0.0967466
a21	0.0924549	0.106393	0.13762	0.117183	0.11327	0.113619	0.0775473	0.0664852	0.0682371	0.10719
a85	0.107556	0.108302	0.143289	0.108081	0.0962857	0.10089	0.0872642	0.0778449	0.0725827	0.0979049
a73	0.0726693	0.0864106	0.134789	0.106234	0.0993611	0.113587	0.101818	0.0914427	0.0820106	0.111678
a69	0.0392548	0.0389981	0.0847571	0.117745	0.128507	0.155636	0.121053	0.102486	0.0916132	0.119951
a20	0.0343801	0.0268526	0.0437716	0.0817703	0.110583	0.16351	0.14599	0.13333	0.117415	0.142397
a69	0.0279193	0.0225624	0.0318786	0.0626554	0.0822307	0.121374	0.124146	0.142307	0.157118	0.227809
