 	il	y	a	une	petite	brouille	entre	eux	</S>
a85	0.424575	0.227104	0.114428	0.0656554	0.0438307	0.0406509	0.0319145	0.0261121	0.0257288
a66	0.33562	0.170661	0.100349	0.0704484	0.0666532	0.0724116	0.0601508	0.0604421	0.0632635
a10	0.198963	0.171204	0.130309	0.103594	0.0727725	0.0661656	0.0635095	0.0851301	0.108351
a87	0.212094	0.182394	0.147046	0.122478	0.0708447	0.0526377	0.0518162	0.0668084	0.0938807
a23	0.270279	0.193344	0.13683	0.09852	0.0669858	0.0534265	0.0534923	0.0598972	0.0672251
a98	0.193797	0.149288	0.113765	0.0986068	0.0633056	0.0577262	0.07258	0.102033	0.148899
a32	0.279946	0.254075	0.199656	0.129932	0.051148	0.0305326	0.0144797	0.0170853	0.0231451
a26	0.259961	0.24038	0.213812	0.151432	0.0607166	0.0329024	0.0133014	0.0127111	0.0147834
a24	0.162416	0.165506	0.202493	0.194338	0.113083	0.0716031	0.0332749	0.0278914	0.0293944
a61	0.140817	0.146292	0.190098	0.198869	0.141438	0.0910677	0.0364522	0.0267856	0.0281799
a75	0.146415	0.148765	0.194674	0.20156	0.148143	0.0907181	0.0313386	0.0193866	0.0189991
a14	0.155547	0.178487	0.220695	0.212937	0.119697	0.0585836	0.0234653	0.015232	0.0153552
a41	0.166345	0.172094	0.212429	0.190486	0.115127	0.0659508	0.030808	0.022978	0.0237836
a24	0.117598	0.118784	0.166927	0.168898	0.137762	0.106678	0.0652342	0.0550472	0.0630712
a75	0.0876247	0.10043	0.136569	0.139011	0.139033	0.138389	0.095054	0.0781871	0.0857012
a76	0.0872985	0.0954088	0.114367	0.114573	0.124786	0.136087	0.114584	0.0996197	0.113276
a94	0.0679438	0.0780971	0.0823049	0.0805353	0.0960961	0.132251	0.150464	0.150042	0.162265
a58	0.0666133	0.0767893	0.0889157	0.0850385	0.0927702	0.143989	0.176157	0.13532	0.134407
a38	0.0253532	0.0248848	0.0312631	0.0336836	0.0487732	0.133307	0.229375	0.217384	0.255976
a76	0.0173661	0.0153517	0.0187308	0.021976	0.0381948	0.126019	0.235845	0.240581	0.285935
a94	0.0263659	0.0272057	0.0307291	0.0328144	0.0476739	0.109355	0.213442	0.252588	0.259826
a58	0.0099464	0.0113565	0.0141192	0.0174089	0.0257917	0.0606644	0.178236	0.293261	0.389215
a54	0.00934826	0.00673137	0.00719172	0.00811154	0.0160437	0.0537628	0.146198	0.272374	0.480239
a41	0.0219333	0.0139351	0.0119518	0.0113225	0.0169595	0.0504662	0.147979	0.29344	0.432012
a61	0.0071335	0.00595522	0.00619338	0.00742277	0.0127032	0.0373716	0.129692	0.316156	0.477372
a24	0.00523853	0.00496128	0.00514801	0.00628561	0.0101484	0.0299542	0.108302	0.292068	0.537894
a41	0.00888094	0.00693992	0.0059749	0.00663939	0.0112948	0.0314875	0.0990524	0.267527	0.562203
a14	0.00552467	0.00438206	0.00362727	0.00377422	0.00610871	0.0201677	0.0900326	0.321449	0.544934
a44	0.00376185	0.00337288	0.00339748	0.00407719	0.00715514	0.0217907	0.0900932	0.307254	0.559097
a38	0.00580676	0.00420852	0.00416257	0.00501494	0.00839887	0.024153	0.0873985	0.262097	0.59876
a14	0.00827668	0.00534583	0.00408675	0.00354032	0.00597733	0.0207887	0.0817058	0.266024	0.604255
a30	0.00761299	0.00609758	0.00536562	0.00546624	0.00818193	0.0218808	0.0872625	0.297463	0.560669
a2	0.00998546	0.00589643	0.00411607	0.00367469	0.0069473	0.02931	0.11347	0.291685	0.534916
a57	0.0556693	0.0364034	0.0180876	0.0104724	0.0126473	0.0347023	0.101952	0.244832	0.485234
a87	0.0255402	0.0208962	0.0153661	0.0115691	0.0146188	0.0360532	0.134986	0.295941	0.445029
</S>	0.034316	0.0244721	0.0166025	0.0101479	0.0136805	0.0422139	0.139402	0.280108	0.439057
