 	les	acheteurs	sont	venus	nombreux	</S>
a23	0.347846	0.223177	0.218218	0.0917532	0.0609437	0.0580618
a87	0.386491	0.185567	0.197868	0.113364	0.0575929	0.0591171
a40	0.226871	0.249346	0.242962	0.153899	0.0611617	0.0657604
a30	0.323883	0.261817	0.212779	0.101272	0.0623953	0.0378532
a35	0.129655	0.339728	0.314631	0.181423	0.0280503	0.0065131
a11	0.192865	0.319324	0.266031	0.185209	0.0288415	0.00772886
a75	0.206158	0.337276	0.244281	0.15032	0.0419	0.0200656
a54	0.241707	0.310271	0.220861	0.147257	0.0525077	0.0273961
a73	0.199302	0.333688	0.238709	0.123246	0.0648549	0.0402
a35	0.160133	0.345524	0.272588	0.14236	0.05322	0.0261753
a66	0.110664	0.266406	0.275977	0.183963	0.102256	0.0607325
a24	0.0651652	0.166444	0.19729	0.203926	0.200286	0.166889
a25	0.0458513	0.100245	0.12492	0.179977	0.300677	0.24833
a10	0.0250331	0.0582682	0.0695539	0.107643	0.333221	0.40628
a40	0.0151552	0.0409756	0.0485134	0.0809227	0.31852	0.495913
a30	0.0121383	0.0229547	0.0261539	0.0521018	0.295158	0.591494
a41	0.00471086	0.00929033	0.0114284	0.0335375	0.275736	0.665297
a24	0.00238597	0.00272146	0.00196737	0.00868803	0.199404	0.784834
a62	0.00390102	0.00382442	0.00309677	0.0112076	0.164123	0.813847
a41	0.00562761	0.00678795	0.00632233	0.0213862	0.171318	0.788558
a14	0.00410243	0.00516365	0.00500337	0.0148316	0.121366	0.849532
a41	0.00166392	0.0019549	0.00184078	0.00897676	0.125763	0.8598
a62	0.00189781	0.00213512	0.00193061	0.00720015	0.0981099	0.888726
a24	0.00280557	0.00290628	0.0022264	0.00797276	0.0868045	0.897285
a9	0.00969404	0.0127713	0.0116198	0.0241472	0.126743	0.815025
a87	0.0334242	0.0841827	0.101071	0.0635644	0.131716	0.586041
a10	0.0283283	0.0727664	0.07932	0.0597592	0.148224	0.611602
a87	0.0435546	0.120522	0.184072	0.15604	0.166639	0.329173
a23	0.0425025	0.160572	0.193088	0.136071	0.178107	0.289659
a87	0.0547807	0.103138	0.15336	0.15195	0.181715	0.355057
</S>	0.0223408	0.0459622	0.0775694	0.107319	0.259171	0.487638
