 	la	maman	est	dépassée	par	le	mauvais	caractère	de	cet	enfant-là	</S>
a15	0.226355	0.232152	0.161502	0.0889035	0.0605616	0.0435526	0.0343437	0.0465593	0.0396289	0.0273417	0.0190878	0.0200119
a66	0.256217	0.203287	0.175641	0.0878468	0.0504125	0.0332542	0.0231936	0.0326466	0.0335251	0.029661	0.0316421	0.0426733
a87	0.545879	0.288528	0.0862632	0.0191698	0.0115134	0.00587323	0.00479029	0.00674934	0.00668114	0.00637685	0.00728603	0.0108893
a99	0.440526	0.278031	0.133127	0.035601	0.0205372	0.0127197	0.010335	0.0154522	0.0159915	0.0139813	0.0119055	0.0117923
a30	0.325785	0.248212	0.113138	0.0321838	0.0232533	0.0231999	0.0257971	0.0386252	0.0472675	0.0413522	0.040382	0.0408036
a53	0.32098	0.198851	0.0772276	0.0437084	0.0349416	0.0488038	0.0475084	0.0546461	0.05742	0.0430993	0.0344038	0.0384104
a15	0.124335	0.108566	0.0733332	0.128306	0.0963946	0.106532	0.0780949	0.095722	0.0754472	0.0549236	0.0292889	0.029057
a79	0.0739196	0.0926354	0.111624	0.187236	0.12687	0.0944188	0.0663089	0.0768558	0.0589886	0.0496296	0.0313363	0.0301768
a44	0.100022	0.132211	0.177815	0.191977	0.137843	0.0708496	0.0454529	0.0391576	0.0288007	0.0288046	0.0231095	0.0239574
a11	0.0825279	0.101095	0.131839	0.1472	0.121813	0.0806265	0.0713801	0.0725419	0.0550142	0.0530822	0.0403241	0.0425563
a93	0.0876236	0.115425	0.148387	0.127153	0.100109	0.0619996	0.0618106	0.0788282	0.0711195	0.0595262	0.0439482	0.0440707
a96	0.0787015	0.106951	0.149696	0.124531	0.0987293	0.0572313	0.0598934	0.0791504	0.0743256	0.0631501	0.053078	0.0545627
a56	0.0439108	0.0685686	0.115429	0.10836	0.094174	0.0704091	0.0795279	0.0992046	0.096866	0.0775059	0.0740292	0.0720147
a75	0.0353152	0.0548658	0.0936287	0.0884562	0.0832308	0.0703961	0.0851712	0.118262	0.116938	0.0940049	0.0825679	0.0771627
a98	0.0193923	0.0300718	0.0574355	0.0657731	0.0692055	0.0847924	0.109197	0.123367	0.114034	0.104576	0.112698	0.109457
a79	0.0148478	0.0249178	0.0521214	0.0629948	0.0784296	0.0991375	0.116498	0.128272	0.114437	0.10125	0.103222	0.103872
a92	0.0100805	0.0165139	0.0362664	0.0535816	0.0765028	0.111913	0.129135	0.142754	0.128842	0.0972895	0.0976462	0.0994744
a44	0.00721533	0.0103314	0.0213002	0.0331505	0.0495337	0.090915	0.10961	0.143087	0.144881	0.121175	0.132746	0.136054
a93	0.00747344	0.00770409	0.0102245	0.0138207	0.0214095	0.0643083	0.09791	0.160074	0.190137	0.151621	0.134776	0.140541
a44	0.00518491	0.00500991	0.00565442	0.00760518	0.0116464	0.0454121	0.0833426	0.138565	0.179092	0.16964	0.164474	0.184374
a70	0.00197935	0.00185641	0.00211234	0.00423073	0.00579401	0.0262127	0.0623145	0.112837	0.173316	0.188511	0.187041	0.233794
a93	0.00149638	0.00131533	0.00151861	0.0035129	0.00461208	0.0209007	0.048613	0.0952667	0.154076	0.194902	0.214082	0.259705
a96	0.00112396	0.000980992	0.00122519	0.00288784	0.00351766	0.0167168	0.0389348	0.0788891	0.13276	0.173023	0.247925	0.302016
a34	0.000962734	0.000906731	0.00129342	0.00455347	0.00442042	0.013246	0.0238909	0.0490642	0.0888323	0.136869	0.266422	0.409538
a21	0.00058692	0.000557983	0.000776108	0.00275258	0.00257889	0.00987863	0.0175481	0.0389137	0.0719991	0.122153	0.279767	0.452489
a47	0.000496062	0.000473462	0.000726967	0.002064	0.00203055	0.00769181	0.0132463	0.0294667	0.0599552	0.108932	0.303076	0.471841
a75	0.000777888	0.000783953	0.00135696	0.00445729	0.00466237	0.0134381	0.0198785	0.0398616	0.0786131	0.127697	0.279187	0.429286
a6	0.000316929	0.000285787	0.000575633	0.00205182	0.00201403	0.00638005	0.0125161	0.0287309	0.0604146	0.107463	0.319741	0.45951
a36	0.000413779	0.000356964	0.000595451	0.00245308	0.00240517	0.00768986	0.0163117	0.0398502	0.0720531	0.112885	0.293123	0.451863
a26	0.0030594	0.00243868	0.00353052	0.00834679	0.00785151	0.0154141	0.0211763	0.0344077	0.0547263	0.0943638	0.272316	0.482369
a57	0.0785023	0.0607182	0.0496982	0.0434726	0.0383238	0.048894	0.049105	0.0651503	0.077802	0.0970896	0.167667	0.223577
a87	0.244639	0.174179	0.102873	0.0544026	0.0396445	0.0413286	0.0392058	0.0530326	0.0525849	0.0596907	0.0654754	0.0729441
a23	0.368662	0.266349	0.158692	0.0351932	0.0195818	0.0170713	0.0145506	0.0203289	0.0175037	0.0227901	0.0288633	0.0304144
a87	0.163589	0.104961	0.0792945	0.0289321	0.0195429	0.0215033	0.0255452	0.0414123	0.0509744	0.102099	0.16566	0.196486
</S>	0.048115	0.0311695	0.0334402	0.0212678	0.0164392	0.0274303	0.044522	0.0946399	0.10443	0.15471	0.179838	0.243999
