 	l'	habit	a	séché	au	soleil	</S>
a66	0.415907	0.265601	0.196443	0.0647876	0.0252144	0.0176555	0.014392
a87	0.466236	0.127555	0.103846	0.0616441	0.0618471	0.078366	0.100507
a97	0.398235	0.169971	0.103724	0.0526974	0.0646899	0.0934355	0.117247
a87	0.383598	0.140571	0.102839	0.0774612	0.0917564	0.100061	0.103713
a97	0.378322	0.140652	0.102711	0.0694796	0.0934906	0.107694	0.107651
a87	0.353085	0.155452	0.141505	0.104592	0.0824571	0.0780201	0.0848882
a97	0.302115	0.144884	0.132926	0.103668	0.100906	0.104616	0.110886
a79	0.313222	0.153321	0.147013	0.126959	0.0900426	0.0795771	0.0898651
a69	0.348861	0.159556	0.101818	0.0862036	0.0720546	0.0879212	0.143586
a58	0.382355	0.270178	0.139649	0.0959046	0.0397113	0.0303758	0.0418264
a54	0.251886	0.267427	0.1617	0.1402	0.0638956	0.0480215	0.0668701
a85	0.177596	0.287565	0.195453	0.161725	0.0668446	0.0480941	0.0627219
a6	0.252355	0.362091	0.168009	0.0930162	0.043123	0.0345777	0.0468288
a37	0.221497	0.358788	0.171327	0.0941637	0.0535307	0.045144	0.0555494
a90	0.194069	0.313721	0.180379	0.113747	0.0733204	0.0602444	0.0645194
a93	0.153596	0.282577	0.188216	0.12253	0.0915837	0.0783867	0.083111
a96	0.119587	0.193801	0.170111	0.145416	0.128962	0.11744	0.124683
a93	0.0588731	0.100833	0.129268	0.164061	0.185048	0.177573	0.184343
a70	0.0264209	0.0511958	0.0903961	0.178908	0.220143	0.209398	0.223539
a93	0.0101881	0.0198976	0.041656	0.1311	0.243153	0.268989	0.285016
a4	0.00649791	0.0119893	0.0262631	0.0997506	0.241164	0.29195	0.322386
a94	0.0022115	0.00409388	0.00884001	0.0456451	0.193981	0.315029	0.4302
a70	0.000488569	0.000962978	0.00245843	0.0177324	0.139868	0.33053	0.50796
a96	0.0004137	0.000952029	0.00274008	0.0160362	0.142766	0.363139	0.473953
a0	0.00049609	0.00124391	0.00343765	0.0181515	0.146906	0.350507	0.479258
a24	0.000528619	0.00149444	0.00368824	0.0170882	0.136292	0.357703	0.483206
a9	0.001526	0.00307943	0.00650009	0.0248888	0.145036	0.35843	0.46054
a99	0.01377	0.0137261	0.017693	0.0390045	0.141656	0.318879	0.455272
a97	0.036373	0.0210791	0.0249345	0.0392868	0.108318	0.284326	0.485683
a87	0.135494	0.0582241	0.0628726	0.0594336	0.117492	0.24773	0.318754
a97	0.0788623	0.0395928	0.0541772	0.0674402	0.155468	0.294054	0.310405
a99	0.0318304	0.0203669	0.0345015	0.0703459	0.160434	0.315945	0.366577
a97	0.0216347	0.0177605	0.0358954	0.0878205	0.162282	0.279598	0.395009
</S>	0.0208514	0.0187713	0.0402309	0.0758552	0.138809	0.269625	0.435857
