 	l'	enfant	se	déshabille	</S>
a87	0.622901	0.272736	0.0549143	0.0264919	0.0229568
a23	0.631949	0.172227	0.0693403	0.0593734	0.0671105
a44	0.657144	0.204145	0.0742634	0.027757	0.0366901
a7	0.524639	0.24581	0.105402	0.070876	0.0532728
a37	0.466136	0.325214	0.141198	0.0449423	0.02251
a54	0.348432	0.278509	0.215756	0.102451	0.0548525
a7	0.243013	0.227314	0.20649	0.182954	0.140228
a93	0.160121	0.197948	0.200809	0.223478	0.217643
a44	0.117825	0.147763	0.171944	0.272905	0.289562
a54	0.109587	0.158162	0.193337	0.291624	0.247291
a47	0.0489898	0.0655258	0.101446	0.330276	0.453762
a0	0.05283	0.0701947	0.108141	0.346723	0.422112
a11	0.0574833	0.0660923	0.118918	0.39211	0.365396
a93	0.0185161	0.0220997	0.0620777	0.408841	0.488466
a56	0.0169898	0.0227508	0.0639727	0.358455	0.537831
a98	0.00696696	0.00938766	0.0366547	0.310614	0.636376
a85	0.00360241	0.00693806	0.0309308	0.277419	0.681109
a6	0.00332261	0.00533843	0.0256917	0.250812	0.714835
a37	0.00189742	0.00352178	0.0210653	0.217084	0.756431
a27	0.00142406	0.00243345	0.0157554	0.230629	0.749758
a54	0.00224673	0.00345897	0.025782	0.227486	0.741026
a36	0.003627	0.00626348	0.0387633	0.246191	0.705155
a37	0.0047512	0.00558492	0.0296925	0.209415	0.750556
a36	0.00604636	0.00869876	0.0411436	0.200914	0.743198
a27	0.0153052	0.0173878	0.0540291	0.211214	0.702064
a57	0.097854	0.0701841	0.120739	0.255196	0.456028
a87	0.323413	0.201196	0.132681	0.152284	0.190426
a23	0.385528	0.229175	0.126123	0.116678	0.142496
a87	0.310211	0.183057	0.123494	0.168154	0.215084
</S>	0.0476958	0.0315561	0.061483	0.265973	0.593292
