 	il	a	eu	un	accident	</S>
a23	0.286368	0.169813	0.124718	0.115943	0.156703	0.146455
a87	0.187434	0.145944	0.187351	0.175235	0.164511	0.139524
a23	0.151279	0.155246	0.216395	0.192772	0.158168	0.12614
a53	0.23119	0.145033	0.135868	0.144511	0.17728	0.166118
a20	0.406383	0.222828	0.143095	0.0942645	0.0777408	0.055689
a30	0.515263	0.284372	0.12411	0.0408501	0.0224556	0.0129481
a35	0.429135	0.304154	0.169681	0.0562328	0.0262128	0.0145844
a24	0.36489	0.281203	0.184201	0.0912674	0.0489425	0.0294968
a25	0.384647	0.285959	0.165771	0.0813389	0.0487601	0.0335236
a87	0.152254	0.206714	0.242198	0.172248	0.124722	0.101864
a38	0.0769098	0.112404	0.153086	0.185217	0.246399	0.225984
a76	0.112598	0.158287	0.198049	0.195533	0.185121	0.150413
a14	0.232262	0.222094	0.1914	0.15756	0.121104	0.0755797
a41	0.142438	0.137277	0.147006	0.179822	0.212733	0.180724
a24	0.0378555	0.0507484	0.0832787	0.182975	0.317908	0.327234
a25	0.0118296	0.0132382	0.0235726	0.0944218	0.320486	0.536452
a38	0.00658806	0.00921129	0.0199135	0.0876701	0.3399	0.536717
a14	0.00433429	0.00578033	0.0147604	0.0769497	0.332373	0.565802
a35	0.00422888	0.00620934	0.0157141	0.0815093	0.335537	0.556801
a66	0.00264348	0.00381297	0.00893409	0.0572602	0.315949	0.6114
a24	0.00112993	0.00149998	0.00447322	0.0376851	0.277695	0.677517
a9	0.0012375	0.0016032	0.00411448	0.0302888	0.237248	0.725508
a10	0.00259578	0.00390693	0.00943107	0.0518059	0.259449	0.672811
a87	0.00487273	0.00701995	0.0146405	0.0600937	0.244036	0.669337
</S>	0.00769409	0.00883608	0.0140809	0.0715556	0.286357	0.611476
