 	la	maison	est	achevée	</S>
a87	0.34631	0.206768	0.181761	0.176931	0.0882297
a23	0.373957	0.27594	0.162553	0.104647	0.0829015
a83	0.444659	0.30528	0.122041	0.0772432	0.0507768
a70	0.508414	0.213891	0.103737	0.0935143	0.0804447
a35	0.505959	0.281852	0.10759	0.0645618	0.0400366
a75	0.387572	0.295158	0.173382	0.093407	0.0504807
a41	0.423372	0.289547	0.155703	0.0786608	0.0527168
a24	0.360456	0.284998	0.17642	0.100983	0.077142
a25	0.20521	0.224667	0.225238	0.181856	0.163029
a87	0.161911	0.176783	0.241951	0.226382	0.192973
a79	0.0610985	0.0630141	0.1046	0.249264	0.522023
a41	0.119757	0.112699	0.168553	0.254732	0.344259
a32	0.179944	0.141576	0.186284	0.217758	0.274439
a62	0.0749094	0.0741246	0.136843	0.244521	0.469603
a43	0.0370989	0.0358801	0.0713847	0.198723	0.656913
a10	0.0377464	0.029042	0.0474244	0.159046	0.726741
a26	0.0407818	0.031739	0.0565336	0.177274	0.693671
a24	0.0299231	0.0214917	0.0391713	0.156522	0.752892
a41	0.0563201	0.0405438	0.0499246	0.158083	0.695129
a30	0.0329453	0.0214048	0.0394688	0.176109	0.730072
a57	0.0642186	0.0386787	0.0500283	0.166467	0.680608
a87	0.154215	0.104206	0.0970944	0.163209	0.481276
a23	0.102318	0.0776252	0.103361	0.208019	0.508676
a87	0.137139	0.121878	0.171409	0.226607	0.342967
</S>	0.0924367	0.0825252	0.146329	0.24095	0.437759
