 	la	manière	dont	j'	ai	rêvé	de	lui	ma	fait	peur	</S>
a66	0.270617	0.178203	0.14718	0.120428	0.0982725	0.0647526	0.0402066	0.0236086	0.0173049	0.0137752	0.0130767	0.0125751
a87	0.413135	0.199284	0.114238	0.0755916	0.0572771	0.0296381	0.0215407	0.0167082	0.0154787	0.017439	0.0214717	0.0181976
a23	0.409801	0.226319	0.121819	0.0734303	0.0486832	0.0256512	0.0188529	0.0147433	0.0122567	0.0132802	0.0150998	0.0200628
a61	0.246003	0.20491	0.198864	0.124341	0.0735752	0.0369476	0.0240643	0.0201322	0.0167425	0.0170981	0.0191156	0.018208
a34	0.181944	0.201016	0.206868	0.108237	0.0562455	0.0317214	0.0244717	0.0249675	0.0253267	0.0311053	0.0508031	0.0572933
a75	0.265944	0.285444	0.259419	0.100471	0.0352922	0.0131969	0.00796946	0.00656014	0.00527935	0.00585371	0.00757399	0.00699644
a92	0.184394	0.246942	0.233763	0.128416	0.0744345	0.0324297	0.0210164	0.0178886	0.0130139	0.0138256	0.0174541	0.0164218
a37	0.105139	0.24298	0.268888	0.163584	0.0890027	0.0402609	0.02495	0.0178644	0.0119919	0.0110128	0.0119725	0.0123543
a47	0.0977697	0.202409	0.259348	0.194873	0.116173	0.0499303	0.0255947	0.016603	0.0106195	0.00886643	0.00854838	0.00926555
a21	0.0781624	0.157277	0.228785	0.218344	0.145114	0.0673712	0.0343943	0.0218567	0.015018	0.012397	0.0104163	0.0108639
a75	0.0701361	0.117811	0.175996	0.209786	0.184618	0.0992769	0.0524347	0.0291415	0.0187927	0.0142608	0.0130701	0.0146765
a92	0.0360735	0.0628123	0.127168	0.169856	0.163487	0.12408	0.0987644	0.0676668	0.0515922	0.0385773	0.0298496	0.0300735
a12	0.0308265	0.0489251	0.0993393	0.155562	0.173545	0.130029	0.103438	0.0743473	0.0614342	0.0482644	0.0368115	0.037478
a96	0.030683	0.0413262	0.0734891	0.126583	0.177869	0.153255	0.116687	0.0804197	0.067189	0.0510622	0.039115	0.042321
a21	0.0161421	0.0206931	0.0401486	0.0866269	0.172499	0.195427	0.153887	0.0970844	0.0737242	0.0536834	0.0431632	0.0469204
a85	0.0102844	0.0120922	0.0208251	0.040001	0.0971894	0.161904	0.167129	0.137344	0.124393	0.0966619	0.0685272	0.0636489
a92	0.0039108	0.00465043	0.00816073	0.0189445	0.0595032	0.124776	0.146206	0.132042	0.133007	0.136368	0.114057	0.118374
a56	0.00512503	0.00538966	0.00967077	0.0221861	0.0564299	0.130192	0.175411	0.164656	0.14873	0.111432	0.0837634	0.087015
a90	0.00707474	0.00709441	0.0120837	0.0253888	0.0606008	0.129441	0.175601	0.170348	0.156793	0.105063	0.073554	0.076957
a98	0.001869	0.00203105	0.00386915	0.00985016	0.0283031	0.0746068	0.13642	0.175931	0.192922	0.146369	0.112674	0.115155
a47	0.0023243	0.00256928	0.00512165	0.0130988	0.0319346	0.0719678	0.117245	0.14944	0.178279	0.150155	0.129956	0.147909
a36	0.0113632	0.0104735	0.0154296	0.0266963	0.0451696	0.0677729	0.0911988	0.106268	0.120669	0.111669	0.152981	0.240308
a2	0.0170576	0.0175733	0.0178763	0.0273795	0.0474701	0.0544654	0.0666616	0.0915482	0.128249	0.12694	0.159421	0.245358
a57	0.0639131	0.0560874	0.0440293	0.0445086	0.0537713	0.0572393	0.0611568	0.0695202	0.102089	0.117357	0.138309	0.192019
a75	0.0541387	0.0434732	0.0352377	0.0397985	0.0538317	0.0619339	0.0722671	0.0951356	0.123336	0.135993	0.142102	0.142753
a5	0.000727757	0.000733643	0.000924245	0.0023936	0.0072642	0.0133022	0.023989	0.0434059	0.076251	0.130131	0.245093	0.455785
a18	0.000471825	0.000404902	0.000458763	0.00106218	0.00367118	0.0100634	0.0245534	0.0586607	0.113679	0.164745	0.237958	0.384272
a21	0.00154436	0.00216152	0.00202086	0.00355635	0.00772444	0.013035	0.0231035	0.0525951	0.11064	0.200848	0.269229	0.313543
a5	0.000657307	0.000537569	0.00058574	0.00122575	0.003136	0.00824204	0.0166922	0.040457	0.0870559	0.161778	0.268709	0.410924
a37	0.000375367	0.000355258	0.000422976	0.00112632	0.00381696	0.0101114	0.0205375	0.0443478	0.0877139	0.158838	0.256168	0.416186
a47	0.000511452	0.000769874	0.000811086	0.00148707	0.00349713	0.00646408	0.0116519	0.0276788	0.066177	0.147939	0.283371	0.449641
a7	0.0005756	0.0006678	0.000806539	0.00179158	0.0044465	0.00908931	0.0151516	0.0321212	0.0688455	0.133362	0.259174	0.473969
a44	0.000941508	0.00127801	0.00118448	0.00195518	0.00414145	0.00701485	0.0112457	0.0248393	0.0598543	0.137645	0.274473	0.475427
a84	0.00032984	0.000444865	0.000444288	0.000985245	0.00272759	0.00481569	0.00862777	0.0201863	0.0497922	0.118299	0.284938	0.508409
a87	0.00942436	0.00751029	0.0069501	0.00855187	0.0133753	0.01668	0.0245187	0.0429454	0.0740921	0.143881	0.246996	0.405076
a23	0.0490652	0.0287674	0.0194935	0.0267585	0.0420451	0.0436195	0.0555519	0.0720817	0.102837	0.141992	0.185172	0.232615
a87	0.00966904	0.00685457	0.00295327	0.00530202	0.0149111	0.0188647	0.0365909	0.0746364	0.117367	0.169931	0.21422	0.328701
</S>	0.0078932	0.00392153	0.0017337	0.00311476	0.0108603	0.0166739	0.0343601	0.0607988	0.0807828	0.134873	0.213404	0.431584
