 	notre	maman	a	un	panier	de	pêche	dans	la	maison	</S>
a66	0.239059	0.190466	0.12842	0.119264	0.111465	0.0841842	0.0533159	0.0330567	0.0184457	0.0118441	0.0104792
a87	0.301644	0.143156	0.0980008	0.0812752	0.0622238	0.0548678	0.0576607	0.0507815	0.0481327	0.0507536	0.0515042
a97	0.385343	0.215189	0.117976	0.0662085	0.0380281	0.0288271	0.0311182	0.0249281	0.0226613	0.0306521	0.0390681
a87	0.29016	0.206604	0.140325	0.0917723	0.0530635	0.0409598	0.0475492	0.034157	0.0278528	0.0317232	0.0358333
a23	0.271663	0.191006	0.131092	0.0918764	0.0565056	0.0457429	0.0550018	0.0408986	0.0334999	0.0384815	0.0442325
a30	0.271104	0.13248	0.0739954	0.0623396	0.0505255	0.0587404	0.0769883	0.0701212	0.0604657	0.062393	0.0808473
a53	0.314892	0.186514	0.105019	0.0839729	0.060059	0.0512087	0.0512464	0.0426491	0.0364452	0.0312144	0.0367792
a15	0.240915	0.195961	0.155218	0.127763	0.0905496	0.0624547	0.0435415	0.0325745	0.0223216	0.0141997	0.0145026
a79	0.14681	0.141399	0.156523	0.146007	0.122366	0.0900001	0.0616807	0.0489095	0.0364719	0.0238621	0.0259716
a56	0.115647	0.123891	0.159143	0.154609	0.132713	0.0944153	0.060214	0.0481741	0.0396615	0.0325914	0.0389404
a75	0.114518	0.120303	0.168982	0.180058	0.153488	0.0985603	0.0551658	0.033964	0.0246545	0.0230939	0.027212
a5	0.0717126	0.0840205	0.140121	0.175249	0.166786	0.121529	0.0765349	0.049887	0.0361257	0.0349778	0.0430575
a12	0.0824671	0.090351	0.139219	0.174979	0.167402	0.117784	0.0732216	0.0470854	0.0345495	0.0334823	0.039459
a31	0.0691401	0.082304	0.129937	0.167851	0.167503	0.121817	0.0810917	0.0564655	0.0407883	0.0384524	0.0446504
a62	0.0380314	0.048801	0.099929	0.153157	0.172608	0.142822	0.106694	0.0773684	0.0551354	0.0506098	0.054844
a61	0.0292126	0.0387425	0.0833	0.142845	0.178272	0.172179	0.132395	0.0868505	0.0516975	0.0425371	0.0419686
a75	0.0167657	0.0219959	0.0515146	0.099417	0.142629	0.166373	0.165557	0.135244	0.0832227	0.0617293	0.0555522
a56	0.00780021	0.00931119	0.0201564	0.0415799	0.0713367	0.104281	0.128889	0.146701	0.148714	0.155324	0.165906
a75	0.00857127	0.0096492	0.0188992	0.0397147	0.0700747	0.118392	0.160767	0.176081	0.142898	0.126345	0.128608
a5	0.0034554	0.00407929	0.00739481	0.0146306	0.027123	0.0529507	0.08698	0.131899	0.168763	0.227932	0.274792
a37	0.00504304	0.00513091	0.00815244	0.015067	0.0260002	0.0505533	0.0859825	0.141423	0.182126	0.220262	0.26026
a47	0.00418015	0.00478442	0.00618177	0.0100256	0.0153475	0.0311802	0.0539084	0.0936547	0.163755	0.263063	0.353919
a88	0.00386367	0.00451465	0.00484577	0.0068608	0.00953015	0.0198998	0.0379776	0.0715201	0.148893	0.287923	0.404171
a71	0.00176369	0.0020061	0.00231912	0.00351454	0.00527254	0.0110401	0.0224084	0.0494155	0.133006	0.314294	0.45496
a9	0.0090113	0.00923934	0.00900225	0.0134724	0.0194973	0.030707	0.0425778	0.0769263	0.142398	0.256754	0.390415
a97	0.0525877	0.0432538	0.0385819	0.0497627	0.0582079	0.0663942	0.0736096	0.0963822	0.129043	0.170678	0.2215
a87	0.166696	0.121057	0.0865055	0.0807615	0.0666058	0.0612032	0.0686054	0.0766444	0.0847455	0.0911238	0.0960527
a97	0.126686	0.0928841	0.0752243	0.0742947	0.069136	0.0762613	0.0979284	0.106014	0.0979212	0.0924238	0.0912262
a99	0.103453	0.073794	0.0662547	0.0667506	0.064411	0.0767917	0.10004	0.106426	0.102903	0.113106	0.12607
a97	0.0433467	0.0325069	0.0348843	0.0359148	0.0348909	0.0435142	0.0670158	0.106037	0.14665	0.202688	0.252551
a87	0.0477721	0.0367347	0.0425677	0.0462871	0.0428333	0.0479062	0.0603121	0.076782	0.107719	0.191084	0.300002
a23	0.0660026	0.060107	0.0703097	0.0710054	0.0576374	0.0560458	0.066205	0.0745898	0.0914053	0.153031	0.233661
a99	0.0299924	0.0214749	0.0250066	0.0249943	0.022762	0.0292286	0.0478631	0.0868416	0.131978	0.227364	0.352495
a87	0.0450509	0.0326166	0.0399482	0.0383494	0.0352953	0.0390168	0.0500443	0.0823554	0.12192	0.204209	0.311194
</S>	0.0178817	0.0123709	0.015491	0.0144605	0.0137611	0.0192682	0.0335957	0.0700273	0.126602	0.249915	0.426626
