 	notre	père	a	cueilli	du	koko	aux	feuilles	larges	lorsqu'	il	abattait	les	arbres	dans	son	champ	</S>
a66	0.018745	0.0128658	0.0079181	0.00762061	0.0140007	0.0307331	0.112236	0.169633	0.225672	0.237416	0.11057	0.0436278	0.00387566	0.00158593	0.000998939	0.000802682	0.000869882	0.000827935
a87	0.169706	0.086131	0.0542809	0.0432298	0.0464651	0.059056	0.0848847	0.0908007	0.104657	0.0953251	0.0500223	0.0339326	0.00600886	0.00616525	0.00799051	0.0128306	0.0210293	0.0274844
a10	0.194824	0.0940878	0.0451516	0.0307139	0.0302669	0.0267436	0.0697162	0.0705562	0.0968083	0.118365	0.0773226	0.0569135	0.0214985	0.00860997	0.00966322	0.01219	0.0172805	0.0192886
a87	0.148679	0.107897	0.0656226	0.0480601	0.047376	0.0319458	0.0644786	0.0464699	0.0739466	0.0907648	0.0765921	0.0902631	0.0284614	0.0159401	0.0144213	0.0145155	0.0172119	0.0173545
a10	0.0983599	0.0737819	0.0487226	0.0388845	0.0384875	0.0272692	0.0494411	0.0437968	0.0666741	0.0900896	0.0941628	0.118781	0.0546572	0.0345433	0.0301624	0.0290573	0.03262	0.0305093
a97	0.0608278	0.0504738	0.0393522	0.0335187	0.0349813	0.0259873	0.038944	0.0384197	0.0617471	0.0976902	0.111775	0.138077	0.0647098	0.0470658	0.0394779	0.0380008	0.0413269	0.0376245
a87	0.0411003	0.0307498	0.0218419	0.0191519	0.0201614	0.0169242	0.0334784	0.037114	0.0757144	0.136242	0.151781	0.200496	0.061954	0.0410736	0.0321758	0.0274119	0.0284507	0.0241793
a97	0.0322071	0.0269279	0.0204328	0.0185994	0.0194551	0.0171321	0.0311869	0.03736	0.0752422	0.149629	0.174974	0.21297	0.0575371	0.0390598	0.0258863	0.0212697	0.0212497	0.0188802
a79	0.0253735	0.0205815	0.0142938	0.0119811	0.0142275	0.0152478	0.0314728	0.0410007	0.0853782	0.174216	0.195733	0.224412	0.0463821	0.0317322	0.0197766	0.0165297	0.0164233	0.0152375
a47	0.0571539	0.0340881	0.0214834	0.0187704	0.0145012	0.0125994	0.0487003	0.0723509	0.0994974	0.16405	0.204925	0.147101	0.0240676	0.0172097	0.0153188	0.0140346	0.0178681	0.0162806
a37	0.131459	0.171883	0.148885	0.113261	0.0593453	0.0279747	0.0672032	0.0654623	0.0514288	0.0436679	0.0498874	0.0329326	0.00983231	0.00687051	0.00556032	0.00496645	0.00469846	0.00468145
a43	0.137477	0.180108	0.186287	0.123787	0.0532301	0.0282601	0.0461702	0.0496977	0.0429708	0.0377716	0.0506416	0.034037	0.00873505	0.0056469	0.00409757	0.00378969	0.00349397	0.00379895
a75	0.129597	0.144024	0.157648	0.109367	0.0569821	0.0338535	0.0471025	0.0510023	0.0541443	0.052623	0.0731914	0.0501115	0.0127847	0.00793411	0.00526847	0.00475094	0.00451851	0.00509621
a5	0.067481	0.0992741	0.13922	0.113442	0.0705044	0.0556441	0.0728081	0.0806511	0.0774432	0.0667341	0.0704103	0.0391977	0.0141043	0.00754195	0.00555735	0.00579537	0.00630908	0.00788244
