 	cet	oranger	a	donné	beaucoup	de	fruits	</S>
a66	0.374839	0.139419	0.0793371	0.0972445	0.114989	0.082583	0.0573115	0.0542765
a87	0.294423	0.189202	0.181796	0.139902	0.0860389	0.038251	0.0318404	0.0385467
a23	0.411877	0.275122	0.100851	0.0549265	0.0464685	0.0318889	0.0330565	0.0458088
a13	0.344415	0.326108	0.133139	0.0636361	0.032407	0.0220077	0.0275532	0.0507347
a83	0.312833	0.32323	0.12807	0.0692286	0.0408651	0.0348386	0.0383064	0.0526286
a56	0.311271	0.337789	0.14195	0.0781072	0.0455331	0.0318903	0.0275732	0.0258861
a96	0.229185	0.382631	0.185159	0.0813499	0.0412999	0.0276003	0.0252838	0.0274912
a11	0.170344	0.406973	0.205138	0.0937764	0.0454231	0.0270016	0.0243341	0.0270094
a96	0.126762	0.341783	0.219567	0.13228	0.0686631	0.0388989	0.034706	0.0373391
a75	0.125846	0.278918	0.22868	0.160837	0.0863155	0.0449416	0.0372616	0.0371994
a96	0.0910638	0.158812	0.19244	0.202354	0.145693	0.086132	0.0652579	0.0582468
a94	0.100208	0.131434	0.152816	0.189685	0.156296	0.0942853	0.0839183	0.0913576
a93	0.0576045	0.0678356	0.0895844	0.161461	0.180948	0.145686	0.13836	0.15852
a75	0.0457796	0.0461087	0.0682052	0.139249	0.184768	0.180746	0.160934	0.174208
a43	0.0108125	0.00979175	0.0224895	0.0709463	0.145083	0.224602	0.235214	0.281061
a11	0.00529841	0.00474104	0.00881296	0.0258622	0.0573493	0.15149	0.276137	0.470308
a70	0.00293401	0.00224582	0.00349144	0.00810117	0.0178994	0.0658557	0.246299	0.653174
a4	0.00450843	0.00267704	0.0045796	0.0100214	0.027045	0.088955	0.269277	0.592936
a11	0.00449821	0.00242345	0.00462877	0.010825	0.0296182	0.0998865	0.276848	0.571271
a88	0.00600073	0.00351658	0.00791818	0.0202095	0.0557463	0.145855	0.285846	0.474908
a9	0.00722574	0.00392874	0.00947508	0.024206	0.0672752	0.167922	0.288475	0.431492
a87	0.0701695	0.0339331	0.0442498	0.0631035	0.0890277	0.129261	0.20828	0.361975
a23	0.403516	0.210033	0.114389	0.0743225	0.0601949	0.0432136	0.0415019	0.0528303
a87	0.0717741	0.0299329	0.030501	0.0447937	0.077415	0.153249	0.28212	0.310214
</S>	0.00657599	0.00517595	0.00963004	0.0188881	0.038621	0.120587	0.319466	0.481055
