 	la	cuisinière	a	mis	trop	de	sel	dans	la	nourriture	</S>
a23	0.316252	0.220984	0.101283	0.0713182	0.0726169	0.0668748	0.0520292	0.0390818	0.0232804	0.0165783	0.0197017
a10	0.340115	0.124389	0.0817516	0.0800222	0.0796443	0.0840275	0.0573154	0.0425931	0.034728	0.0318678	0.043547
a87	0.147185	0.10032	0.0959046	0.0928338	0.101519	0.107725	0.0751094	0.046762	0.050194	0.0689867	0.11346
a23	0.128068	0.0809831	0.0798153	0.0842078	0.0977112	0.0989398	0.0785801	0.0642923	0.0670914	0.0853517	0.134959
a79	0.239338	0.12121	0.110639	0.0926738	0.085538	0.0646637	0.046868	0.0411782	0.0452609	0.0533404	0.0992896
a44	0.302718	0.244113	0.174776	0.0838555	0.06155	0.034411	0.0225668	0.0139943	0.0148807	0.0222632	0.0248716
a54	0.213684	0.237041	0.183681	0.119105	0.0952549	0.0587951	0.034135	0.0148725	0.0121973	0.0154131	0.0158209
a7	0.121045	0.155628	0.146315	0.128192	0.128441	0.104039	0.0842465	0.0381339	0.0287819	0.0312573	0.0339181
a54	0.0857161	0.116799	0.127839	0.129756	0.134996	0.115055	0.0938513	0.0466124	0.0405193	0.0485681	0.0602873
a7	0.0615763	0.0891155	0.109068	0.116758	0.122711	0.117142	0.119407	0.0650114	0.0539986	0.063709	0.0815033
a12	0.0618934	0.0859484	0.109477	0.121149	0.127998	0.109457	0.100328	0.061073	0.0550972	0.0705322	0.097047
a96	0.0723678	0.0871023	0.122608	0.159531	0.156162	0.117727	0.0869263	0.0480854	0.0377669	0.0466796	0.065044
a88	0.0509029	0.0603905	0.0942729	0.147593	0.159953	0.134818	0.110917	0.0667497	0.0482122	0.0532707	0.0729196
a0	0.0393121	0.0423789	0.0616285	0.114478	0.140436	0.142561	0.145538	0.0991486	0.0657884	0.0645936	0.0841375
a31	0.0260415	0.0254052	0.0411438	0.0894517	0.128474	0.155186	0.180618	0.115777	0.0733882	0.0704249	0.0940894
a88	0.0463512	0.0418733	0.0466903	0.0723102	0.0998039	0.12416	0.157456	0.128633	0.0891682	0.0834428	0.110112
a9	0.0328394	0.0283179	0.0367045	0.0587664	0.0785354	0.114095	0.193471	0.179311	0.105312	0.0777038	0.0949424
a53	0.0120505	0.0113078	0.0221275	0.0452188	0.0722932	0.123021	0.205251	0.163957	0.115596	0.0979278	0.131249
a58	0.0167647	0.0161764	0.0208108	0.0292429	0.0350614	0.0501298	0.0920468	0.122725	0.146625	0.178917	0.291501
a15	0.0077815	0.00616289	0.0104293	0.0187547	0.0246443	0.0416666	0.0975762	0.167292	0.179519	0.164809	0.281364
a0	0.00693322	0.00500413	0.00657639	0.0101602	0.0123951	0.0187713	0.0450652	0.0766479	0.121711	0.219463	0.477273
a90	0.00577972	0.00372371	0.00564824	0.010135	0.0126618	0.0200505	0.0499243	0.0973706	0.139084	0.211844	0.443778
a44	0.00253965	0.00190888	0.00335406	0.00640425	0.00781064	0.0135907	0.0379788	0.0945497	0.169432	0.243228	0.419203
a96	0.0014735	0.00081618	0.00125469	0.00276864	0.00346121	0.00629336	0.017064	0.0478377	0.119768	0.26122	0.538043
a18	0.00113176	0.000516309	0.000510499	0.00101744	0.0013681	0.0029702	0.00798494	0.0280231	0.0930012	0.249416	0.614061
a27	0.00108941	0.00049136	0.000436596	0.00073852	0.00103552	0.00251183	0.0064379	0.0237161	0.0935977	0.256534	0.613411
a82	0.0100421	0.00491997	0.00409002	0.00495986	0.00558569	0.0097465	0.0190416	0.043764	0.121841	0.252098	0.523912
a87	0.169332	0.0765385	0.0336312	0.0270361	0.0227052	0.0273452	0.043291	0.0714744	0.11316	0.155005	0.260481
a23	0.286471	0.162007	0.0729875	0.0568509	0.047674	0.0440711	0.0512695	0.0620201	0.0645024	0.0655214	0.0866248
a87	0.102343	0.0531698	0.0248479	0.0206285	0.0163499	0.017811	0.0299852	0.0851151	0.157858	0.217924	0.273968
</S>	0.0102731	0.00506158	0.00324212	0.00480979	0.00592058	0.00934919	0.0211567	0.06844	0.159436	0.29949	0.412821
