 	il	n	'	y	en	a	pas	assez	pour	moi	</S>
a23	0.257949	0.191791	0.105085	0.0844561	0.0481511	0.0341948	0.0360824	0.0460818	0.060011	0.0737284	0.0624698
a87	0.420995	0.175059	0.0815824	0.0623885	0.0604158	0.0417397	0.0328835	0.0283596	0.0316148	0.0335636	0.031398
a23	0.235246	0.148709	0.0996671	0.0662861	0.0736759	0.0644272	0.0673579	0.0658068	0.06417	0.0606796	0.0539744
a10	0.223401	0.153648	0.103042	0.0579496	0.0411128	0.036695	0.0488326	0.0562815	0.0754449	0.0986229	0.104969
a87	0.153562	0.170182	0.16617	0.0916855	0.0560634	0.0415727	0.0402271	0.0375474	0.0521815	0.0808788	0.10993
a10	0.0826682	0.0937379	0.0887485	0.0624128	0.0503449	0.0517311	0.0629428	0.0691528	0.0948093	0.14997	0.193482
a87	0.0759565	0.0879321	0.0831361	0.0634514	0.0517451	0.0530376	0.06804	0.0714016	0.0936454	0.148827	0.202827
a23	0.0926572	0.0948026	0.0728851	0.0639509	0.0740242	0.0783968	0.0961731	0.0942081	0.109244	0.11932	0.104338
a40	0.0921829	0.0968432	0.0980059	0.0648851	0.0544349	0.0574004	0.073983	0.0751903	0.0877398	0.127596	0.171738
a30	0.358623	0.255445	0.139557	0.0642147	0.0545265	0.0443507	0.0312727	0.0147661	0.0108737	0.0117868	0.0145843
a73	0.207704	0.242777	0.233728	0.129592	0.0861664	0.0441535	0.0233772	0.0119524	0.00802149	0.00667073	0.00585723
a94	0.167769	0.186234	0.211369	0.140812	0.116333	0.0728695	0.0417153	0.0241346	0.015204	0.0125945	0.010965
a54	0.129368	0.152578	0.193299	0.148247	0.13085	0.0917053	0.0545184	0.0346201	0.0242637	0.0211469	0.0194032
a73	0.101771	0.122997	0.181644	0.170997	0.140626	0.10861	0.0654802	0.0398582	0.0253646	0.0217834	0.0208683
a36	0.114286	0.136406	0.200961	0.192893	0.143773	0.0879197	0.0464037	0.0293375	0.0179669	0.0152286	0.0148238
a24	0.0845781	0.0903571	0.152199	0.184359	0.163026	0.112143	0.0643978	0.0473278	0.0331953	0.0322994	0.0361175
a31	0.0773673	0.0766558	0.12384	0.182522	0.186502	0.135356	0.0706479	0.0436125	0.0315939	0.0326066	0.0392955
a24	0.0583854	0.062298	0.0977075	0.145993	0.172548	0.161913	0.102744	0.0636848	0.0452477	0.0414033	0.0480761
a25	0.0514063	0.0471505	0.075617	0.127829	0.160546	0.158144	0.113303	0.0834185	0.0600017	0.0551287	0.0674556
a38	0.0360658	0.0285273	0.0482282	0.0887843	0.147674	0.174241	0.123997	0.0904221	0.0709653	0.0815191	0.109576
a75	0.0363352	0.0352078	0.0629351	0.0971673	0.133184	0.158224	0.123944	0.0999786	0.0727822	0.07513	0.105111
a73	0.0315046	0.0349779	0.0528506	0.0716938	0.0908894	0.123128	0.124113	0.128086	0.104836	0.106761	0.131161
a94	0.0199483	0.0188611	0.028095	0.0413033	0.0560228	0.0883648	0.119549	0.158428	0.125492	0.144258	0.199678
a20	0.0208049	0.0182068	0.023747	0.0321304	0.0384665	0.0556486	0.083446	0.150054	0.144495	0.177683	0.255318
a84	0.0137997	0.0134828	0.0226549	0.0304423	0.0393382	0.0559084	0.0739096	0.133613	0.149545	0.191834	0.275472
a57	0.00341935	0.0027132	0.00429957	0.00715337	0.0117036	0.0219932	0.0398837	0.103758	0.171017	0.25727	0.37679
a87	0.00375776	0.0028437	0.00375257	0.00529743	0.00762442	0.0123449	0.0224601	0.0680357	0.138601	0.259204	0.476078
</S>	0.00327167	0.00346591	0.00535659	0.00741542	0.0108133	0.0194272	0.0414552	0.0882767	0.160444	0.276052	0.384023
