 	c'	est	un	enfant	avancé	pour	son	âge	</S>
a10	0.220074	0.180135	0.132363	0.098238	0.109237	0.0736839	0.0636796	0.0623955	0.060195
a87	0.11957	0.0911934	0.0866965	0.0799879	0.110655	0.0727021	0.0907151	0.14959	0.19889
a23	0.173076	0.140376	0.118038	0.0987564	0.100099	0.052974	0.0648487	0.106939	0.144892
a20	0.208777	0.226219	0.184228	0.102187	0.102709	0.0427098	0.0448714	0.0439323	0.0443663
a73	0.486938	0.314048	0.117821	0.034375	0.0206743	0.00878436	0.00577708	0.00531573	0.00626533
a54	0.482572	0.290085	0.110546	0.0447794	0.0331239	0.0164133	0.0101333	0.00658859	0.00575746
a14	0.302297	0.255559	0.164701	0.0960954	0.0745964	0.045144	0.029327	0.0175631	0.0147172
a44	0.265353	0.243859	0.168795	0.112354	0.0852795	0.0522362	0.0352911	0.0205565	0.016275
a26	0.213189	0.221101	0.184518	0.139818	0.10112	0.0579776	0.0372314	0.0239794	0.0210665
a56	0.168488	0.192623	0.178107	0.164807	0.113521	0.0681203	0.0470771	0.0344512	0.0328049
a35	0.162139	0.190735	0.194596	0.175905	0.104629	0.063336	0.04514	0.0312719	0.0322478
a90	0.111731	0.142948	0.159049	0.169748	0.126064	0.093361	0.0822457	0.060735	0.054117
a69	0.10595	0.125408	0.130061	0.167976	0.146152	0.112535	0.092212	0.062769	0.0569365
a4	0.100577	0.110227	0.111213	0.143178	0.142665	0.120007	0.1076	0.0802432	0.0842891
a20	0.101766	0.0973405	0.0931026	0.108732	0.123948	0.127817	0.130659	0.104709	0.111925
a44	0.0512148	0.0615269	0.0660805	0.0861851	0.100004	0.130724	0.163616	0.167515	0.173133
a54	0.0704721	0.078932	0.0812488	0.0887657	0.112385	0.132061	0.156089	0.140036	0.140011
a41	0.0467049	0.055184	0.0581007	0.0707519	0.0755297	0.119166	0.163515	0.192194	0.218854
a44	0.0603	0.071275	0.0759438	0.110087	0.108282	0.111186	0.123449	0.157691	0.181786
a54	0.0568535	0.0668563	0.0715427	0.0787782	0.0914579	0.113196	0.144502	0.175414	0.2014
a73	0.0349731	0.0464068	0.0554148	0.0662433	0.0623213	0.0971602	0.147138	0.215365	0.274978
a44	0.0237981	0.0346779	0.0485247	0.0765145	0.0955278	0.128572	0.15293	0.203813	0.235642
a26	0.0284658	0.0344813	0.044073	0.0627005	0.0780667	0.111045	0.159337	0.217831	0.264
a54	0.0203536	0.0210402	0.0258737	0.0403732	0.0652359	0.128894	0.16396	0.230602	0.303668
a73	0.0402245	0.0488481	0.0553549	0.0701652	0.0620115	0.0751963	0.122956	0.218794	0.306449
a15	0.0179101	0.0249191	0.0339138	0.0548682	0.0693889	0.119864	0.147104	0.225349	0.306683
a73	0.0190258	0.0237688	0.0300691	0.0461642	0.0527265	0.0904488	0.125331	0.232783	0.379683
a84	0.0172133	0.0227584	0.0300524	0.0477452	0.0621724	0.111811	0.145882	0.2335	0.328866
a40	0.00478198	0.00606789	0.00822465	0.0132374	0.0224116	0.0752269	0.156619	0.310541	0.40289
a54	0.0290558	0.032902	0.0403254	0.0583908	0.0769947	0.0878179	0.127679	0.222734	0.3241
a73	0.0265121	0.0338814	0.0447782	0.0605403	0.0657935	0.0819637	0.119744	0.225822	0.340966
a84	0.0166059	0.0248653	0.0362612	0.0530431	0.0628721	0.0776818	0.10866	0.240962	0.379048
a57	0.00443787	0.00677736	0.011121	0.0181717	0.0234011	0.0534447	0.108073	0.311532	0.463041
a87	0.00590811	0.00686476	0.008657	0.0128434	0.0152919	0.0407057	0.0935101	0.326483	0.489736
a23	0.0138529	0.013514	0.0119047	0.0127938	0.0175742	0.0571213	0.117417	0.341525	0.414297
a87	0.0649063	0.0485359	0.028539	0.017587	0.0156687	0.0557206	0.130371	0.290536	0.348136
a23	0.0161361	0.0171068	0.0159294	0.0191959	0.0278206	0.0768776	0.156362	0.323731	0.34684
a87	0.0836532	0.0696104	0.0433008	0.029394	0.0266226	0.0799477	0.124647	0.230821	0.312003
</S>	0.0250682	0.0245327	0.0200329	0.0201727	0.0262955	0.0803824	0.141156	0.295711	0.366649
