 	pourquoi	tu	te	trompes	</S>
a66	0.551381	0.161059	0.0876491	0.0962675	0.103643
a87	0.393959	0.200373	0.158319	0.174814	0.0725345
a23	0.393272	0.268693	0.17187	0.120569	0.0455964
a34	0.369096	0.220843	0.167127	0.157734	0.0852015
a56	0.61059	0.223834	0.103968	0.0442653	0.0173429
a69	0.392331	0.247636	0.191443	0.130397	0.0381927
a93	0.206834	0.205326	0.213515	0.311368	0.0629573
a75	0.118803	0.135503	0.190988	0.393105	0.161601
a98	0.110743	0.088055	0.126129	0.377845	0.297229
a47	0.111516	0.0869722	0.105795	0.285089	0.410627
a56	0.0242198	0.0365701	0.07717	0.241377	0.620663
a34	0.0047383	0.00784569	0.0229751	0.100644	0.863797
a93	0.00301133	0.00544725	0.0150497	0.0753668	0.901125
a70	0.00535281	0.00938203	0.0216219	0.0914038	0.87224
a66	0.0234805	0.0433458	0.058011	0.194387	0.680776
a71	0.187647	0.132703	0.114373	0.195079	0.370199
a9	0.396858	0.177638	0.106807	0.141163	0.177535
a87	0.509937	0.200929	0.0987925	0.112897	0.0774441
a23	0.243271	0.179159	0.175188	0.236657	0.165724
a87	0.0553165	0.079591	0.130417	0.300649	0.434027
</S>	0.0149498	0.0250063	0.0783119	0.26883	0.612903
