 	les	pêcheurs	sont	en	train	d'	attraper	les	poissons	</S>
a66	0.457931	0.177623	0.0982059	0.0759088	0.0631465	0.0530791	0.0338048	0.0196891	0.0119686	0.00864319
a97	0.325522	0.128621	0.0751389	0.0640478	0.0577367	0.0653468	0.0748454	0.0697672	0.0804541	0.0585205
a40	0.200851	0.19905	0.136528	0.0903381	0.0841633	0.0865407	0.0753078	0.046182	0.0422649	0.0387748
a6	0.387703	0.276855	0.111344	0.0609386	0.0468886	0.0356249	0.0270281	0.0203917	0.0174916	0.0157346
a36	0.371611	0.258436	0.145737	0.0738354	0.0499467	0.0390179	0.0176207	0.0170658	0.0144207	0.0123086
a75	0.207844	0.240794	0.184733	0.113641	0.0783535	0.0723492	0.0314971	0.0304513	0.022319	0.0180177
a25	0.310293	0.270382	0.158556	0.0939583	0.0628233	0.0511708	0.0199275	0.015272	0.010013	0.00760362
a85	0.232756	0.209331	0.17104	0.124715	0.0885804	0.0633602	0.0362013	0.0284505	0.0234075	0.0221577
a5	0.120901	0.13823	0.146857	0.128184	0.104786	0.0899003	0.0762144	0.068896	0.0636304	0.0624012
a37	0.0943614	0.115608	0.15926	0.15035	0.129437	0.104545	0.073272	0.0558422	0.0568075	0.0605172
a85	0.0492187	0.0766929	0.135461	0.149958	0.142083	0.12576	0.0950727	0.0716812	0.0712869	0.0827854
a47	0.0155456	0.0311447	0.0736373	0.106997	0.124725	0.148722	0.142531	0.109182	0.110196	0.13732
a36	0.00254811	0.00631282	0.0222168	0.0428946	0.0622691	0.099172	0.127899	0.141179	0.20755	0.287959
a61	0.000874823	0.00120105	0.00378805	0.00689448	0.0119804	0.0251798	0.0593424	0.14305	0.310944	0.436745
a75	0.0030859	0.00493622	0.0116201	0.0191068	0.0292412	0.0500248	0.0921013	0.168298	0.274079	0.347506
a85	0.00104054	0.00197107	0.00564874	0.010378	0.017773	0.033057	0.0675563	0.134471	0.293231	0.434873
a6	0.000669761	0.0010966	0.00299155	0.00517257	0.00826546	0.0165655	0.0406543	0.113082	0.305028	0.506474
a0	0.000283564	0.000414036	0.00115059	0.00234843	0.00474919	0.0126122	0.0363643	0.102588	0.287237	0.552252
a11	0.000712867	0.000668496	0.00218512	0.00494367	0.00976308	0.0246178	0.0657654	0.116231	0.276626	0.498487
a88	0.00349888	0.00217176	0.00537724	0.0129867	0.0227508	0.0495646	0.09018	0.132794	0.244547	0.436128
a71	0.00238985	0.00160151	0.00393813	0.00957822	0.0184465	0.0441953	0.0862898	0.136142	0.245267	0.452152
a9	0.0138022	0.0112496	0.0192121	0.0316329	0.0490471	0.0830599	0.109613	0.12711	0.192499	0.362774
a97	0.0423087	0.0334774	0.0417996	0.0591854	0.0877006	0.135742	0.148602	0.131833	0.138769	0.180583
a10	0.0592292	0.0398648	0.0491933	0.0665956	0.105203	0.160505	0.165478	0.126898	0.108465	0.118568
a82	0.0633199	0.0322435	0.0254624	0.0285479	0.0460956	0.105322	0.162611	0.178575	0.176305	0.181518
</S>	0.0316284	0.021675	0.0216525	0.0278994	0.0465127	0.114673	0.187016	0.180586	0.185847	0.182509
