 	mange	d'	abord	tu	partiras	ensuite	</S>
a87	0.231934	0.266509	0.206075	0.0796613	0.0529216	0.0505343	0.112365
a23	0.258958	0.199249	0.115862	0.109423	0.108861	0.0944244	0.113223
a38	0.281555	0.217277	0.179874	0.107157	0.0776513	0.0570706	0.0794155
a30	0.301358	0.277347	0.208148	0.124068	0.064541	0.0172321	0.00730563
a35	0.204116	0.256463	0.287398	0.172387	0.0563482	0.0159439	0.00734365
a66	0.229133	0.250898	0.25553	0.156587	0.0687791	0.0270163	0.0120568
a38	0.127374	0.175447	0.248005	0.24747	0.121265	0.0533174	0.0271221
a54	0.129869	0.182403	0.239349	0.234497	0.127692	0.0576741	0.0285153
a73	0.207714	0.211808	0.200187	0.165201	0.115356	0.0678638	0.0318699
a35	0.211959	0.19947	0.172242	0.165386	0.133967	0.0788008	0.0381746
a66	0.153974	0.151481	0.154502	0.214589	0.186526	0.0922006	0.0467273
a38	0.0537607	0.0691546	0.0857422	0.197298	0.274405	0.19931	0.120329
a30	0.0234757	0.0360182	0.0638337	0.199616	0.320237	0.217468	0.139352
a14	0.0195378	0.0260512	0.0456897	0.149411	0.297228	0.261041	0.201041
a44	0.0251674	0.0288709	0.0482907	0.11225	0.237871	0.254312	0.293238
a26	0.0186596	0.0226129	0.0374362	0.0804691	0.204135	0.283544	0.353144
a38	0.00462721	0.00765646	0.016018	0.0626116	0.194875	0.33036	0.383853
a14	0.00463418	0.00710403	0.0143366	0.0621607	0.186853	0.304302	0.42061
a35	0.00531461	0.00663871	0.013855	0.0360345	0.0879508	0.257162	0.593045
a73	0.00359399	0.00431283	0.00941898	0.0302439	0.085269	0.245146	0.622015
a90	0.00264079	0.00415509	0.00963816	0.0445785	0.130744	0.239322	0.568921
a38	0.00124651	0.00214418	0.00567125	0.0337358	0.104641	0.251778	0.600784
a76	0.00163271	0.00244815	0.00513083	0.0254491	0.0820752	0.208018	0.675246
a94	0.00311894	0.00414749	0.00769635	0.0388713	0.11844	0.206562	0.621163
a98	0.00189434	0.00278282	0.00583977	0.0273027	0.0862173	0.204917	0.671046
a76	0.00338497	0.00618745	0.012243	0.0433495	0.108247	0.207493	0.619095
a94	0.00284092	0.00443936	0.00788851	0.0290569	0.0893896	0.194492	0.671893
a98	0.00274947	0.0038493	0.00721079	0.0307783	0.0881294	0.213604	0.653679
a90	0.00541829	0.00870995	0.0139979	0.0355919	0.0806948	0.217196	0.638391
a58	0.00349836	0.00404379	0.00618127	0.0206352	0.0634206	0.193195	0.709026
a57	0.00929315	0.0141313	0.0197444	0.0356469	0.0776462	0.209093	0.634445
a87	0.015381	0.0257692	0.0405077	0.0535999	0.087705	0.181133	0.595904
a23	0.037731	0.0463575	0.0604862	0.0759657	0.107531	0.195548	0.47638
a87	0.0919314	0.0824609	0.105698	0.13958	0.171876	0.169999	0.238455
a23	0.0280285	0.0278158	0.0390479	0.0763764	0.147363	0.269963	0.411406
a87	0.078979	0.067332	0.074823	0.101478	0.150417	0.211934	0.315037
</S>	0.0322475	0.0262356	0.0295068	0.0604643	0.121599	0.293642	0.436305
