 	pour	quel	intérêt	tisses-tu	des	nasses	</S>
a66	0.359046	0.30409	0.174625	0.101968	0.0312316	0.0166345	0.0124042
a87	0.233238	0.142639	0.173782	0.21017	0.0860057	0.0757913	0.078374
a97	0.141808	0.164227	0.232215	0.231185	0.0940358	0.0702753	0.0662542
a87	0.215217	0.330192	0.245154	0.112565	0.0364206	0.029698	0.0307538
a97	0.204185	0.328723	0.237612	0.110852	0.0433673	0.0363895	0.0388717
a87	0.222112	0.319898	0.245464	0.116174	0.0364686	0.0295208	0.0303628
a97	0.220524	0.29077	0.256737	0.130891	0.038361	0.0310059	0.0317109
a23	0.220104	0.289483	0.234583	0.133921	0.0447773	0.0378173	0.0393144
a79	0.284479	0.261062	0.20156	0.138243	0.0413137	0.0348596	0.0384819
a90	0.440113	0.286872	0.112736	0.0628076	0.0293822	0.0311717	0.0369179
a93	0.451612	0.250781	0.103441	0.0576765	0.0405348	0.0429894	0.0529655
a4	0.34266	0.244621	0.144349	0.0830121	0.059381	0.0577019	0.068275
a90	0.325478	0.25072	0.16805	0.092217	0.0587109	0.0505763	0.054248
a56	0.225395	0.237362	0.202816	0.11014	0.0736347	0.072093	0.0785603
a34	0.168789	0.236276	0.225725	0.124848	0.0824866	0.0796039	0.0822715
a12	0.160488	0.254	0.259441	0.137123	0.0649661	0.0590998	0.0648824
a47	0.124007	0.214888	0.259597	0.165167	0.0832343	0.0716823	0.0814252
a88	0.098586	0.165062	0.243955	0.182182	0.0977521	0.0950707	0.117392
a94	0.0577678	0.113659	0.216692	0.221218	0.125254	0.118047	0.147363
a90	0.0526309	0.108921	0.217021	0.243681	0.137823	0.110276	0.129646
a92	0.0339206	0.0708942	0.167641	0.250681	0.182334	0.140056	0.154473
a56	0.0197054	0.0393362	0.112655	0.208331	0.215745	0.18449	0.219738
a96	0.0130575	0.0266177	0.0819443	0.173719	0.227301	0.211307	0.266053
a88	0.00537703	0.00752782	0.0267144	0.0838989	0.174711	0.272438	0.429333
a31	0.0021807	0.00292801	0.0115853	0.0470529	0.131138	0.276592	0.528523
a47	0.00185963	0.002499	0.00997943	0.0437488	0.117804	0.270257	0.553852
a31	0.00188457	0.00243062	0.00858307	0.0406152	0.14486	0.305991	0.495636
a88	0.00106299	0.00167882	0.00621077	0.0282515	0.123887	0.306607	0.532302
a38	0.000531052	0.000697102	0.00401238	0.0231713	0.114344	0.291986	0.565258
a9	0.00196347	0.00178277	0.0077604	0.0309522	0.108758	0.268922	0.579861
a10	0.0191043	0.012998	0.0529514	0.140686	0.179342	0.237321	0.357596
a97	0.0511398	0.0334492	0.0664937	0.164201	0.228629	0.234501	0.221586
a3	0.035113	0.0313804	0.0784194	0.21693	0.232117	0.218211	0.187829
a97	0.041205	0.0367542	0.0759707	0.154237	0.200101	0.244264	0.247467
a3	0.0376691	0.0453888	0.0846799	0.120006	0.158574	0.239844	0.313839
a97	0.0648284	0.0671211	0.09122	0.112709	0.141657	0.217037	0.305427
a87	0.0745713	0.0927226	0.123192	0.136482	0.140393	0.188532	0.244107
a97	0.0575032	0.0744955	0.105833	0.122661	0.151484	0.2131	0.274923
a82	0.0499933	0.0465382	0.0742985	0.0990511	0.156294	0.236345	0.33748
a87	0.0944709	0.0706802	0.0934831	0.112208	0.136988	0.201128	0.291041
</S>	0.107181	0.0875143	0.110341	0.125342	0.143031	0.188171	0.23842
