 	cet	homme	a	chanté	un	chant	de	tristesse	</S>
a66	0.252277	0.18118	0.131215	0.117631	0.132071	0.0976225	0.0468471	0.0254118	0.0157449
a87	0.319702	0.197597	0.141179	0.126653	0.106663	0.0580104	0.0242527	0.0148458	0.0110968
a23	0.312189	0.228607	0.159607	0.146875	0.0836133	0.0317074	0.0138613	0.0113571	0.0121821
a99	0.345696	0.232181	0.150471	0.132408	0.0544441	0.025919	0.0162422	0.0190678	0.0235709
a30	0.26447	0.173793	0.136155	0.136071	0.087968	0.0695802	0.0394883	0.0418792	0.0505954
a4	0.260481	0.166719	0.13522	0.13205	0.0979867	0.0756984	0.0435611	0.0405054	0.0477787
a93	0.224869	0.188467	0.185616	0.155242	0.118306	0.0691507	0.025774	0.0184437	0.0141316
a69	0.129205	0.164056	0.183226	0.186737	0.144426	0.101635	0.0429745	0.0292776	0.0184636
a53	0.0993701	0.140803	0.165288	0.183325	0.143395	0.104675	0.0635239	0.0542026	0.0454174
a15	0.0719979	0.116098	0.151918	0.174167	0.13609	0.103186	0.0770938	0.0817905	0.0876591
a79	0.0768049	0.1159	0.153142	0.172328	0.147412	0.0968956	0.0721098	0.078398	0.0870105
a37	0.0943561	0.140821	0.160523	0.171155	0.141329	0.0963451	0.0660155	0.065825	0.0636295
a56	0.073327	0.0947194	0.101169	0.126351	0.12735	0.0993514	0.0911789	0.123458	0.163096
a44	0.0482804	0.0570515	0.0624285	0.0900753	0.12165	0.12066	0.116733	0.161625	0.221497
a70	0.0402067	0.041611	0.0426188	0.0596816	0.104016	0.144032	0.147638	0.185454	0.234742
a93	0.0231604	0.0220507	0.022249	0.0300096	0.0540509	0.106888	0.170216	0.237814	0.333561
a70	0.0202183	0.0181149	0.0181462	0.0242844	0.0471476	0.114154	0.196094	0.256541	0.305299
a99	0.0102512	0.00827365	0.00779003	0.00932237	0.0173069	0.054876	0.181797	0.31293	0.397453
a54	0.00883401	0.0068751	0.00617854	0.00667573	0.0109263	0.0351	0.144565	0.296634	0.484212
a36	0.00325019	0.00226356	0.00212136	0.00260232	0.0052585	0.0190514	0.0972602	0.269548	0.598645
a37	0.00469041	0.00312269	0.00334172	0.00369127	0.00727632	0.0237131	0.101732	0.235199	0.617234
a66	0.0135519	0.00930736	0.0107824	0.0104107	0.0157998	0.0318563	0.0986273	0.216321	0.593344
a71	0.0455282	0.031035	0.0302231	0.0252333	0.0282161	0.0413019	0.0979058	0.188881	0.511675
a38	0.0691716	0.0458363	0.0375633	0.0289271	0.0302021	0.0434657	0.101824	0.183671	0.459339
a27	0.0381889	0.0250071	0.021761	0.0203041	0.0210628	0.0379089	0.111577	0.231312	0.492878
a30	0.170828	0.101733	0.071299	0.0559905	0.0481833	0.0480412	0.0869619	0.141137	0.275826
a87	0.268115	0.184404	0.113128	0.0870436	0.0522339	0.0358904	0.0490959	0.0754719	0.134617
a23	0.234653	0.175641	0.114701	0.0925053	0.0611209	0.041068	0.058365	0.0858127	0.136133
a87	0.131765	0.085621	0.0548419	0.0484941	0.0370426	0.0428567	0.114828	0.211605	0.272946
a23	0.0588751	0.0471957	0.0382459	0.0405846	0.0361465	0.0477674	0.1449	0.249186	0.337099
a87	0.0858983	0.0735142	0.0581667	0.0561734	0.05311	0.0647418	0.145348	0.216086	0.246962
a10	0.0795905	0.0670453	0.0529651	0.0525199	0.0528021	0.0707582	0.157285	0.21711	0.249924
</S>	0.0834822	0.0755929	0.0603461	0.0573165	0.0629352	0.0867665	0.172104	0.207921	0.193535
