 	cette	femme	qui	a	quitté	son	mari	a	un	grave	problème	</S>
a66	0.215391	0.156866	0.115243	0.109165	0.113528	0.109831	0.0846168	0.036744	0.0185521	0.0136083	0.0133112	0.0131427
a82	0.181817	0.127939	0.110778	0.107401	0.123904	0.0997888	0.0783552	0.043646	0.0281575	0.0244057	0.0354449	0.0383621
a30	0.320865	0.220109	0.164672	0.1114	0.0634395	0.0293987	0.0173776	0.00946873	0.00772556	0.00955621	0.0183746	0.027613
a93	0.224268	0.210194	0.175166	0.158698	0.0902237	0.0371071	0.0224199	0.00974359	0.00811622	0.00815776	0.0249014	0.031005
a56	0.288178	0.204264	0.152241	0.112067	0.0640584	0.0376667	0.0318143	0.0195893	0.0164418	0.0162607	0.0257873	0.0316311
a62	0.277139	0.257066	0.179608	0.132051	0.0703051	0.0289103	0.0175504	0.00844417	0.00626093	0.00631402	0.00813404	0.00821686
a47	0.155389	0.201838	0.205266	0.185074	0.121756	0.0532539	0.0294096	0.0125232	0.00895175	0.00795158	0.00911589	0.0094709
a62	0.155372	0.186209	0.18853	0.174425	0.126914	0.0627545	0.0334996	0.0156568	0.0127834	0.0120872	0.0143975	0.0173712
a56	0.117711	0.14167	0.15891	0.170122	0.146659	0.0928861	0.0578398	0.0306126	0.0214879	0.0176065	0.0208533	0.0236432
a75	0.0917774	0.108341	0.133331	0.162916	0.15825	0.118087	0.0743663	0.0391696	0.0294702	0.0254584	0.0278601	0.0309731
a56	0.0488958	0.057585	0.0865861	0.133015	0.154891	0.14699	0.109649	0.0663741	0.0540996	0.0507578	0.045004	0.0461522
a25	0.0537609	0.0658152	0.103821	0.155295	0.17087	0.152247	0.111282	0.0567708	0.0364509	0.0293268	0.0312481	0.0331115
a98	0.0354476	0.0525424	0.0926384	0.13161	0.13717	0.145365	0.124146	0.0850055	0.0606002	0.0478909	0.0422449	0.045339
a85	0.0276471	0.0316384	0.0491991	0.0739652	0.0889286	0.112212	0.11302	0.108688	0.102001	0.0976631	0.0986809	0.0963567
a47	0.0119112	0.0135675	0.0241485	0.0427642	0.059721	0.0939474	0.105845	0.119896	0.119695	0.121902	0.133938	0.152665
a92	0.00630436	0.0063208	0.0103221	0.0202653	0.0298497	0.0429938	0.0495191	0.0633293	0.083563	0.135617	0.224845	0.327071
a37	0.00486441	0.00474906	0.00829062	0.0192498	0.0312351	0.0502424	0.0594162	0.0874618	0.123243	0.152564	0.204694	0.253989
a98	0.00715411	0.00602779	0.00852131	0.0163703	0.0255268	0.0484683	0.0580838	0.0900243	0.125629	0.156138	0.194571	0.263485
a85	0.00133034	0.00109694	0.0016503	0.0034693	0.00622796	0.0133026	0.0196385	0.0450452	0.0998596	0.175051	0.259666	0.373662
a6	0.000902839	0.000707612	0.000983555	0.00200142	0.00359474	0.00811054	0.0132269	0.0393301	0.103466	0.199839	0.261435	0.366402
a37	0.00131376	0.000957948	0.00124248	0.00236811	0.00391264	0.0101577	0.0182531	0.0499119	0.112642	0.176618	0.267631	0.354991
a98	0.00364501	0.00234277	0.00216007	0.0022957	0.00261012	0.00474712	0.00773567	0.0248531	0.0664718	0.158785	0.272899	0.451455
a47	0.000648075	0.000463458	0.000571625	0.000780563	0.00117685	0.00264806	0.00529458	0.0194039	0.0552495	0.13986	0.304371	0.469533
a6	0.00225412	0.00185179	0.00208709	0.00212337	0.00261331	0.00416656	0.00585627	0.0165896	0.0425829	0.107379	0.273107	0.539389
a36	0.00133683	0.00100885	0.00114089	0.00120307	0.001498	0.00281154	0.00488913	0.0155264	0.0413774	0.107716	0.275608	0.545884
a2	0.00988198	0.00816545	0.00851833	0.00685828	0.00783149	0.0116115	0.0123488	0.0286182	0.0592801	0.127994	0.247465	0.471426
a57	0.0867344	0.0570411	0.0542867	0.0441295	0.0407324	0.0455192	0.0367112	0.0457924	0.0625812	0.100022	0.160014	0.266436
a87	0.210873	0.1125	0.0854589	0.0683854	0.0519254	0.0482502	0.0391891	0.0375912	0.0423882	0.0533122	0.105151	0.144975
a23	0.142905	0.0992972	0.0861576	0.0767285	0.0608783	0.0602137	0.0559443	0.0496591	0.0511108	0.0577846	0.122795	0.136526
a97	0.0264613	0.0164473	0.0130733	0.00895984	0.00752088	0.0103375	0.0133636	0.0266104	0.0588584	0.136904	0.353568	0.327895
a87	0.00719999	0.00464268	0.004738	0.0046578	0.00575043	0.0110703	0.014726	0.0309666	0.066846	0.16039	0.297112	0.3919
</S>	0.0150131	0.0104763	0.0100947	0.00901587	0.00865274	0.0127312	0.0145492	0.0242036	0.052897	0.140086	0.282264	0.420016
