 	la	manière	dont	il	est	toujours	présent	là	où	on	cuisine	exprime	sa	avidité	</S>
a66	0.0979391	0.0681379	0.068254	0.102024	0.137447	0.167964	0.101582	0.0471983	0.049881	0.045567	0.044451	0.0336669	0.0153274	0.0118583	0.00870102
a87	0.265354	0.13216	0.109333	0.0784553	0.0546751	0.0485551	0.0613251	0.0489177	0.0240022	0.018976	0.0224909	0.0255205	0.0279707	0.0378872	0.0443778
a23	0.279509	0.174799	0.168263	0.100588	0.0618448	0.0449108	0.0332299	0.0257846	0.012225	0.00970415	0.0118211	0.0146448	0.0137818	0.0205558	0.0283386
a50	0.208659	0.181194	0.224793	0.0979902	0.0477279	0.0333224	0.0266239	0.0260007	0.0141513	0.0134678	0.0163169	0.0190626	0.0201345	0.0287373	0.041819
a88	0.208993	0.201353	0.230171	0.0946139	0.0443208	0.0309405	0.0209608	0.0140944	0.0102639	0.0105579	0.0132739	0.0142977	0.0213693	0.0339509	0.0508388
a71	0.289393	0.26367	0.171428	0.083202	0.0469989	0.0376483	0.0361612	0.011445	0.00735729	0.006644	0.00773392	0.00755789	0.00709485	0.010058	0.013607
a9	0.169111	0.213286	0.176467	0.104246	0.0684572	0.0494275	0.0584139	0.0308471	0.0201258	0.0174593	0.0189377	0.0171622	0.0149436	0.0184485	0.0226675
a10	0.167629	0.198825	0.17714	0.104714	0.0644413	0.0439179	0.0481375	0.0293541	0.0220574	0.0194469	0.0205774	0.0187976	0.020124	0.0268455	0.0379922
a62	0.135578	0.139049	0.1659	0.0978866	0.0602036	0.0401495	0.0364245	0.0275323	0.0277079	0.0273488	0.031057	0.031358	0.0429937	0.0621504	0.0746606
a12	0.12984	0.171566	0.170569	0.131427	0.0794448	0.045534	0.0473336	0.0439669	0.0261152	0.021104	0.0235103	0.0245161	0.0221031	0.0278448	0.0351246
a61	0.146982	0.174686	0.154097	0.138635	0.0948875	0.0591095	0.0617173	0.0459217	0.0249897	0.0182126	0.0186763	0.019278	0.0121779	0.0144403	0.0161901
a47	0.100974	0.121767	0.123534	0.132883	0.111772	0.0834721	0.0792656	0.0682783	0.041122	0.028761	0.0276545	0.0285762	0.0152234	0.0181616	0.0185546
a88	0.0653802	0.0727741	0.104616	0.121823	0.118333	0.0984251	0.0845542	0.0846387	0.0592189	0.0416912	0.040148	0.04071	0.0216617	0.0233237	0.0227029
a62	0.040741	0.0499614	0.0821293	0.11572	0.120243	0.103442	0.0960558	0.0963818	0.076849	0.0543213	0.0505436	0.0472912	0.0202219	0.0226991	0.0233993
a12	0.0230593	0.0274619	0.0507572	0.0984468	0.124795	0.124155	0.106185	0.115368	0.0979525	0.0684098	0.0569169	0.0450122	0.0199677	0.0204485	0.0210645
a18	0.0146188	0.0180782	0.0330741	0.0783554	0.123739	0.139283	0.113362	0.116952	0.111051	0.0806292	0.063271	0.0469985	0.020436	0.0196723	0.0204799
a38	0.0143337	0.0146845	0.0356229	0.0653316	0.103356	0.11205	0.0866952	0.128544	0.116802	0.0819249	0.0731058	0.057724	0.0329551	0.0344679	0.0424027
a62	0.015419	0.014294	0.0328014	0.0568731	0.0947288	0.113415	0.0718626	0.0970025	0.116562	0.0874864	0.071947	0.0546747	0.0475297	0.0556958	0.0697075
a21	0.0077802	0.00883642	0.0195898	0.0421375	0.0801204	0.107433	0.0892089	0.132411	0.145266	0.109812	0.0832526	0.0584366	0.0335458	0.033719	0.0484507
a47	0.00792573	0.00833242	0.0132053	0.0269071	0.0541379	0.0832119	0.0752055	0.110933	0.151778	0.137387	0.104873	0.0861723	0.051604	0.0433724	0.0449537
a21	0.0102235	0.0111666	0.0231327	0.0379172	0.0622487	0.0802959	0.0633223	0.0922266	0.135208	0.120423	0.0987268	0.0767912	0.0549491	0.0568465	0.0765223
a56	0.00581603	0.00580917	0.00917914	0.0184977	0.0368794	0.057377	0.0506187	0.0767295	0.129818	0.133471	0.110487	0.106827	0.0935796	0.0823166	0.0825934
a93	0.00539708	0.00596094	0.0101425	0.020275	0.0398463	0.0586506	0.0434905	0.0577273	0.105119	0.109626	0.0943465	0.0982878	0.106326	0.106993	0.137812
a90	0.00714286	0.0063643	0.0126187	0.0171504	0.0269179	0.0333863	0.023546	0.0394849	0.0738352	0.0782871	0.0770065	0.0894113	0.142018	0.16676	0.20607
a92	0.00195424	0.00207128	0.00390786	0.00874271	0.018695	0.0285981	0.0235284	0.0380874	0.0733741	0.0823364	0.0712809	0.0785346	0.125074	0.170513	0.273302
a44	0.0017136	0.00190212	0.00345897	0.00816398	0.018138	0.0289154	0.0253983	0.0451186	0.0737653	0.0796917	0.0645334	0.0740737	0.129411	0.173809	0.271907
a62	0.00176224	0.00177592	0.00322436	0.00584957	0.0119162	0.0175394	0.0125842	0.0239713	0.0468864	0.0532797	0.0458004	0.0560109	0.149122	0.211688	0.358589
a47	0.0019347	0.00195762	0.00315971	0.00567799	0.0119434	0.0190524	0.0147909	0.0315986	0.0522959	0.0564555	0.0452041	0.0573676	0.14627	0.202201	0.35009
a62	0.00350679	0.00320706	0.00521886	0.00767461	0.0144947	0.0206906	0.0141758	0.029801	0.0417285	0.0411806	0.0339753	0.0426831	0.12197	0.21584	0.403853
a21	0.00203971	0.00175946	0.00227796	0.00395182	0.0077761	0.012246	0.00901341	0.0175031	0.0344227	0.0378452	0.0326946	0.0520241	0.157444	0.247818	0.381184
a5	0.00135012	0.00118273	0.00149637	0.00254626	0.00490694	0.00759263	0.00651134	0.0119403	0.0242542	0.0281476	0.0265963	0.0465135	0.170035	0.282958	0.383969
a37	0.00114955	0.00104358	0.00129553	0.00214712	0.00409242	0.00636789	0.00562802	0.0117814	0.0215641	0.0243853	0.0221196	0.0379576	0.163691	0.291386	0.40539
a66	0.000692406	0.000643062	0.000925672	0.00145672	0.00258212	0.00358454	0.00314274	0.00745065	0.0124533	0.0135835	0.0137988	0.0248742	0.129468	0.287668	0.497676
a93	0.00507496	0.00382433	0.00483809	0.00502214	0.00603151	0.00581903	0.0048487	0.00922495	0.0124076	0.0128852	0.015598	0.0283549	0.123366	0.304782	0.457923
a44	0.000593995	0.000526014	0.000765601	0.00114017	0.00174167	0.00221136	0.00205751	0.00491723	0.0079814	0.00909656	0.0102294	0.0188648	0.108249	0.275595	0.556031
a70	0.000531319	0.000466228	0.000745989	0.00109141	0.00159971	0.00192787	0.0018242	0.00473832	0.00703817	0.00773121	0.00892309	0.0161189	0.0965057	0.270306	0.580452
a93	0.000661606	0.000565369	0.000867488	0.00147006	0.00241007	0.00310636	0.00240702	0.00570165	0.00932507	0.0100468	0.0100929	0.018472	0.112026	0.259626	0.563222
a4	0.000183876	0.000166768	0.000288211	0.0005211	0.000904305	0.00123014	0.00112147	0.00343024	0.00599736	0.00684715	0.00772186	0.0150003	0.0890133	0.23759	0.629984
a54	0.000265819	0.000218888	0.000354207	0.000692964	0.00127285	0.00179434	0.00144752	0.00401382	0.00725958	0.00835802	0.00870049	0.0161725	0.103851	0.248187	0.597411
a47	0.000110332	8.59252e-05	0.000151893	0.000306535	0.00055118	0.000770645	0.00105882	0.00428062	0.0064711	0.00704786	0.0073851	0.0155231	0.10236	0.26162	0.592277
a6	0.000190094	0.000125622	0.000173128	0.000315199	0.000564021	0.000875573	0.000959992	0.00380107	0.00715936	0.00871824	0.00828816	0.0169383	0.100375	0.257639	0.593877
a7	0.000209394	0.000146119	0.00020098	0.000337599	0.000551476	0.000770241	0.00079913	0.0028998	0.00567775	0.00719768	0.00847695	0.0201611	0.124595	0.279996	0.547982
a26	0.0008068	0.000631551	0.00083416	0.00137696	0.00199372	0.00247603	0.00236935	0.00608767	0.00910529	0.00995557	0.00941599	0.0177328	0.11436	0.250182	0.572672
a27	0.0204885	0.0133833	0.0118548	0.0118005	0.0121924	0.0112203	0.0108406	0.0139448	0.0186256	0.0189548	0.0166317	0.0242742	0.0986523	0.221518	0.495618
a13	0.092119	0.0455933	0.0311303	0.0284066	0.0278539	0.0275499	0.0305503	0.0288316	0.0363704	0.0375039	0.0297666	0.0357396	0.0834685	0.145602	0.319514
a99	0.083065	0.0387085	0.0254374	0.0241142	0.0245139	0.026409	0.0338163	0.0367421	0.0428936	0.0438779	0.0385854	0.0474206	0.101099	0.159132	0.274186
a13	0.0712936	0.0295	0.0185939	0.0183692	0.0186245	0.0205234	0.0299334	0.0368393	0.0411494	0.0420252	0.0356831	0.0450185	0.112795	0.182229	0.297422
a99	0.00908364	0.00431721	0.00407606	0.00489762	0.00553701	0.00596857	0.0100171	0.0244644	0.0332074	0.0354716	0.0360829	0.0576067	0.16134	0.238519	0.369411
a97	0.00501869	0.00244019	0.0026131	0.00327574	0.00365509	0.00381946	0.00673426	0.0182566	0.0254096	0.0274951	0.0282347	0.0471728	0.150007	0.244823	0.431045
a83	0.0401796	0.0167139	0.0117486	0.0134723	0.0148034	0.0170533	0.0253352	0.0324494	0.041015	0.0436905	0.0365032	0.0516364	0.132952	0.19356	0.328887
a50	0.0206301	0.00831953	0.0073642	0.00941136	0.0111433	0.0131271	0.0180457	0.0315851	0.0443761	0.0478931	0.0468338	0.0715229	0.157959	0.21392	0.297869
a83	0.0017892	0.000758545	0.000801588	0.00146805	0.00223086	0.00311941	0.00469595	0.0104193	0.0237594	0.0306293	0.0295051	0.0529554	0.147787	0.242326	0.447756
a18	0.000610834	0.000340067	0.000439914	0.000877599	0.0013946	0.00190612	0.00297449	0.00734556	0.0183196	0.0239257	0.0238959	0.043095	0.128539	0.241431	0.504904
a83	0.00114331	0.000665073	0.000932629	0.00145066	0.00187885	0.00210194	0.00354922	0.0101965	0.0195868	0.0237918	0.025196	0.0446596	0.136742	0.245424	0.482682
a9	0.00069591	0.000453954	0.000666096	0.00110148	0.0014919	0.00177847	0.00324322	0.00827879	0.0156756	0.0192395	0.0207899	0.0403224	0.136438	0.247524	0.5023
a30	0.00438541	0.00255633	0.00279785	0.00402337	0.00471066	0.00479316	0.00740135	0.0169192	0.0262901	0.0295319	0.0293057	0.0479707	0.134618	0.223131	0.461565
a13	0.00929967	0.00438901	0.00398638	0.00546488	0.0061299	0.00685349	0.0119542	0.0304519	0.0363321	0.0377801	0.0396304	0.0638579	0.157465	0.234577	0.351828
a99	0.0124466	0.00571117	0.00502303	0.00671635	0.00796676	0.00945009	0.014766	0.0365799	0.0430013	0.0443462	0.0453683	0.0699817	0.159683	0.221984	0.316975
a62	0.0203925	0.00934179	0.00831713	0.0096133	0.0114348	0.0134992	0.01753	0.036995	0.0427628	0.0444824	0.0441213	0.0652916	0.148644	0.212846	0.314728
a70	0.00235606	0.000821201	0.000894591	0.00159955	0.002313	0.00318697	0.00505143	0.013388	0.0295565	0.0385251	0.03816	0.065133	0.173884	0.252206	0.372924
a66	0.000808634	0.000375698	0.000498178	0.000953246	0.00137398	0.00181817	0.00300122	0.00868527	0.0202902	0.0273201	0.0286473	0.0520158	0.154706	0.26225	0.437256
a26	0.00126038	0.000617588	0.000787386	0.00140718	0.00196525	0.00255141	0.00431812	0.0119046	0.0244193	0.0301947	0.0302647	0.0501183	0.14282	0.251105	0.446265
