 	cette	plaine	a	pris	feu	depuis	hier	</S>
a66	0.403377	0.303727	0.131591	0.0585344	0.0444434	0.0293988	0.0155086	0.0134198
a87	0.434144	0.268575	0.147251	0.0795159	0.0351735	0.0142981	0.00916241	0.0118805
a23	0.456717	0.272471	0.163008	0.0661284	0.0204553	0.00772385	0.00523561	0.00826069
a20	0.450228	0.279163	0.148634	0.0532203	0.0150327	0.00814321	0.0143779	0.0312003
a7	0.366212	0.252639	0.179599	0.0934087	0.0395473	0.024854	0.0213503	0.0223892
a20	0.157817	0.287154	0.267377	0.170055	0.0525056	0.023815	0.0204321	0.0208437
a69	0.062202	0.180691	0.215975	0.228454	0.152906	0.0819431	0.0435586	0.0342697
a53	0.0505768	0.129791	0.247782	0.270727	0.148222	0.0702895	0.0431272	0.0394848
a69	0.0592114	0.119474	0.221425	0.263365	0.157044	0.0782179	0.0520545	0.049208
a94	0.0546535	0.0917884	0.198689	0.268507	0.174109	0.0888089	0.0635774	0.0598659
a90	0.0524388	0.0568626	0.11168	0.213574	0.213564	0.123944	0.108685	0.119252
a4	0.0318047	0.034621	0.0795994	0.194071	0.246404	0.157201	0.12719	0.129109
a53	0.0369757	0.035674	0.0615891	0.118636	0.218148	0.187787	0.171156	0.170035
a69	0.0223252	0.0208794	0.0376593	0.0894792	0.228782	0.229919	0.189487	0.181469
a94	0.0219811	0.0219179	0.0364539	0.0714052	0.185694	0.251272	0.214272	0.197004
a15	0.0140077	0.0116592	0.0167652	0.0402147	0.10027	0.210785	0.285236	0.321063
a69	0.00580072	0.00473542	0.0086863	0.0252792	0.0819949	0.209634	0.32244	0.34143
a93	0.00587456	0.00492796	0.00655535	0.0164128	0.0502175	0.158728	0.344985	0.412299
a79	0.00376593	0.00338937	0.00489301	0.0142052	0.0521723	0.16455	0.362705	0.394319
a15	0.0017945	0.00143156	0.00209723	0.00660117	0.0283733	0.107415	0.373169	0.479118
a7	0.000645679	0.000585124	0.0010914	0.00392589	0.0153956	0.0657822	0.33135	0.581224
a69	0.00137358	0.0013864	0.00186633	0.00519137	0.0160547	0.0529216	0.292418	0.628788
a7	0.000914344	0.000825709	0.00113048	0.00302273	0.00938107	0.0380882	0.284873	0.661764
a84	0.000987047	0.00122171	0.00172104	0.00491397	0.0120389	0.0376239	0.238395	0.703099
a87	0.0267175	0.0285961	0.0282456	0.0447936	0.0733321	0.126669	0.272197	0.399449
a23	0.51303	0.211599	0.102046	0.0498097	0.029087	0.0274463	0.0336494	0.0333326
a87	0.237338	0.142358	0.0857129	0.0757967	0.0794907	0.0966449	0.144696	0.137963
</S>	0.0234292	0.0185669	0.0186413	0.036259	0.0656873	0.132035	0.320262	0.385119
