 	il	y	a	plusieurs	manières	de	pêcher	du	poisson	</S>
a66	0.296139	0.220719	0.209119	0.122199	0.0557862	0.0348772	0.0224175	0.0186095	0.0116111	0.00852244
a87	0.195602	0.13568	0.147859	0.141451	0.145719	0.102914	0.0725473	0.0335658	0.0140559	0.0106059
a23	0.249157	0.203595	0.203364	0.132188	0.122368	0.0318602	0.0185297	0.0149459	0.0124945	0.0114974
a83	0.217764	0.176932	0.233744	0.14496	0.131911	0.0335739	0.0162637	0.0102047	0.0135303	0.0211172
a88	0.16361	0.133661	0.182144	0.166851	0.132205	0.0860562	0.0520083	0.0275959	0.0263051	0.0295634
a75	0.169668	0.153563	0.204793	0.19243	0.134407	0.063258	0.0373209	0.0219155	0.0130721	0.00957281
a79	0.112889	0.103715	0.144621	0.171101	0.175855	0.119278	0.0665162	0.0455231	0.0356996	0.0248018
a75	0.116241	0.128257	0.170096	0.169731	0.15711	0.0935437	0.0587747	0.0442498	0.0351484	0.0268484
a5	0.108141	0.111476	0.136314	0.140659	0.160678	0.153473	0.0752426	0.0404479	0.0383856	0.0351829
a18	0.106886	0.10612	0.127139	0.138645	0.154283	0.133524	0.0751597	0.0521772	0.052656	0.0534104
a98	0.114414	0.120448	0.136223	0.155041	0.120818	0.0883902	0.0587787	0.0541855	0.0629382	0.0887639
a85	0.066258	0.0632191	0.0593125	0.0641848	0.071586	0.105144	0.12065	0.133678	0.143268	0.1727
a6	0.0398624	0.0356157	0.0314755	0.03537	0.0388179	0.0667636	0.101835	0.158611	0.204096	0.287554
a0	0.051795	0.0459043	0.0421305	0.0422032	0.0422853	0.06049	0.0959549	0.150836	0.189542	0.278859
a43	0.053232	0.0496342	0.043192	0.0355634	0.0203144	0.0174382	0.0232286	0.0835458	0.254951	0.418901
a0	0.016391	0.0131812	0.0100955	0.00762052	0.0052522	0.00473489	0.00720146	0.0296407	0.219802	0.686081
a31	0.00880042	0.00723753	0.00516767	0.00450048	0.00391736	0.00484905	0.00913565	0.0313329	0.205533	0.719525
a24	0.00190671	0.00172606	0.0015176	0.00221129	0.00262003	0.00399229	0.00943303	0.0471608	0.255605	0.673827
a88	0.0021311	0.00201099	0.00187034	0.00218932	0.00278274	0.00542357	0.0136148	0.0571251	0.24621	0.666642
a9	0.0115217	0.00860312	0.00684831	0.00624119	0.00923735	0.0188679	0.0356766	0.0835712	0.242152	0.57728
a10	0.165706	0.0990698	0.0716763	0.0548361	0.06498	0.0710888	0.0735073	0.0753408	0.114647	0.209148
a87	0.316077	0.177843	0.111954	0.0843539	0.0849449	0.0450234	0.0397888	0.0339781	0.0405635	0.0654739
a23	0.283089	0.17054	0.129583	0.095349	0.0985555	0.0449758	0.0358288	0.0358423	0.0484551	0.0577813
a87	0.176103	0.130634	0.0909017	0.0566068	0.0642155	0.0302096	0.0280619	0.0435025	0.132418	0.247347
</S>	0.0261251	0.0161648	0.0113651	0.00981797	0.0156787	0.0193206	0.0360544	0.0981378	0.310798	0.456538
