 	la	femme	a	accouché	d'	un	garçon	</S>
a23	0.390669	0.228487	0.134467	0.0494191	0.0532225	0.0517187	0.0441018	0.0479149
a94	0.284013	0.19409	0.13263	0.0681797	0.0609851	0.0748336	0.0851055	0.100164
a76	0.411048	0.276273	0.150108	0.0600455	0.0361768	0.0244438	0.0214676	0.0204375
a14	0.440554	0.314999	0.165183	0.0502246	0.0154666	0.006865	0.00379595	0.00291166
a43	0.434933	0.284989	0.155796	0.0630934	0.0282173	0.015087	0.00997873	0.00790528
a75	0.295391	0.269997	0.195162	0.101247	0.0538772	0.0356887	0.0256964	0.0229406
a35	0.242795	0.22717	0.187383	0.121804	0.0796482	0.0590041	0.044398	0.0377987
a66	0.241408	0.214189	0.17621	0.127056	0.0875382	0.0637533	0.0494063	0.0404388
a76	0.152479	0.173202	0.17495	0.151605	0.1139	0.086014	0.0747288	0.0731215
a35	0.130974	0.141694	0.160178	0.161677	0.132882	0.102023	0.0929718	0.0776
a41	0.12606	0.133026	0.143172	0.151539	0.13393	0.110324	0.108291	0.093657
a35	0.0823363	0.0895668	0.110573	0.135465	0.147415	0.142753	0.152637	0.139254
a30	0.0676894	0.0688212	0.0727527	0.0999603	0.140673	0.166873	0.196324	0.186906
a35	0.0654487	0.0824593	0.108358	0.14629	0.176106	0.150726	0.144397	0.126215
a24	0.0386197	0.0406641	0.0473155	0.0776298	0.127005	0.180393	0.239514	0.248858
a71	0.0318717	0.0355486	0.0421023	0.0642776	0.106997	0.170823	0.25088	0.2975
a38	0.0121503	0.0147294	0.0197548	0.0312977	0.059959	0.137678	0.292976	0.431454
a14	0.0119813	0.0134385	0.0175561	0.0305525	0.0596823	0.136559	0.287278	0.442952
a30	0.00486233	0.00535604	0.006998	0.01409	0.0391491	0.124147	0.305795	0.499602
a57	0.00561096	0.0057722	0.00687683	0.012615	0.0343096	0.117023	0.29994	0.517851
a87	0.00581253	0.00483023	0.00677293	0.0175226	0.052521	0.151515	0.300856	0.460169
</S>	0.00355332	0.00238576	0.00427201	0.0139116	0.0540508	0.179127	0.315223	0.427477
