 	aide-moi	à	descendre	la	calebasse	de	ma	tête	</S>
a66	0.260275	0.13278	0.0881667	0.0639174	0.100821	0.109823	0.0957492	0.0794087	0.0690592
a87	0.434442	0.151486	0.0926215	0.0647159	0.0795086	0.0784563	0.0475437	0.0286423	0.0225839
a99	0.495535	0.274649	0.121633	0.0476653	0.0298357	0.0152815	0.00662671	0.00431487	0.00445832
a18	0.521047	0.242977	0.126231	0.0496833	0.0245471	0.0137974	0.00850696	0.00655058	0.00666056
a99	0.388947	0.219926	0.156444	0.0770408	0.0490393	0.0368235	0.0281181	0.0229124	0.0207489
a40	0.398592	0.183416	0.134291	0.0752714	0.0547736	0.045707	0.0396341	0.0349628	0.0333521
a4	0.280802	0.209074	0.1676	0.115932	0.0749672	0.0504954	0.0366733	0.0333534	0.0311027
a13	0.152486	0.187574	0.197723	0.208502	0.106838	0.058119	0.0336921	0.0294987	0.0255662
a40	0.104326	0.163784	0.192736	0.216745	0.131391	0.0759445	0.0454438	0.0387328	0.030897
a44	0.137949	0.168754	0.179717	0.198312	0.114066	0.0701577	0.0480373	0.0437896	0.0392181
a82	0.105895	0.144078	0.159635	0.187397	0.12231	0.0845341	0.0679089	0.0662083	0.0620327
a30	0.0967926	0.142712	0.162239	0.180627	0.135105	0.0849252	0.0639941	0.0663026	0.0673033
a99	0.024086	0.0511343	0.0680466	0.0974572	0.150994	0.153118	0.130353	0.14567	0.17914
a18	0.0227356	0.0385104	0.0462163	0.0722509	0.124297	0.155477	0.149281	0.176001	0.215232
a99	0.0121997	0.0235806	0.0326464	0.0465624	0.091598	0.148703	0.170798	0.211109	0.262804
a18	0.0162282	0.0291473	0.0348561	0.05384	0.0954322	0.162746	0.195891	0.1941	0.217759
a99	0.0162788	0.028517	0.0308373	0.0512175	0.0814881	0.141914	0.219955	0.209195	0.220598
a87	0.0170937	0.0245115	0.0257751	0.0416776	0.0677661	0.132121	0.230033	0.224864	0.236158
a23	0.245148	0.157022	0.0949384	0.0913634	0.0750803	0.0796281	0.0968349	0.0801539	0.0798311
a87	0.173542	0.111408	0.0674426	0.0691533	0.0687765	0.0944487	0.142353	0.146473	0.126402
a97	0.236742	0.118035	0.0550335	0.0505401	0.0600068	0.0991547	0.136732	0.132161	0.111594
a3	0.268809	0.133154	0.0622119	0.0588794	0.0646698	0.0936665	0.103037	0.11173	0.103843
</S>	0.344251	0.160937	0.072011	0.0705481	0.0705531	0.0754889	0.0717036	0.0706408	0.0638662
