 	malgré	tout	le	bien	que	j'	ai	fait	pour	vous	c'	est	vraiment	vous	mes	envahisseurs	</S>
a66	0.151772	0.100467	0.104446	0.0912879	0.0933979	0.0868574	0.0701129	0.0654233	0.0625338	0.0509808	0.0333477	0.0297931	0.0252033	0.0161532	0.00991911	0.00552487	0.00277941
a87	0.133126	0.0811533	0.0885073	0.0741965	0.0728396	0.0704902	0.0626842	0.0627726	0.0613569	0.0485495	0.0445046	0.037	0.032073	0.0262514	0.0249473	0.0359095	0.0436382
a23	0.248149	0.108034	0.0721655	0.0464404	0.045765	0.0460757	0.0538895	0.0568726	0.0547637	0.0461434	0.0379756	0.0365287	0.0333579	0.0281837	0.0225879	0.0223185	0.0407493
a83	0.267835	0.0983013	0.0751412	0.0438004	0.0524639	0.0620303	0.0700322	0.0579199	0.0455128	0.0416442	0.0433253	0.0391796	0.0352743	0.0269232	0.0177453	0.0115803	0.0112911
a90	0.183751	0.111954	0.105596	0.0831967	0.0854026	0.0749795	0.068769	0.0552585	0.0479692	0.0383571	0.0299355	0.0258707	0.0234555	0.0197146	0.0146341	0.0148239	0.0163316
a15	0.264429	0.201164	0.151521	0.0985207	0.0754553	0.0544437	0.0358246	0.0261906	0.0207771	0.0187841	0.0128274	0.0103936	0.00888031	0.00835906	0.00536783	0.00401678	0.00304511
a25	0.121205	0.264457	0.173124	0.13061	0.0844229	0.0583535	0.0388073	0.0293658	0.0205867	0.0168376	0.0108916	0.00935902	0.00827217	0.00949127	0.00900229	0.00771816	0.00749576
a69	0.104924	0.259174	0.13679	0.103617	0.0700439	0.0543899	0.041489	0.0362041	0.0260429	0.0226558	0.0186715	0.0178904	0.0159409	0.0189935	0.0215394	0.0222124	0.0294215
a54	0.0832371	0.189956	0.13491	0.114602	0.0864869	0.0660756	0.0521738	0.0471044	0.0324841	0.0264629	0.0238059	0.0231227	0.0185383	0.0221063	0.0258425	0.0253373	0.0277541
a75	0.0891685	0.152532	0.101578	0.101356	0.0891256	0.0784462	0.0640595	0.0565776	0.0392983	0.0342568	0.0330011	0.0309309	0.0232752	0.0248956	0.0269668	0.0246288	0.0299029
a85	0.0725418	0.114965	0.0830444	0.0911891	0.0868237	0.0849218	0.0739877	0.0711242	0.0515418	0.0470087	0.0468695	0.0444415	0.0307276	0.0281324	0.0267122	0.0211854	0.0247836
a92	0.0261137	0.0466435	0.0441165	0.052321	0.0587708	0.0647164	0.0613908	0.0690076	0.0642232	0.0722952	0.0828635	0.0882517	0.0710816	0.0635621	0.0555206	0.0383289	0.0407928
a98	0.0478163	0.050691	0.0557967	0.0790322	0.0931968	0.0981767	0.0909057	0.0904886	0.0689014	0.061892	0.0596882	0.0576247	0.0433509	0.0334999	0.0287175	0.0203593	0.0198622
a85	0.0120071	0.0153815	0.0257993	0.0475127	0.0699096	0.0802797	0.0747595	0.0832421	0.0755842	0.0808671	0.0854398	0.087388	0.0729646	0.0618484	0.054038	0.0383122	0.0346661
a6	0.00905306	0.0102367	0.0194474	0.0369615	0.0626075	0.0718272	0.0642682	0.071329	0.0678776	0.0774093	0.085298	0.0892706	0.0816048	0.0710278	0.0691042	0.059299	0.0533781
a36	0.00676051	0.0066647	0.0150135	0.0439565	0.0864691	0.106597	0.105147	0.111168	0.0907198	0.0795489	0.0715167	0.0666734	0.053671	0.0390616	0.0367631	0.0372863	0.0429831
a21	0.00364574	0.00484914	0.00727934	0.0164445	0.0419816	0.0694123	0.10501	0.125822	0.107221	0.0817266	0.0851546	0.0741655	0.0577902	0.0372132	0.0388403	0.0639381	0.0795056
a5	0.00284632	0.00276476	0.00417187	0.00987373	0.0236585	0.0403921	0.0573627	0.0858095	0.0907908	0.0935465	0.106417	0.104869	0.0899019	0.0629949	0.0615353	0.0728107	0.0902539
a85	0.00229755	0.0022686	0.00309576	0.00555832	0.0105167	0.0165108	0.0246178	0.0468192	0.0663493	0.0770909	0.109218	0.117056	0.111401	0.08555	0.0900092	0.111652	0.119989
a5	0.00253394	0.0023782	0.00368805	0.00635249	0.0126223	0.0166442	0.020559	0.0306535	0.039551	0.0504356	0.0841876	0.0950908	0.107818	0.0935234	0.105279	0.164731	0.163952
a36	0.00224338	0.00264761	0.00377409	0.00715557	0.0132911	0.0201983	0.0319184	0.0594467	0.084822	0.08578	0.117379	0.11451	0.0965902	0.0691353	0.0726252	0.103736	0.114748
a61	0.00376189	0.0049627	0.00723795	0.0137805	0.0233928	0.0305617	0.0438501	0.0704429	0.0877784	0.0799471	0.114988	0.109387	0.0880849	0.0591197	0.0653349	0.096651	0.100718
a96	0.00295325	0.00300133	0.00414161	0.00805149	0.0142751	0.0205842	0.0294543	0.0476715	0.0613062	0.0671549	0.106363	0.114052	0.101763	0.082335	0.0957142	0.124512	0.116668
