 	on	les	a	empêchés	de	partir	</S>
a66	0.407033	0.199799	0.132189	0.105319	0.0656466	0.0497115	0.0403027
a87	0.31238	0.19582	0.138849	0.0738037	0.0740446	0.0888878	0.116214
a23	0.471236	0.228586	0.114263	0.0367389	0.0346193	0.0475628	0.0669932
a87	0.370715	0.197896	0.116242	0.0508209	0.0494538	0.0819317	0.13294
a40	0.356295	0.19307	0.124733	0.0576007	0.0575069	0.083507	0.127287
a36	0.387395	0.242782	0.151172	0.0600839	0.0423673	0.0491941	0.067006
a47	0.34181	0.285042	0.214739	0.0554742	0.0345215	0.0326437	0.0357689
a6	0.32393	0.260234	0.208759	0.0753279	0.0430588	0.0422623	0.046428
a36	0.232495	0.237017	0.23251	0.124741	0.0616114	0.0559683	0.0556576
a43	0.179863	0.18772	0.203754	0.142234	0.0922252	0.0971404	0.0970631
a24	0.209526	0.190807	0.174393	0.133956	0.0874241	0.0977878	0.106106
a66	0.128231	0.145696	0.165842	0.182956	0.112019	0.129529	0.135727
a75	0.0810527	0.104392	0.147066	0.240059	0.135153	0.144535	0.147743
a47	0.0449319	0.0685223	0.115764	0.228258	0.186249	0.188325	0.167949
a5	0.0227565	0.035981	0.0685114	0.21712	0.189097	0.22704	0.239495
a12	0.0267223	0.02986	0.0423516	0.171992	0.203882	0.260955	0.264237
a18	0.00946438	0.0111538	0.0181136	0.110985	0.204561	0.303616	0.342106
a11	0.00592507	0.00637487	0.00866891	0.0362399	0.12269	0.288561	0.53154
a54	0.00612827	0.00681765	0.00939276	0.0272892	0.11685	0.284674	0.548848
a7	0.000942937	0.0015839	0.00340542	0.0240949	0.105947	0.301582	0.562444
a84	0.00318957	0.00367263	0.00545644	0.0141921	0.0767996	0.272158	0.624531
a57	0.0626926	0.0591647	0.0603234	0.0905424	0.127392	0.230203	0.369681
a87	0.155892	0.0984683	0.0779665	0.0898649	0.118038	0.193903	0.265868
a23	0.26246	0.14585	0.0959095	0.0899945	0.108691	0.136405	0.16069
a97	0.137454	0.105481	0.0881875	0.095776	0.14709	0.195796	0.230216
a99	0.0441958	0.0370088	0.0372218	0.0922806	0.160944	0.266973	0.361376
a26	0.0636483	0.0557262	0.0544841	0.100386	0.155033	0.243822	0.3269
</S>	0.0803622	0.0672293	0.0628342	0.0954209	0.138952	0.220943	0.334259
