 	il	avait	tellement	faim	il	a	avala	tout	d'	un	coup	</S>
a10	0.144942	0.0990688	0.0709511	0.081453	0.0933983	0.0780698	0.050529	0.062256	0.063447	0.0762905	0.0901565	0.0894376
a87	0.259159	0.224612	0.103078	0.0593794	0.0457066	0.0363518	0.0252546	0.0276898	0.0305763	0.0414331	0.0646261	0.0821332
a23	0.186764	0.230719	0.185024	0.107869	0.0595389	0.0409674	0.0219072	0.0241369	0.0232966	0.0270464	0.0371391	0.0555919
a13	0.217105	0.258474	0.141032	0.0790335	0.0532458	0.0312612	0.0154207	0.0205586	0.0281016	0.0385661	0.0512035	0.0659982
a70	0.36164	0.280607	0.110987	0.0807947	0.04036	0.0213692	0.00881967	0.00842087	0.0105953	0.0164143	0.0245981	0.0353935
a94	0.498789	0.274918	0.0854321	0.0579995	0.0261097	0.0164418	0.00863637	0.00589289	0.00498454	0.00573997	0.00676109	0.00829541
a26	0.267958	0.193842	0.128644	0.123944	0.0893076	0.0679074	0.0393481	0.0208569	0.0152564	0.0150847	0.0172005	0.0206503
a54	0.144777	0.137357	0.116741	0.126452	0.128375	0.119525	0.0771759	0.0385938	0.0278185	0.0253779	0.0269568	0.03085
a73	0.120933	0.133696	0.129381	0.151967	0.133601	0.111015	0.075974	0.0340259	0.0233994	0.0237623	0.028508	0.0337383
a2	0.136963	0.139765	0.13206	0.148913	0.12005	0.0948904	0.0687664	0.0393943	0.0277823	0.027184	0.0302971	0.033935
a40	0.0672974	0.0898179	0.114472	0.139493	0.1579	0.132251	0.0847024	0.039887	0.0317357	0.0351288	0.046661	0.0606535
a73	0.0516794	0.0662086	0.111021	0.139255	0.149077	0.124802	0.103396	0.057427	0.0429602	0.0412168	0.0501055	0.0628521
a26	0.0817309	0.0998869	0.134643	0.162127	0.144783	0.10151	0.071688	0.0466962	0.0350446	0.0326674	0.0389583	0.0502638
a54	0.0581033	0.068712	0.125218	0.153727	0.177704	0.131947	0.0791689	0.0329347	0.026761	0.030972	0.0456813	0.0690714
a73	0.058269	0.0548387	0.10183	0.136553	0.147068	0.111568	0.0881548	0.0604868	0.0502843	0.0488676	0.0602711	0.0818087
a41	0.0487163	0.0472799	0.0933091	0.134472	0.144934	0.10461	0.0870398	0.0662794	0.0575398	0.0559334	0.067085	0.0928013
a94	0.0525484	0.0524563	0.099521	0.138679	0.139717	0.10543	0.0908816	0.0717947	0.0644098	0.0577027	0.0568989	0.0699602
a96	0.0602121	0.0529904	0.0832821	0.119635	0.140421	0.114278	0.0986471	0.073626	0.0633874	0.0572491	0.0597081	0.0765648
a43	0.0514266	0.0452143	0.0713892	0.100344	0.146837	0.127372	0.0997417	0.0656972	0.0611065	0.0612715	0.0725684	0.0970317
a0	0.0413106	0.033028	0.0536854	0.0745988	0.149714	0.1542	0.126024	0.0731023	0.062818	0.0592172	0.0717884	0.100514
a11	0.0578441	0.0429892	0.0590951	0.0781651	0.124009	0.119883	0.100652	0.0659936	0.0676185	0.0728802	0.0886335	0.122236
a54	0.0551377	0.0394547	0.0545219	0.0673822	0.136348	0.148012	0.121928	0.0812373	0.0748058	0.0651319	0.0681718	0.0878687
a15	0.0450344	0.0372139	0.0443149	0.0550139	0.0805506	0.085294	0.0807734	0.0564204	0.0705933	0.101348	0.142923	0.200521
a69	0.0301989	0.0262847	0.0366266	0.0470425	0.0859696	0.0857221	0.0912883	0.062164	0.0762291	0.106934	0.143133	0.208408
a58	0.0387491	0.0404648	0.053369	0.0621401	0.0921781	0.0967107	0.109466	0.0683971	0.0676026	0.0813441	0.113447	0.176131
a82	0.0227031	0.0198056	0.0290806	0.0318316	0.0715172	0.0971965	0.133114	0.080894	0.0842757	0.0963346	0.125883	0.207364
a38	0.0296905	0.0217987	0.0267868	0.0261294	0.0535934	0.0787178	0.115601	0.0819415	0.0879713	0.104477	0.143996	0.229295
a75	0.0568146	0.0397252	0.0421429	0.0370719	0.0538425	0.0636269	0.0870848	0.0695474	0.0790168	0.102247	0.142986	0.225894
a5	0.0512516	0.045929	0.0559533	0.0589749	0.0595363	0.063009	0.0826888	0.0583339	0.066783	0.092046	0.142497	0.222998
a70	0.0394693	0.0378401	0.0537278	0.0567568	0.0605817	0.0606768	0.0793444	0.0565209	0.0648758	0.0910705	0.148924	0.250212
a13	0.0265273	0.0207304	0.0251472	0.022813	0.0367486	0.0475225	0.0766917	0.0672609	0.0951343	0.133387	0.182525	0.265512
a53	0.0233276	0.0175174	0.021822	0.018324	0.0288022	0.0373761	0.0609906	0.0581105	0.0853271	0.127824	0.200154	0.320424
a20	0.0488544	0.0485174	0.0633735	0.0565886	0.0584532	0.0516688	0.0653489	0.0530414	0.0632856	0.0869448	0.144984	0.25894
a84	0.0529122	0.0533521	0.0679933	0.0607807	0.055707	0.0429306	0.0517846	0.0405281	0.0520195	0.0793261	0.151332	0.291333
a57	0.0112989	0.0102935	0.0120998	0.0104346	0.0161203	0.015358	0.027761	0.0262071	0.0494295	0.109236	0.230732	0.481029
a87	0.0171213	0.0134312	0.0110776	0.00829131	0.0085993	0.00887318	0.022266	0.0263151	0.05047	0.118697	0.251693	0.463165
a23	0.0153896	0.0113252	0.00624104	0.00510126	0.00423412	0.0037788	0.0060681	0.0167953	0.0483964	0.131916	0.26978	0.480974
a79	0.0366546	0.0218827	0.0108231	0.00833944	0.00708534	0.00724313	0.011435	0.0396511	0.0893514	0.161076	0.234926	0.371531
a20	0.0394672	0.0252761	0.0200305	0.0162445	0.0163978	0.012632	0.010419	0.0210585	0.0519011	0.106149	0.209029	0.471395
a73	0.0401336	0.0322818	0.0347243	0.039163	0.0574953	0.0457374	0.0349946	0.0307534	0.0519319	0.0942328	0.1769	0.361652
a84	0.0071381	0.00639365	0.0114204	0.0162145	0.0398296	0.03979	0.0433799	0.0324757	0.0630426	0.126593	0.218756	0.394966
a20	0.0037137	0.00289426	0.00403808	0.00514361	0.0159537	0.0213425	0.0313121	0.0293793	0.0640089	0.136829	0.246343	0.439042
a73	0.0168412	0.0164682	0.018591	0.020722	0.0389419	0.0430229	0.0515108	0.0348796	0.0495706	0.0920108	0.199141	0.4183
a53	0.00397071	0.00476232	0.00779104	0.0102333	0.0265098	0.028773	0.0373342	0.0291822	0.0570371	0.123462	0.23964	0.431304
a69	0.00534117	0.00593747	0.00912069	0.0107964	0.0238458	0.0303931	0.0431482	0.0351468	0.0564353	0.114767	0.235669	0.429399
a94	0.00633301	0.00825669	0.0118678	0.0126954	0.0225039	0.0260973	0.0396318	0.035676	0.0602967	0.123139	0.236901	0.416602
a70	0.00403455	0.0046959	0.00731925	0.00715571	0.0122506	0.0144922	0.0226011	0.0251693	0.0496661	0.112477	0.255034	0.485104
a75	0.00591758	0.00626041	0.00887209	0.00834246	0.0123008	0.0139237	0.0229676	0.02374	0.0480871	0.113529	0.257206	0.478853
a14	0.0154814	0.0185279	0.0241995	0.0224123	0.0244813	0.0240223	0.0312127	0.0275626	0.0468988	0.107013	0.247196	0.410993
a73	0.0070614	0.00738439	0.0112789	0.0118332	0.0171113	0.0180476	0.0282884	0.0236285	0.0474029	0.115352	0.266981	0.445629
a26	0.00346812	0.0033886	0.00468105	0.00459558	0.00938739	0.013208	0.0243432	0.0227839	0.0483639	0.122002	0.279785	0.463993
a38	0.00557453	0.00500119	0.00483413	0.00411945	0.00645178	0.00934544	0.0234567	0.0272885	0.0524181	0.12369	0.270835	0.466986
a61	0.0102193	0.00813899	0.00738651	0.00530596	0.00641758	0.00709924	0.0157496	0.0207714	0.0444421	0.11911	0.276886	0.478473
a75	0.0104598	0.00895132	0.0101393	0.00776584	0.00938634	0.00973927	0.0159603	0.021372	0.0454111	0.113822	0.266039	0.480954
a94	0.0136446	0.0131512	0.0188153	0.0167242	0.01682	0.0156367	0.0210299	0.0241458	0.0452853	0.112422	0.26616	0.436165
a58	0.0126897	0.0108465	0.0115655	0.00905579	0.00977606	0.0106294	0.0186283	0.0213514	0.0445281	0.109103	0.265811	0.476015
a82	0.00832534	0.00752612	0.00775622	0.0059087	0.00809745	0.00955184	0.0199346	0.022852	0.0449637	0.106453	0.259209	0.499421
a87	0.0112225	0.0105451	0.00864553	0.0062788	0.00551122	0.00530371	0.0127042	0.0186831	0.0391208	0.102665	0.254444	0.524877
a23	0.0184707	0.0130063	0.0094974	0.00739145	0.00738291	0.00643	0.008966	0.0207869	0.0524512	0.121196	0.256333	0.478089
a87	0.0327236	0.016824	0.00973235	0.00765688	0.00878712	0.0091708	0.0146216	0.0420206	0.0815189	0.14999	0.247742	0.379212
