 	la	femme	a	accouché	hier	</S>
a23	0.543307	0.179408	0.0623322	0.0439333	0.0699885	0.101031
a94	0.399088	0.203726	0.136913	0.102224	0.0737802	0.0842689
a76	0.424013	0.237484	0.109061	0.0819677	0.0678508	0.0796231
a30	0.481669	0.305161	0.108905	0.0508728	0.028925	0.0244672
a32	0.56205	0.293775	0.0817127	0.0329283	0.0172103	0.0123235
a75	0.349718	0.295678	0.175006	0.0885319	0.0545007	0.0365648
a35	0.246324	0.244902	0.208653	0.141321	0.0942575	0.0645419
a66	0.268593	0.226952	0.18981	0.144113	0.0986072	0.0719253
a38	0.167428	0.17467	0.190151	0.181335	0.159304	0.127111
a76	0.115967	0.135663	0.178055	0.202799	0.198624	0.168891
a35	0.162909	0.153429	0.168844	0.178665	0.174539	0.161613
a24	0.122609	0.128316	0.160043	0.18765	0.202556	0.198826
a35	0.0619179	0.0750306	0.11111	0.183005	0.268105	0.300831
a14	0.0315278	0.0409916	0.0681119	0.161834	0.293191	0.404344
a73	0.027111	0.0373803	0.0604523	0.139087	0.27281	0.46316
a57	0.0125851	0.0187189	0.0317061	0.100699	0.255344	0.580947
a53	0.00908346	0.0121251	0.0187411	0.0617662	0.184882	0.713402
a76	0.00828721	0.0110183	0.0206926	0.0870761	0.206641	0.666285
a73	0.0096761	0.0137325	0.0314232	0.123013	0.235187	0.586968
a84	0.017027	0.0223302	0.0345239	0.102666	0.191643	0.63181
a57	0.0131368	0.0173856	0.0302424	0.0900531	0.199849	0.649333
a87	0.0931982	0.0813161	0.0792787	0.135908	0.213924	0.396374
</S>	0.0775594	0.0774573	0.0850684	0.141178	0.249313	0.369424
