 	le	désespoir	lui	a	brouillé	la	cervelle	</S>
a23	0.445505	0.154664	0.108988	0.0968652	0.0773916	0.0522735	0.0366884	0.0276246
a87	0.427529	0.182607	0.129119	0.103659	0.0601093	0.0314524	0.0288671	0.0366584
a10	0.21551	0.185254	0.162678	0.118371	0.104677	0.0646983	0.0616625	0.0871488
a87	0.279613	0.179184	0.136792	0.0995299	0.0715107	0.0573807	0.0666736	0.109316
a23	0.223202	0.172461	0.171863	0.135971	0.0886894	0.0631381	0.0634869	0.0811886
a87	0.247951	0.189231	0.128938	0.0977847	0.0697528	0.0644278	0.0820384	0.119877
a23	0.294215	0.199997	0.136112	0.102602	0.0525272	0.0444582	0.060721	0.109368
a24	0.248721	0.181757	0.124609	0.0950356	0.0593413	0.0601094	0.0837486	0.146678
a25	0.468134	0.286511	0.150592	0.0633743	0.0152277	0.00586283	0.00518035	0.00511777
a38	0.186906	0.228451	0.257734	0.19735	0.0618715	0.0246375	0.0207104	0.0223404
a30	0.197859	0.216549	0.250659	0.191747	0.0695255	0.0287194	0.022326	0.0226162
a35	0.197025	0.186171	0.226523	0.193341	0.0944782	0.0416281	0.0311164	0.0297175
a26	0.234971	0.212408	0.230516	0.16193	0.0739424	0.0349342	0.0263613	0.0249371
a61	0.162645	0.144594	0.186275	0.187309	0.125875	0.0754528	0.0567291	0.0611196
a62	0.185516	0.198101	0.213392	0.167962	0.0931528	0.0583595	0.0439328	0.0395832
a24	0.0920836	0.129387	0.17237	0.152363	0.126393	0.123668	0.109023	0.0947128
a41	0.0815017	0.105683	0.139122	0.134397	0.134689	0.146411	0.134849	0.123348
a35	0.068231	0.0712599	0.0912983	0.102234	0.140349	0.175425	0.181593	0.169609
a75	0.0427649	0.0364301	0.0511546	0.0741171	0.144499	0.215854	0.220215	0.214966
a14	0.0240817	0.0167486	0.0244815	0.0442548	0.128543	0.235629	0.275591	0.250671
a30	0.0281685	0.0221284	0.0315653	0.0549264	0.141759	0.224583	0.267952	0.228917
a2	0.0216412	0.0143738	0.0166303	0.0256906	0.0773022	0.197405	0.304064	0.342893
a57	0.00276511	0.00208576	0.0025131	0.00556677	0.0186847	0.0827536	0.284637	0.600994
a87	0.00601456	0.00308122	0.00274319	0.00418408	0.0179039	0.0815113	0.282994	0.601567
a23	0.0131952	0.0118635	0.0154292	0.0231176	0.0766323	0.198675	0.265692	0.395395
a24	0.0145494	0.0150333	0.0185582	0.0299509	0.120965	0.269145	0.280222	0.251575
a71	0.00920669	0.00760885	0.0111696	0.0196524	0.0470832	0.140982	0.296893	0.467405
a53	0.00182763	0.00187855	0.00383472	0.0122141	0.0447685	0.119823	0.27732	0.538334
a90	0.00559568	0.00420837	0.00575211	0.0143656	0.0634539	0.150394	0.268439	0.487791
a93	0.00553545	0.00561596	0.00779947	0.0171232	0.0643322	0.134686	0.261061	0.503847
a13	0.00176753	0.00181153	0.00265514	0.00654171	0.0332069	0.104006	0.240246	0.609766
a38	0.00190126	0.00152899	0.00196162	0.00428638	0.019382	0.0852199	0.240561	0.645159
a20	0.00173161	0.00111856	0.00139487	0.00291474	0.0134234	0.0741839	0.268446	0.636787
a26	0.00169784	0.00092166	0.00109976	0.00238308	0.0123941	0.0856497	0.301305	0.594549
a57	0.00203824	0.00136228	0.00166387	0.00282401	0.0127836	0.0871085	0.275181	0.617039
a87	0.00746746	0.00529839	0.00562606	0.00732262	0.0257018	0.102337	0.270464	0.575782
</S>	0.0136758	0.00955568	0.0107261	0.0138656	0.0439813	0.186866	0.319087	0.402242
