 	aujourd'	hui	le	féticheur	va	prélever	du	sang	sur	ce	malade	</S>
a10	0.111784	0.0777203	0.0662836	0.0648157	0.0990736	0.11051	0.0967152	0.0933205	0.0808713	0.0675193	0.062667	0.0687195
a9	0.127454	0.0943352	0.0796545	0.0726655	0.110832	0.121638	0.0960544	0.0822129	0.0654333	0.0513392	0.0462831	0.0520991
a38	0.202611	0.124193	0.105605	0.0769564	0.085126	0.0859784	0.0643142	0.0602029	0.052145	0.047583	0.0443142	0.0509704
a73	0.240445	0.13311	0.0977698	0.0652606	0.0911369	0.0736723	0.047593	0.0467993	0.0464711	0.0495268	0.0500036	0.0582117
a15	0.189549	0.118849	0.0766665	0.0394921	0.0473955	0.038012	0.0329739	0.0440799	0.0540178	0.0786701	0.112679	0.167615
a47	0.245899	0.141779	0.0920273	0.0467761	0.0490295	0.0591451	0.0502488	0.0496938	0.0543794	0.0592298	0.0656586	0.0861341
a85	0.201367	0.132387	0.0992689	0.0543917	0.058877	0.0673464	0.0514607	0.051096	0.0538727	0.0578485	0.0699011	0.102183
a6	0.164662	0.185718	0.184189	0.104953	0.085615	0.0702455	0.0409157	0.0313591	0.0285981	0.0259739	0.0310296	0.046741
a85	0.101736	0.111858	0.13645	0.122391	0.11938	0.116196	0.07352	0.0519872	0.0423471	0.0349606	0.0370583	0.0521151
a36	0.0806158	0.13277	0.150106	0.141371	0.13303	0.0974576	0.0609508	0.0451067	0.0369192	0.0319084	0.0366129	0.0531519
a61	0.0635529	0.0779989	0.0870986	0.119314	0.139328	0.136674	0.0996317	0.0708522	0.0526375	0.0401644	0.0444364	0.0683113
a37	0.0406209	0.0448919	0.0514426	0.0924542	0.118911	0.139978	0.128464	0.103427	0.0742578	0.0596209	0.0619516	0.0839807
a76	0.0248666	0.0255077	0.0262726	0.0566969	0.0943162	0.126546	0.144079	0.131462	0.0951897	0.0769981	0.0823094	0.115756
a44	0.0265707	0.0310365	0.0307809	0.0663039	0.111553	0.12522	0.135081	0.123412	0.0928652	0.0736806	0.0760526	0.107444
a53	0.0180657	0.0178474	0.0161573	0.0355679	0.0694796	0.0933941	0.131735	0.142105	0.112533	0.0954956	0.10684	0.160779
a90	0.0120879	0.0106442	0.00938017	0.0207813	0.0481982	0.0680186	0.121627	0.157308	0.129493	0.114893	0.12473	0.182838
a44	0.0145319	0.013384	0.0109777	0.0241252	0.0522128	0.0702528	0.123951	0.162846	0.134478	0.115157	0.115335	0.162748
a96	0.00853296	0.00657764	0.00522192	0.0109739	0.0264991	0.0366076	0.0835417	0.146234	0.134788	0.145166	0.165181	0.230676
a12	0.00554026	0.00393937	0.00293412	0.00632045	0.0153775	0.0206814	0.0491272	0.0964072	0.096631	0.14501	0.207439	0.350592
a96	0.0067902	0.00509662	0.00348762	0.00666466	0.0149883	0.0179806	0.0409394	0.0876673	0.0941815	0.151935	0.220629	0.34964
a70	0.00265278	0.00176949	0.00121791	0.00258674	0.00739595	0.0106418	0.0286137	0.0647126	0.0762292	0.152894	0.245067	0.406218
a71	0.00313454	0.00223589	0.0017211	0.0034829	0.00821167	0.0117196	0.0294608	0.0673726	0.0816677	0.164726	0.254216	0.372051
a9	0.00834089	0.00613624	0.00441705	0.00629399	0.0117851	0.0153506	0.0371253	0.079232	0.0996249	0.168618	0.240351	0.322726
a3	0.0364924	0.024891	0.016376	0.0148677	0.0186276	0.0227446	0.0400808	0.0743385	0.0960545	0.156514	0.221181	0.277832
a97	0.0546053	0.0383788	0.0243821	0.0210344	0.0243778	0.0364712	0.0620584	0.104468	0.131122	0.17001	0.171533	0.161558
a3	0.0572467	0.043161	0.030088	0.0316955	0.0406554	0.0622758	0.0870057	0.117728	0.130221	0.142229	0.13443	0.123264
a9	0.110736	0.0658668	0.0373534	0.0324206	0.0427065	0.054965	0.0675547	0.0872966	0.0979152	0.113545	0.130268	0.159373
a3	0.0963038	0.0587147	0.0379381	0.0403083	0.050339	0.0630326	0.0748653	0.091249	0.0980045	0.116049	0.123933	0.149263
a82	0.121065	0.0739568	0.0432212	0.0398244	0.0489111	0.0557046	0.0625083	0.0758984	0.0834866	0.0982282	0.120643	0.176552
</S>	0.133476	0.0693834	0.0407138	0.0372606	0.0440484	0.0520774	0.058725	0.0754779	0.0843338	0.106055	0.124872	0.173577
