 	c'	est	lui	qui	a	embourbé	le	véhicule	à	l'	entrée	d'	ekyembe	</S>
a66	0.145522	0.104842	0.0877498	0.0951823	0.096565	0.10646	0.0928564	0.0632613	0.0660009	0.0543577	0.0329841	0.0233319	0.0169183	0.0139676
a82	0.0709537	0.0593748	0.0756253	0.137412	0.0981164	0.168303	0.0927596	0.0732511	0.0482258	0.0348966	0.0261179	0.0278226	0.0361718	0.0509697
a10	0.163347	0.113955	0.0864009	0.101758	0.0852061	0.118697	0.0708837	0.0399705	0.0451527	0.0363753	0.0274297	0.0293467	0.0354045	0.0460726
a82	0.147597	0.141891	0.104059	0.115332	0.0943953	0.121508	0.0486815	0.0205125	0.0339325	0.0358565	0.032972	0.0336785	0.0324134	0.0371705
a53	0.153983	0.155054	0.0999667	0.084885	0.0719574	0.086084	0.0265649	0.013619	0.0358982	0.0496916	0.054779	0.0598061	0.0497973	0.0579133
a15	0.226771	0.194245	0.0955001	0.053346	0.0429176	0.057779	0.0202219	0.00952658	0.0222614	0.0262833	0.0359188	0.0560121	0.0682065	0.0910109
a92	0.321904	0.265001	0.124219	0.064236	0.0465187	0.0476656	0.0200482	0.0108685	0.0149227	0.0122053	0.0128157	0.0179083	0.0183984	0.0232885
a21	0.23426	0.24117	0.143979	0.107644	0.0717401	0.070716	0.0391353	0.0233784	0.0220578	0.0132936	0.008357	0.00861793	0.0072384	0.00841143
a61	0.214015	0.240108	0.15305	0.111713	0.075392	0.0626105	0.0376613	0.0240663	0.0238442	0.0144964	0.0098494	0.0104865	0.0105318	0.0121755
a75	0.190616	0.216691	0.14779	0.114983	0.0843373	0.0756438	0.0501351	0.0331331	0.0303543	0.0171937	0.0102164	0.00991024	0.00902739	0.00996863
a21	0.127176	0.146364	0.148693	0.134734	0.105149	0.100637	0.0748328	0.0491237	0.03763	0.0234043	0.013232	0.0119532	0.0124196	0.0146509
a5	0.0956716	0.109977	0.140139	0.145351	0.122322	0.12068	0.0926858	0.0615508	0.0452892	0.0255108	0.0122076	0.00980457	0.00903115	0.00978054
a37	0.0672463	0.0705688	0.12696	0.148457	0.130955	0.134538	0.110616	0.0750008	0.0492205	0.0276602	0.014619	0.0129467	0.0144654	0.0167455
a98	0.0406919	0.042335	0.101614	0.136653	0.131486	0.146213	0.139042	0.0981923	0.0589473	0.0313906	0.01707	0.0161301	0.0178927	0.0223422
a85	0.0217428	0.0249854	0.0826403	0.121069	0.125418	0.137249	0.163365	0.120661	0.0578841	0.0351119	0.0217692	0.0211989	0.0275923	0.0393121
a5	0.0169356	0.0194193	0.0730803	0.121578	0.129529	0.132913	0.165964	0.125674	0.0490061	0.0316655	0.0232156	0.0231707	0.0350949	0.0527542
a12	0.0238133	0.0234796	0.0667459	0.103856	0.114285	0.122293	0.164897	0.142962	0.0667245	0.046971	0.0301277	0.0255593	0.0283687	0.0399171
a43	0.0247681	0.0224448	0.0538434	0.0834656	0.0970006	0.103414	0.158595	0.161883	0.0819513	0.0607425	0.0391547	0.0328779	0.0335798	0.0462791
a25	0.0178591	0.0173073	0.0403008	0.0635165	0.0782854	0.0878587	0.151182	0.179882	0.0978145	0.0738313	0.0457855	0.0395871	0.0414988	0.0652908
a44	0.00829917	0.00880009	0.0220517	0.0385802	0.0474526	0.0599825	0.119147	0.201174	0.100963	0.0759363	0.0541378	0.0519328	0.0698846	0.141658
a25	0.0106265	0.00935194	0.0187713	0.0283515	0.0340233	0.0455587	0.0930887	0.179598	0.114524	0.0995677	0.0729599	0.0662599	0.0756213	0.151697
a56	0.00944686	0.00924398	0.0194491	0.0299328	0.0353756	0.0429131	0.0750258	0.147896	0.103452	0.100519	0.0817926	0.0749877	0.0890136	0.180952
a94	0.0096899	0.00787278	0.014072	0.0225073	0.0286456	0.0394559	0.0761426	0.158158	0.122621	0.111794	0.0897923	0.0790645	0.0830708	0.157112
a75	0.00649337	0.00531491	0.00901271	0.01244	0.0128326	0.0155057	0.035101	0.104834	0.0909461	0.106074	0.111923	0.112905	0.128633	0.247984
a96	0.00561207	0.00523468	0.0108308	0.0169673	0.0210611	0.0296103	0.0624053	0.151528	0.0937917	0.0900794	0.0889627	0.0986458	0.124634	0.200637
a75	0.00414959	0.00336532	0.00676826	0.00919772	0.0104087	0.0122309	0.03301	0.0919084	0.076542	0.0930766	0.120758	0.139005	0.153426	0.246153
a61	0.00500852	0.00461828	0.00909933	0.0124977	0.014002	0.0180207	0.0350119	0.102013	0.0744762	0.0851802	0.103187	0.123227	0.158175	0.255483
a56	0.00245428	0.00198669	0.00435772	0.00588048	0.00653372	0.00685792	0.0184243	0.0549371	0.0475283	0.0678029	0.118246	0.1769	0.22665	0.261441
a75	0.00195581	0.00158067	0.00370312	0.00512917	0.00557159	0.00623675	0.0170373	0.0536129	0.0469119	0.0671726	0.1156	0.174002	0.228902	0.272584
a41	0.00174803	0.00152274	0.00345487	0.00481931	0.00536578	0.00672688	0.0160531	0.0498537	0.0396205	0.0528599	0.0964994	0.161801	0.252717	0.306958
a92	0.002005	0.00167083	0.00382965	0.00613745	0.00629579	0.00722851	0.0147838	0.0472621	0.0313305	0.0429784	0.0822966	0.149237	0.254936	0.350009
a75	0.00200287	0.00153052	0.00324696	0.004624	0.00536529	0.00721163	0.0177674	0.0470561	0.0318762	0.0398922	0.0732824	0.133419	0.265398	0.367328
a21	0.00120622	0.000982125	0.00211587	0.00325663	0.00322217	0.00439116	0.00994047	0.0333883	0.0246842	0.0355215	0.0702017	0.132535	0.250225	0.42833
a61	0.00139274	0.000979711	0.00224087	0.00329981	0.00359202	0.00468729	0.0112595	0.0323007	0.0263428	0.0395289	0.0810605	0.1494	0.272074	0.371841
a47	0.000735828	0.000553053	0.00124739	0.00184549	0.00196637	0.00253738	0.00622666	0.0194467	0.0176549	0.0281905	0.0654426	0.131727	0.271588	0.450839
a88	0.000697591	0.000588202	0.00114301	0.00173439	0.00180278	0.00210499	0.00516689	0.0178115	0.0174359	0.0320913	0.0799983	0.161978	0.289485	0.387962
a62	0.000415015	0.000303417	0.000512066	0.000717097	0.000725977	0.000929042	0.00214646	0.00874095	0.0102159	0.0196207	0.0582524	0.138078	0.289764	0.469579
a88	0.000216767	0.000181424	0.000304388	0.000449067	0.000466296	0.000659723	0.00136233	0.00573559	0.00717007	0.0138312	0.0446487	0.126295	0.299675	0.499004
a71	0.000181809	0.000141819	0.000222461	0.000351106	0.000362143	0.000611769	0.00123712	0.00560031	0.00727342	0.0136931	0.0431561	0.118007	0.296495	0.512667
a9	0.00141758	0.000798728	0.000913499	0.00121947	0.00111801	0.00181158	0.00234732	0.0104713	0.0142393	0.0260871	0.0612281	0.136516	0.273397	0.468435
a82	0.00977528	0.00524224	0.00522309	0.00536195	0.00479638	0.00638205	0.00661794	0.0217452	0.0269878	0.0442367	0.0845254	0.149899	0.249458	0.379749
</S>	0.0199616	0.0107258	0.0086944	0.0095828	0.00836814	0.0122784	0.0113024	0.0281922	0.0379788	0.0587454	0.103191	0.151981	0.239601	0.299397
