 	mon	grand-frère	travaille	comme	cuisinier	chez	les	prêtres	</S>
a66	0.266368	0.327534	0.197925	0.121282	0.0391469	0.0228913	0.0109527	0.00790541	0.00599463
a87	0.549286	0.22433	0.0912685	0.052865	0.0170829	0.014974	0.0163657	0.0133528	0.0204748
a23	0.588482	0.164807	0.0937614	0.0535744	0.0200587	0.0171914	0.0202257	0.0140974	0.0278018
a58	0.439266	0.106975	0.0757776	0.0607451	0.0438368	0.0431076	0.0607873	0.0544301	0.115075
a44	0.383613	0.108407	0.088334	0.082077	0.0430428	0.0420278	0.0668816	0.0641334	0.121483
a53	0.268783	0.172607	0.185745	0.120675	0.0631998	0.0458284	0.0489901	0.0457811	0.0483905
a36	0.211057	0.180496	0.181247	0.132046	0.0900224	0.0675139	0.055638	0.0490695	0.032911
a54	0.156193	0.143226	0.166906	0.128819	0.0939359	0.0769436	0.0765399	0.0824921	0.074944
a79	0.132472	0.136604	0.192362	0.159044	0.103962	0.0710606	0.0620769	0.074549	0.0678695
a54	0.152216	0.175856	0.199648	0.1528	0.0966452	0.0658445	0.048228	0.0552705	0.0534923
a6	0.0781453	0.0934636	0.149234	0.14624	0.131115	0.103884	0.0833165	0.107608	0.106994
a37	0.102622	0.122767	0.173598	0.140674	0.115791	0.0930878	0.0706057	0.0917801	0.0890736
a79	0.0946852	0.130798	0.166757	0.136997	0.110172	0.0889704	0.072124	0.0893797	0.110118
a15	0.053622	0.0979385	0.109752	0.109679	0.134838	0.124863	0.100335	0.119431	0.149541
a79	0.0274445	0.0680984	0.0971073	0.0998372	0.12953	0.124598	0.108487	0.152294	0.192603
a98	0.0312331	0.0684897	0.0894546	0.0992407	0.146167	0.142807	0.119201	0.138998	0.16441
a6	0.0308646	0.0645927	0.0788922	0.0840933	0.130468	0.135166	0.130091	0.160777	0.185055
a36	0.0138939	0.0296027	0.0388979	0.0534399	0.116341	0.136407	0.149612	0.196511	0.265296
a37	0.00902488	0.0120635	0.0163783	0.0262212	0.0795307	0.115397	0.187787	0.236949	0.316648
a18	0.00664688	0.00777836	0.0109536	0.0162934	0.0564649	0.0889503	0.175212	0.26599	0.37171
a26	0.00403955	0.0042962	0.00686359	0.00792611	0.0214548	0.0377093	0.11764	0.27263	0.52744
a53	0.0112506	0.0127499	0.0112223	0.0117517	0.0261015	0.0411691	0.116569	0.217625	0.551562
a15	0.00222425	0.00259561	0.00357974	0.00499238	0.0168396	0.0354043	0.139266	0.281743	0.513355
a36	0.000368214	0.000605492	0.00100557	0.00176125	0.0102315	0.0249161	0.106766	0.27468	0.579666
a7	0.00070125	0.000913004	0.00128966	0.00179247	0.00962028	0.0223224	0.105761	0.243762	0.613839
a5	0.00147108	0.00170618	0.00205755	0.0028813	0.0134581	0.0272249	0.112904	0.23007	0.608226
a18	0.000988884	0.00192224	0.00235749	0.00347192	0.0165711	0.0345048	0.126982	0.251505	0.561696
a25	0.00368312	0.00464734	0.00566472	0.00820096	0.030086	0.0433266	0.117595	0.219265	0.567531
a87	0.0207507	0.0255996	0.023761	0.0286079	0.0628766	0.0755377	0.132499	0.212116	0.418251
a23	0.195803	0.143363	0.115507	0.078123	0.076593	0.0741221	0.0857544	0.105889	0.124845
a87	0.0987395	0.0692632	0.0576946	0.0525966	0.09507	0.0993839	0.14726	0.183907	0.196085
</S>	0.0182905	0.0172621	0.0183802	0.0205036	0.0526274	0.0761699	0.168441	0.272804	0.355522
