 	le	chef	du	village	a	convoqué	l'	assemblée	des	anciens	</S>
a23	0.223734	0.126613	0.0706001	0.0671562	0.12291	0.121324	0.0908423	0.0785296	0.0430761	0.0314575	0.0237569
a87	0.424819	0.173142	0.0605921	0.0450162	0.0475197	0.0410896	0.0395703	0.0314861	0.0297653	0.0500213	0.0569786
a23	0.202092	0.159039	0.100868	0.0714273	0.0544023	0.0535372	0.0433186	0.0301817	0.0424441	0.0945877	0.148102
a79	0.356364	0.29186	0.0914569	0.0392191	0.0209462	0.0154705	0.0102376	0.00718908	0.0172347	0.0543907	0.0956306
a58	0.434809	0.327358	0.0985227	0.0448336	0.0244012	0.0152996	0.0106066	0.00918517	0.00966717	0.0119685	0.0133488
a82	0.273806	0.30443	0.185031	0.110005	0.0482417	0.0325419	0.0144717	0.0085708	0.00659328	0.00790885	0.00840008
a53	0.113894	0.165193	0.172898	0.164105	0.116137	0.0960043	0.0533126	0.0310394	0.0249879	0.0281828	0.034245
a90	0.0602022	0.100257	0.151962	0.169753	0.154439	0.127259	0.0692607	0.0395393	0.0415258	0.0401794	0.0456226
a38	0.0791202	0.127136	0.186801	0.184207	0.162906	0.107132	0.0470217	0.0264236	0.0236747	0.0239993	0.031579
a75	0.0715832	0.120402	0.182037	0.187812	0.168781	0.129668	0.0524191	0.0273516	0.0190038	0.0183159	0.0226268
a73	0.0651827	0.108061	0.175881	0.172959	0.161053	0.11187	0.0572312	0.0423453	0.0372749	0.0325502	0.0355916
a84	0.0615541	0.0990794	0.152966	0.164244	0.167959	0.1448	0.0678626	0.0456863	0.0347818	0.0289742	0.0320923
a26	0.0297679	0.0533847	0.0832695	0.115889	0.140454	0.195657	0.132021	0.0510689	0.0468134	0.0556558	0.0960192
a53	0.0250249	0.0414687	0.0815519	0.125183	0.139083	0.209606	0.146434	0.0496026	0.0395818	0.0505684	0.0918965
a4	0.0228049	0.03861	0.0750135	0.117985	0.142088	0.173166	0.0972124	0.0507378	0.0651269	0.0840719	0.133183
a57	0.0329947	0.0448795	0.0803522	0.109362	0.144463	0.16948	0.110037	0.0804625	0.0733464	0.0660141	0.0886097
a3	0.0340977	0.0524499	0.0854045	0.134777	0.156059	0.20447	0.133988	0.0623805	0.0526566	0.0396082	0.0441092
a87	0.0284654	0.0356964	0.0666164	0.093173	0.102188	0.148299	0.138351	0.0881641	0.0912456	0.0858351	0.121967
a23	0.0360426	0.0351682	0.0573545	0.0887219	0.108491	0.148018	0.164074	0.158496	0.0994761	0.0503242	0.0538339
a40	0.0384107	0.0303803	0.0333772	0.0489821	0.0730522	0.124389	0.12064	0.125912	0.129563	0.116835	0.15846
a30	0.0391145	0.04625	0.0543705	0.0704747	0.0639704	0.0865151	0.0808016	0.0606476	0.0813791	0.139974	0.276502
a35	0.0276075	0.0416736	0.0710752	0.101766	0.103302	0.129081	0.104433	0.113408	0.12017	0.092036	0.0954476
a98	0.0199396	0.0284298	0.0503387	0.0722012	0.100161	0.135816	0.113685	0.124644	0.137471	0.10594	0.111374
a71	0.0187778	0.0257004	0.0416185	0.0560143	0.0754114	0.104381	0.0846926	0.108729	0.171606	0.151272	0.161797
a9	0.0150817	0.0177524	0.0265987	0.0342484	0.0446097	0.0785944	0.0733079	0.0814094	0.167867	0.209278	0.251253
a62	0.0127228	0.0149673	0.0204364	0.0279244	0.0390623	0.0765477	0.0728246	0.0495959	0.12238	0.226646	0.336892
a24	0.0237362	0.0230367	0.0339557	0.0413869	0.0743101	0.118479	0.0959498	0.074523	0.126215	0.171877	0.216531
a41	0.0179085	0.016716	0.0224928	0.0228293	0.0323091	0.0473666	0.0506459	0.0506062	0.11786	0.216688	0.404577
a73	0.0131201	0.0133206	0.0167542	0.0185596	0.0269115	0.0426782	0.0448639	0.0495044	0.149299	0.241112	0.383877
